GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JL0E001,JL0E002,JL0E003,NAME_M,JL0M001,JL0M002,JL0M003
"G0100010","2006-2010",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",36.2,35.3,36.8,"Autauga County, Alabama",0.3,0.3,0.5
"G0100030","2006-2010",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",41.0,40.0,42.1,"Baldwin County, Alabama",0.3,0.3,0.3
"G0100050","2006-2010",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",38.0,36.1,41.9,"Barbour County, Alabama",0.5,0.4,1.4
"G0100070","2006-2010",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",38.3,37.3,39.3,"Bibb County, Alabama",1.1,1.8,0.6
"G0100090","2006-2010",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",38.3,36.7,39.6,"Blount County, Alabama",0.5,0.7,0.7
"G0100110","2006-2010",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",38.7,38.1,40.2,"Bullock County, Alabama",2.0,3.3,1.9
"G0100130","2006-2010",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",39.7,38.2,41.6,"Butler County, Alabama",0.6,1.1,1.2
"G0100150","2006-2010",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",38.1,36.3,39.8,"Calhoun County, Alabama",0.3,0.3,0.4
"G0100170","2006-2010",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",40.1,38.8,41.9,"Chambers County, Alabama",0.5,0.6,0.7
"G0100190","2006-2010",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",43.9,42.4,45.3,"Cherokee County, Alabama",0.5,1.6,0.6
"G0100210","2006-2010",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",37.2,36.3,38.2,"Chilton County, Alabama",0.5,0.4,0.4
"G0100230","2006-2010",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",43.2,41.8,44.4,"Choctaw County, Alabama",0.6,1.5,0.8
"G0100250","2006-2010",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",38.9,38.6,39.0,"Clarke County, Alabama",0.7,1.3,0.9
"G0100270","2006-2010",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",41.3,39.1,42.7,"Clay County, Alabama",1.1,2.5,0.9
"G0100290","2006-2010",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",40.1,39.4,41.7,"Cleburne County, Alabama",0.8,0.9,1.2
"G0100310","2006-2010",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",37.9,36.2,39.7,"Coffee County, Alabama",0.3,0.4,0.6
"G0100330","2006-2010",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",41.6,39.9,43.0,"Colbert County, Alabama",0.6,0.6,0.4
"G0100350","2006-2010",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",43.4,39.3,45.1,"Conecuh County, Alabama",1.1,4.3,0.6
"G0100370","2006-2010",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",43.8,43.0,44.4,"Coosa County, Alabama",0.7,1.1,0.7
"G0100390","2006-2010",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",42.1,40.6,43.6,"Covington County, Alabama",0.5,0.6,0.4
"G0100410","2006-2010",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",39.5,37.4,41.0,"Crenshaw County, Alabama",0.7,1.3,1.0
"G0100430","2006-2010",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",39.5,37.8,40.8,"Cullman County, Alabama",0.5,0.5,0.4
"G0100450","2006-2010",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",35.8,34.0,37.4,"Dale County, Alabama",0.3,0.6,0.4
"G0100470","2006-2010",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",36.8,35.5,38.8,"Dallas County, Alabama",0.3,0.4,0.8
"G0100490","2006-2010",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",37.0,35.6,39.2,"DeKalb County, Alabama",0.5,0.6,0.5
"G0100510","2006-2010",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",37.3,36.2,38.2,"Elmore County, Alabama",0.3,0.4,0.5
"G0100530","2006-2010",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",38.3,37.3,39.3,"Escambia County, Alabama",0.4,0.7,0.7
"G0100550","2006-2010",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",40.0,38.3,41.3,"Etowah County, Alabama",0.3,0.4,0.5
"G0100570","2006-2010",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",42.4,40.0,44.6,"Fayette County, Alabama",0.9,1.0,1.3
"G0100590","2006-2010",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",38.5,37.1,39.6,"Franklin County, Alabama",0.4,1.0,1.2
"G0100610","2006-2010",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",42.2,41.2,43.1,"Geneva County, Alabama",0.6,0.8,0.9
"G0100630","2006-2010",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",41.9,38.4,43.3,"Greene County, Alabama",1.2,5.8,1.0
"G0100650","2006-2010",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",39.1,36.4,41.3,"Hale County, Alabama",1.2,0.3,0.6
"G0100670","2006-2010",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",42.4,41.1,43.8,"Henry County, Alabama",0.6,1.5,1.3
"G0100690","2006-2010",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",38.0,36.9,39.3,"Houston County, Alabama",0.2,0.3,0.3
"G0100710","2006-2010",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",41.4,39.4,42.7,"Jackson County, Alabama",0.5,1.1,0.4
"G0100730","2006-2010",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",37.0,35.1,38.5,"Jefferson County, Alabama",0.1,0.1,0.2
"G0100750","2006-2010",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",42.2,42.0,42.5,"Lamar County, Alabama",0.7,1.4,0.8
"G0100770","2006-2010",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",39.7,38.5,40.7,"Lauderdale County, Alabama",0.3,0.4,0.3
"G0100790","2006-2010",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",40.2,38.9,41.0,"Lawrence County, Alabama",0.5,0.8,0.9
"G0100810","2006-2010",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",28.8,27.3,30.5,"Lee County, Alabama",0.2,0.3,0.2
"G0100830","2006-2010",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",38.5,37.8,39.2,"Limestone County, Alabama",0.5,0.5,0.4
"G0100850","2006-2010",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",39.7,39.5,39.9,"Lowndes County, Alabama",0.7,0.6,1.5
"G0100870","2006-2010",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",35.8,34.3,36.7,"Macon County, Alabama",0.4,1.0,0.6
"G0100890","2006-2010",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",37.1,35.8,38.2,"Madison County, Alabama",0.2,0.2,0.3
"G0100910","2006-2010",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",40.1,37.9,41.3,"Marengo County, Alabama",1.0,1.0,0.7
"G0100930","2006-2010",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",42.0,40.5,43.5,"Marion County, Alabama",0.6,0.8,0.4
"G0100950","2006-2010",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",38.0,36.2,39.5,"Marshall County, Alabama",0.4,0.4,0.5
"G0100970","2006-2010",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",36.3,34.8,37.7,"Mobile County, Alabama",0.2,0.1,0.2
"G0100990","2006-2010",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Alabama",39.7,37.9,40.7,"Monroe County, Alabama",0.8,2.1,0.8
"G0101010","2006-2010",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",34.6,32.6,36.6,"Montgomery County, Alabama",0.1,0.2,0.2
"G0101030","2006-2010",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",38.5,37.2,39.7,"Morgan County, Alabama",0.2,0.4,0.4
"G0101050","2006-2010",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Alabama",35.2,34.0,38.2,"Perry County, Alabama",2.0,2.0,2.9
"G0101070","2006-2010",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pickens County, Alabama",40.7,39.6,42.0,"Pickens County, Alabama",0.7,0.5,1.7
"G0101090","2006-2010",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Alabama",31.7,30.5,33.2,"Pike County, Alabama",0.4,0.5,0.6
"G0101110","2006-2010",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Alabama",40.0,37.4,42.5,"Randolph County, Alabama",1.0,1.3,0.7
"G0101130","2006-2010",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Alabama",36.4,34.1,38.1,"Russell County, Alabama",0.4,0.5,0.9
"G0101150","2006-2010",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",38.2,37.0,39.5,"St. Clair County, Alabama",0.4,0.5,0.6
"G0101170","2006-2010",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",36.5,35.6,37.4,"Shelby County, Alabama",0.1,0.2,0.2
"G0101190","2006-2010",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Alabama",36.9,34.5,39.5,"Sumter County, Alabama",2.1,0.5,0.6
"G0101210","2006-2010",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",38.6,37.6,39.7,"Talladega County, Alabama",0.4,0.4,0.5
"G0101230","2006-2010",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",41.2,40.2,42.6,"Tallapoosa County, Alabama",0.4,0.6,0.5
"G0101250","2006-2010",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",31.2,30.0,32.5,"Tuscaloosa County, Alabama",0.2,0.1,0.3
"G0101270","2006-2010",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",40.5,38.8,42.3,"Walker County, Alabama",0.4,0.6,0.5
"G0101290","2006-2010",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Alabama",39.4,36.9,40.5,"Washington County, Alabama",0.8,1.9,1.2
"G0101310","2006-2010",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilcox County, Alabama",36.7,34.8,38.8,"Wilcox County, Alabama",1.0,1.4,1.6
"G0101330","2006-2010",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winston County, Alabama",42.6,41.9,43.0,"Winston County, Alabama",0.5,1.9,0.8
"G0200130","2006-2010",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians East Borough, Alaska",38.5,38.0,38.8,"Aleutians East Borough, Alaska",2.1,3.3,3.3
"G0200160","2006-2010",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians West Census Area, Alaska",42.0,42.2,40.1,"Aleutians West Census Area, Alaska",2.1,1.4,7.3
"G0200200","2006-2010",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",33.0,32.4,33.8,"Anchorage Municipality, Alaska",0.1,0.2,0.2
"G0200500","2006-2010",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethel Census Area, Alaska",25.8,26.6,24.9,"Bethel Census Area, Alaska",0.4,0.7,0.9
"G0200600","2006-2010",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol Bay Borough, Alaska",38.9,36.5,41.5,"Bristol Bay Borough, Alaska",7.5,7.7,11.3
"G0200680","2006-2010",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Denali Borough, Alaska",42.4,45.0,34.1,"Denali Borough, Alaska",4.1,2.8,7.5
"G0200700","2006-2010",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dillingham Census Area, Alaska",28.9,28.9,29.0,"Dillingham Census Area, Alaska",0.6,0.8,1.0
"G0200900","2006-2010",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",30.8,30.0,31.6,"Fairbanks North Star Borough, Alaska",0.2,0.2,0.3
"G0201000","2006-2010",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haines Borough, Alaska",49.6,49.6,49.9,"Haines Borough, Alaska",5.9,7.2,6.8
"G0201050","2006-2010",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoonah-Angoon Census Area, Alaska",45.7,46.5,45.0,"Hoonah-Angoon Census Area, Alaska",1.6,2.3,3.2
"G0201100","2006-2010",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juneau City and Borough, Alaska",38.6,37.8,39.2,"Juneau City and Borough, Alaska",0.5,0.7,0.8
"G0201220","2006-2010",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenai Peninsula Borough, Alaska",40.6,40.5,40.8,"Kenai Peninsula Borough, Alaska",0.4,0.8,0.5
"G0201300","2006-2010",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ketchikan Gateway Borough, Alaska",38.3,38.2,38.4,"Ketchikan Gateway Borough, Alaska",0.7,1.4,1.2
"G0201500","2006-2010",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kodiak Island Borough, Alaska",33.5,31.5,34.8,"Kodiak Island Borough, Alaska",1.8,2.5,1.7
"G0201640","2006-2010",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake and Peninsula Borough, Alaska",18.0,17.4,22.1,"Lake and Peninsula Borough, Alaska",9.8,6.5,10.4
"G0201700","2006-2010",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",34.7,34.5,34.9,"Matanuska-Susitna Borough, Alaska",0.1,0.3,0.2
"G0201800","2006-2010",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nome Census Area, Alaska",27.7,27.8,27.6,"Nome Census Area, Alaska",0.8,1.3,0.8
"G0201850","2006-2010",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Slope Borough, Alaska",26.1,26.0,26.7,"North Slope Borough, Alaska",1.3,2.0,2.4
"G0201880","2006-2010",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northwest Arctic Borough, Alaska",25.7,26.6,25.2,"Northwest Arctic Borough, Alaska",0.3,1.0,0.3
"G0201950","2006-2010",,,"Alaska","02","Petersburg Census Area","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Petersburg Census Area, Alaska",42.8,42.2,43.9,"Petersburg Census Area, Alaska",1.7,2.1,3.4
"G0201980","2006-2010",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area, Alaska",39.5,41.1,38.1,"Prince of Wales-Hyder Census Area, Alaska",0.6,0.6,1.0
"G0202200","2006-2010",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sitka City and Borough, Alaska",40.0,40.4,39.9,"Sitka City and Borough, Alaska",1.2,3.2,1.6
"G0202300","2006-2010",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skagway Municipality, Alaska",37.2,35.8,37.3,"Skagway Municipality, Alaska",10.6,17.8,3.2
"G0202400","2006-2010",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southeast Fairbanks Census Area, Alaska",35.9,36.8,35.0,"Southeast Fairbanks Census Area, Alaska",0.7,2.8,2.5
"G0202610","2006-2010",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valdez-Cordova Census Area, Alaska",39.0,38.9,39.0,"Valdez-Cordova Census Area, Alaska",1.1,1.7,1.3
"G0202700","2006-2010",,,"Alaska","02","Wade Hampton Census Area","270",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wade Hampton Census Area, Alaska",21.5,21.3,21.8,"Wade Hampton Census Area, Alaska",0.2,0.2,0.4
"G0202750","2006-2010",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wrangell City and Borough, Alaska",42.1,45.5,37.0,"Wrangell City and Borough, Alaska",6.2,8.6,5.6
"G0202820","2006-2010",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yakutat City and Borough, Alaska",38.6,41.8,37.4,"Yakutat City and Borough, Alaska",5.9,15.2,3.6
"G0202900","2006-2010",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yukon-Koyukuk Census Area, Alaska",35.1,35.3,34.6,"Yukon-Koyukuk Census Area, Alaska",0.4,0.5,1.1
"G0400010","2006-2010",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",31.5,30.2,33.4,"Apache County, Arizona",0.3,0.2,0.6
"G0400030","2006-2010",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cochise County, Arizona",39.7,37.8,41.8,"Cochise County, Arizona",0.4,0.4,0.4
"G0400050","2006-2010",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconino County, Arizona",30.8,30.3,31.3,"Coconino County, Arizona",0.2,0.2,0.3
"G0400070","2006-2010",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gila County, Arizona",46.9,46.4,47.4,"Gila County, Arizona",0.3,0.4,0.4
"G0400090","2006-2010",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graham County, Arizona",31.5,31.1,32.0,"Graham County, Arizona",0.6,0.7,0.7
"G0400110","2006-2010",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenlee County, Arizona",35.2,34.0,36.2,"Greenlee County, Arizona",0.8,1.1,1.3
"G0400120","2006-2010",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,,,"La Paz County, Arizona",52.5,52.4,52.6,"La Paz County, Arizona",0.5,0.9,0.5
"G0400130","2006-2010",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maricopa County, Arizona",34.1,33.0,35.2,"Maricopa County, Arizona",0.1,0.1,0.1
"G0400150","2006-2010",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mohave County, Arizona",46.3,45.6,47.2,"Mohave County, Arizona",0.2,0.2,0.3
"G0400170","2006-2010",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Navajo County, Arizona",33.8,32.8,35.1,"Navajo County, Arizona",0.2,0.4,0.1
"G0400190","2006-2010",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pima County, Arizona",37.3,35.9,38.8,"Pima County, Arizona",0.2,0.1,0.2
"G0400210","2006-2010",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pinal County, Arizona",35.7,35.2,36.4,"Pinal County, Arizona",0.2,0.2,0.2
"G0400230","2006-2010",,,"Arizona","04","Santa Cruz County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Cruz County, Arizona",35.2,31.6,37.9,"Santa Cruz County, Arizona",0.5,0.8,0.9
"G0400250","2006-2010",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yavapai County, Arizona",48.1,46.9,49.2,"Yavapai County, Arizona",0.2,0.3,0.2
"G0400270","2006-2010",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuma County, Arizona",33.9,32.6,35.4,"Yuma County, Arizona",0.2,0.3,0.1
"G0500010","2006-2010",,,"Arkansas","05","Arkansas County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas County, Arkansas",42.0,40.5,43.6,"Arkansas County, Arkansas",0.7,0.7,0.6
"G0500030","2006-2010",,,"Arkansas","05","Ashley County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashley County, Arkansas",38.6,38.2,38.8,"Ashley County, Arkansas",0.6,0.8,0.7
"G0500050","2006-2010",,,"Arkansas","05","Baxter County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baxter County, Arkansas",50.1,49.0,51.2,"Baxter County, Arkansas",0.1,0.5,0.4
"G0500070","2006-2010",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County, Arkansas",34.4,33.6,35.2,"Benton County, Arkansas",0.2,0.3,0.1
"G0500090","2006-2010",,,"Arkansas","05","Boone County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Arkansas",40.6,39.4,42.0,"Boone County, Arkansas",0.5,0.8,1.0
"G0500110","2006-2010",,,"Arkansas","05","Bradley County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bradley County, Arkansas",40.1,39.2,40.6,"Bradley County, Arkansas",1.6,2.8,3.8
"G0500130","2006-2010",,,"Arkansas","05","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Arkansas",40.4,37.7,43.0,"Calhoun County, Arkansas",1.1,0.8,1.3
"G0500150","2006-2010",,,"Arkansas","05","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carroll County, Arkansas",43.7,42.1,45.6,"Carroll County, Arkansas",0.7,1.0,0.9
"G0500170","2006-2010",,,"Arkansas","05","Chicot County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicot County, Arkansas",41.9,40.5,42.7,"Chicot County, Arkansas",0.8,1.9,0.7
"G0500190","2006-2010",,,"Arkansas","05","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Arkansas",33.1,31.1,35.2,"Clark County, Arkansas",0.8,1.0,1.6
"G0500210","2006-2010",,,"Arkansas","05","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Arkansas",43.0,40.8,44.7,"Clay County, Arkansas",1.1,0.7,0.3
"G0500230","2006-2010",,,"Arkansas","05","Cleburne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Arkansas",46.0,44.8,47.2,"Cleburne County, Arkansas",0.3,0.6,0.5
"G0500250","2006-2010",,,"Arkansas","05","Cleveland County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleveland County, Arkansas",39.1,37.8,41.3,"Cleveland County, Arkansas",1.1,1.6,1.3
"G0500270","2006-2010",,,"Arkansas","05","Columbia County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County, Arkansas",36.9,34.8,38.1,"Columbia County, Arkansas",0.6,0.5,0.7
