GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,LHT001,LHT002,LHT003,LHT004
"G0100770","2010","3","6","Alabama","01","Lauderdale County","077",,,,,,,,,,,"22520","99999","999",,,,,,,,,,,,"Lauderdale County",38680,15926,11000,11754
"G0100790","2010","3","6","Alabama","01","Lawrence County","079",,,,,,,,,,,"19460","99999","290",,,,,,,,,,,,"Lawrence County",13654,5829,5143,2682
"G0100810","2010","3","6","Alabama","01","Lee County","081",,,,,,,,,,,"12220","99999","194",,,,,,,,,,,,"Lee County",55682,23531,10671,21480
"G0100830","2010","3","6","Alabama","01","Limestone County","083",,,,,,,,,,,"26620","99999","290",,,,,,,,,,,,"Limestone County",31446,16575,7612,7259
"G0100850","2010","3","6","Alabama","01","Lowndes County","085",,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,"Lowndes County",4352,1695,1718,939
"G0100870","2010","3","6","Alabama","01","Macon County","087",,,,,,,,,,,"46260","99999","194",,,,,,,,,,,,"Macon County",8499,2915,2478,3106
"G0100890","2010","3","6","Alabama","01","Madison County","089",,,,,,,,,,,"26620","99999","290",,,,,,,,,,,,"Madison County",134700,68077,24076,42547
"G0100910","2010","3","6","Alabama","01","Marengo County","091",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Marengo County",8535,3221,3181,2133
"G0100930","2010","3","6","Alabama","01","Marion County","093",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Marion County",12651,4567,4655,3429
"G0100950","2010","3","6","Alabama","01","Marshall County","095",,,,,,,,,,,"10700","99999","999",,,,,,,,,,,,"Marshall County",35810,15331,9987,10492
"G0100970","2010","3","6","Alabama","01","Mobile County","097",,,,,,,,,,,"33660","99999","380",,,,,,,,,,,,"Mobile County",158435,70993,35086,52356
"G0100990","2010","3","6","Alabama","01","Monroe County","099",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Monroe County",9214,3494,3583,2137
"G0101010","2010","3","6","Alabama","01","Montgomery County","101",,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,"Montgomery County",89981,40223,15056,34702
"G0101030","2010","3","6","Alabama","01","Morgan County","103",,,,,,,,,,,"19460","99999","290",,,,,,,,,,,,"Morgan County",47030,21808,11827,13395
"G0101050","2010","3","6","Alabama","01","Perry County","105",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Perry County",3947,1132,1610,1205
"G0101070","2010","3","6","Alabama","01","Pickens County","107",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Pickens County",8012,2997,3101,1914
"G0101090","2010","3","6","Alabama","01","Pike County","109",,,,,,,,,,,"45980","99999","999",,,,,,,,,,,,"Pike County",13210,4424,3481,5305
"G0101110","2010","3","6","Alabama","01","Randolph County","111",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Randolph County",9164,3377,3424,2363
"G0101130","2010","3","6","Alabama","01","Russell County","113",,,,,,,,,,,"17980","99999","194",,,,,,,,,,,,"Russell County",21229,8011,4725,8493
"G0101150","2010","3","6","Alabama","01","St. Clair County","115",,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,"St. Clair County",31624,17124,8386,6114
"G0101170","2010","3","6","Alabama","01","Shelby County","117",,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,"Shelby County",74072,46098,13031,14943
"G0101190","2010","3","6","Alabama","01","Sumter County","119",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Sumter County",5629,1718,2180,1731
"G0101210","2010","3","6","Alabama","01","Talladega County","121",,,,,,,,,,,"45180","99999","999",,,,,,,,,,,,"Talladega County",31890,13258,9903,8729
"G0101230","2010","3","6","Alabama","01","Tallapoosa County","123",,,,,,,,,,,"10760","99999","388",,,,,,,,,,,,"Tallapoosa County",16985,7162,5168,4655
"G0101250","2010","3","6","Alabama","01","Tuscaloosa County","125",,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,"Tuscaloosa County",76141,31320,14339,30482
"G0101270","2010","3","6","Alabama","01","Walker County","127",,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,"Walker County",26571,10046,10088,6437
"G0101290","2010","3","6","Alabama","01","Washington County","129",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Washington County",6758,2445,3273,1040
"G0101310","2010","3","6","Alabama","01","Wilcox County","131",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Wilcox County",4484,1543,2040,901
"G0101330","2010","3","6","Alabama","01","Winston County","133",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Winston County",10163,3635,4183,2345
"G0200130","2010","4","9","Alaska","02","Aleutians East Borough","013",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Aleutians East Borough",553,103,182,268
"G0200160","2010","4","9","Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Aleutians West Census Area",1212,211,180,821
"G0200200","2010","4","9","Alaska","02","Anchorage Municipality","020",,,,,,,,,,,"11260","99999","999",,,,,,,,,,,,"Anchorage Municipality",107332,50824,13461,43047
"G0200500","2010","4","9","Alaska","02","Bethel Census Area","050",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Bethel Census Area",4651,856,1846,1949
"G0200600","2010","4","9","Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Bristol Bay Borough",423,87,133,203
