GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JM0E001,JM0E002,JM0E003,JM0E004,JM0E005,JM0E006,JM0E007,JM0E008,JM0E009,JM0E010,JM0E011,JM0E012,JM0E013,JM0E014,JM0E015,JM0E016,JM0E017,JM0E018,JM0E019,JM0E020,JM0E021,JT5E001,JT5E002,JT5E003,NAME_M,JM0M001,JM0M002,JM0M003,JM0M004,JM0M005,JM0M006,JM0M007,JM0M008,JM0M009,JM0M010,JM0M011,JM0M012,JM0M013,JM0M014,JM0M015,JM0M016,JM0M017,JM0M018,JM0M019,JM0M020,JM0M021,JT5M001,JT5M002,JT5M003
"G2800530","2006-2010",,,"Mississippi","28","Humphreys County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Humphreys County, Mississippi",2950,2644,2196,448,327,84,18,11,8,0,0,0,0,0,0,5,0,0,206,13,82,9610,465,9145,"Humphreys County, Mississippi",250,242,227,203,167,73,25,18,15,127,127,127,127,127,127,9,127,127,122,19,47,-1,-1,-1
"G2800550","2006-2010",,,"Mississippi","28","Issaquena County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Issaquena County, Mississippi",545,488,436,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,26,1893,51,1842,"Issaquena County, Mississippi",91,90,89,35,35,127,127,127,127,127,127,127,127,127,127,127,127,127,11,27,29,-1,-1,-1
"G2800570","2006-2010",,,"Mississippi","28","Itawamba County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Itawamba County, Mississippi",9806,9349,8216,1133,767,288,65,13,0,58,58,0,0,0,0,32,0,0,152,94,121,23329,1862,21467,"Itawamba County, Mississippi",530,542,538,223,211,132,63,20,127,45,45,127,127,127,127,49,127,127,98,73,67,-1,-1,-1
"G2800590","2006-2010",,,"Mississippi","28","Jackson County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Mississippi",58915,56697,49957,6740,5089,905,366,197,183,190,190,0,0,0,0,0,116,141,610,491,670,137082,7900,129182,"Jackson County, Mississippi",1117,1176,1286,798,598,238,308,135,177,133,133,127,127,127,127,127,78,92,223,183,168,-1,-1,-1
"G2800610","2006-2010",,,"Mississippi","28","Jasper County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jasper County, Mississippi",6602,6390,5713,677,543,40,3,30,61,19,19,0,0,0,0,0,0,5,18,100,70,17383,416,16967,"Jasper County, Mississippi",567,572,561,178,173,29,6,41,76,33,33,127,127,127,127,127,127,10,26,78,54,-1,-1,-1
"G2800630","2006-2010",,,"Mississippi","28","Jefferson County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Mississippi",2225,2056,1820,236,170,60,3,0,3,0,0,0,0,0,0,0,0,0,0,0,169,7970,260,7710,"Jefferson County, Mississippi",340,290,296,102,85,65,5,127,5,127,127,127,127,127,127,127,127,127,127,127,126,-1,-1,-1
"G2800650","2006-2010",,,"Mississippi","28","Jefferson Davis County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson Davis County, Mississippi",4306,4078,3679,399,318,47,0,0,34,0,0,0,0,0,0,0,0,0,107,96,25,12666,255,12411,"Jefferson Davis County, Mississippi",377,389,410,184,172,47,127,127,49,127,127,127,127,127,127,127,127,127,79,65,24,-1,-1,-1
"G2800670","2006-2010",,,"Mississippi","28","Jones County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jones County, Mississippi",26834,25493,22884,2609,1914,576,44,68,7,165,165,0,0,0,0,0,0,11,290,91,784,67144,5611,61533,"Jones County, Mississippi",744,784,767,417,375,203,43,61,14,137,137,127,127,127,127,127,127,17,116,70,208,-1,-1,-1
"G2800690","2006-2010",,,"Mississippi","28","Kemper County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kemper County, Mississippi",3328,3076,2619,457,417,24,16,0,0,60,60,0,0,0,0,13,0,0,17,99,63,10470,489,9981,"Kemper County, Mississippi",770,746,619,203,177,36,29,127,127,66,66,127,127,127,127,25,127,127,20,82,65,-1,-1,-1
"G2800710","2006-2010",,,"Mississippi","28","Lafayette County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lafayette County, Mississippi",20177,18390,16337,2053,1732,237,53,31,0,124,124,0,0,0,0,0,48,124,629,174,688,45859,1896,43963,"Lafayette County, Mississippi",676,727,708,400,361,125,47,30,127,163,163,127,127,127,127,127,46,93,236,100,176,-1,-1,-1
"G2800730","2006-2010",,,"Mississippi","28","Lamar County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Mississippi",24665,23275,21113,2162,1504,356,152,47,103,24,24,0,0,0,0,0,34,14,265,186,867,52559,2184,50375,"Lamar County, Mississippi",656,695,849,393,294,145,98,55,169,28,28,127,127,127,127,127,38,23,152,92,264,-1,-1,-1
"G2800750","2006-2010",,,"Mississippi","28","Lauderdale County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Mississippi",32530,29172,26307,2865,2149,416,127,60,113,58,36,0,0,22,0,44,53,38,1448,198,1519,79405,4402,75003,"Lauderdale County, Mississippi",790,1155,1102,452,412,165,84,46,85,56,35,127,127,34,127,41,39,40,630,91,1015,-1,-1,-1
"G2800770","2006-2010",,,"Mississippi","28","Lawrence County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Mississippi",4684,4258,3613,645,376,170,52,39,8,13,13,0,0,0,0,0,0,0,205,85,123,13016,406,12610,"Lawrence County, Mississippi",305,312,321,153,122,90,38,42,13,19,19,127,127,127,127,127,127,127,115,55,72,-1,-1,-1
"G2800790","2006-2010",,,"Mississippi","28","Leake County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leake County, Mississippi",7713,7344,6242,1102,725,178,140,26,33,21,21,0,0,0,0,0,31,10,30,71,206,23547,1496,22051,"Leake County, Mississippi",497,496,437,256,252,94,93,39,39,36,36,127,127,127,127,127,36,17,31,68,84,-1,-1,-1
"G2800810","2006-2010",,,"Mississippi","28","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Mississippi",35716,34541,31429,3112,2597,334,120,19,42,61,61,0,0,0,0,51,19,38,400,102,504,81446,6031,75415,"Lee County, Mississippi",855,870,991,470,435,127,80,25,67,56,56,127,127,127,127,60,21,51,149,75,141,-1,-1,-1
"G2800830","2006-2010",,,"Mississippi","28","Leflore County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leflore County, Mississippi",10440,9806,8126,1680,1185,323,138,20,14,12,12,0,0,0,0,32,0,28,266,95,201,33109,1628,31481,"Leflore County, Mississippi",549,584,600,309,226,171,96,32,20,20,20,127,127,127,127,40,127,33,139,68,112,-1,-1,-1
