GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JM0E001,JM0E002,JM0E003,JM0E004,JM0E005,JM0E006,JM0E007,JM0E008,JM0E009,JM0E010,JM0E011,JM0E012,JM0E013,JM0E014,JM0E015,JM0E016,JM0E017,JM0E018,JM0E019,JM0E020,JM0E021,JT5E001,JT5E002,JT5E003,NAME_M,JM0M001,JM0M002,JM0M003,JM0M004,JM0M005,JM0M006,JM0M007,JM0M008,JM0M009,JM0M010,JM0M011,JM0M012,JM0M013,JM0M014,JM0M015,JM0M016,JM0M017,JM0M018,JM0M019,JM0M020,JM0M021,JT5M001,JT5M002,JT5M003
"G0100010","2006-2010",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",24499,23542,21279,2263,1712,367,112,68,4,72,72,0,0,0,0,46,111,12,206,34,476,53155,2505,50650,"Autauga County, Alabama",560,633,670,375,323,142,81,53,5,51,51,119,119,119,119,59,57,18,97,33,172,-1,-1,-1
"G0100030","2006-2010",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",77184,72570,64459,8111,6046,1196,536,84,249,241,241,0,0,0,0,14,197,97,1111,458,2496,175791,8570,167221,"Baldwin County, Alabama",1313,1378,1619,918,746,356,289,62,176,139,139,119,119,119,119,21,88,79,403,194,328,-1,-1,-1
"G0100050","2006-2010",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",9661,9056,7631,1425,1012,157,98,65,93,30,30,0,0,0,0,0,13,11,227,137,187,27699,1446,26253,"Barbour County, Alabama",459,436,466,258,258,74,58,49,83,47,47,119,119,119,119,119,21,18,108,81,84,-1,-1,-1
"G0100070","2006-2010",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",9521,9093,8092,1001,690,153,85,73,0,50,50,0,0,0,0,8,51,0,84,60,175,22610,1059,21551,"Bibb County, Alabama",562,584,606,318,264,110,67,90,119,62,62,119,119,119,119,12,79,119,89,48,120,-1,-1,-1
"G0100090","2006-2010",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",23978,22756,19335,3421,2348,615,240,216,2,13,13,0,0,0,0,0,5,11,352,61,780,56692,3274,53418,"Blount County, Alabama",873,849,804,468,359,312,128,178,3,21,21,119,119,119,119,119,10,18,172,44,154,-1,-1,-1
"G0100110","2006-2010",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",4090,3952,3347,605,415,123,67,0,0,0,0,0,0,0,0,0,0,0,74,58,6,10923,407,10516,"Bullock County, Alabama",396,383,431,215,155,105,91,119,119,119,119,119,119,119,119,119,119,119,86,64,10,-1,-1,-1
"G0100130","2006-2010",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",7876,7609,6911,698,573,107,18,0,0,34,34,0,0,0,0,0,3,0,45,119,66,20895,1044,19851,"Butler County, Alabama",364,353,336,183,164,70,20,119,119,26,26,119,119,119,119,119,5,119,39,73,47,-1,-1,-1
"G0100150","2006-2010",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",46345,44221,39805,4416,3094,845,259,183,35,152,152,0,0,0,0,49,188,93,478,429,735,117149,7488,109661,"Calhoun County, Alabama",1025,1013,1046,443,396,250,102,144,52,93,93,119,119,119,119,59,106,52,143,145,188,-1,-1,-1
"G0100170","2006-2010",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",13255,12573,10928,1645,1464,84,76,6,15,26,26,0,0,0,0,0,37,0,77,117,425,34579,1594,32985,"Chambers County, Alabama",492,509,540,342,313,57,87,9,24,30,30,119,119,119,119,119,50,119,42,86,194,-1,-1,-1
"G0100190","2006-2010",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",10234,9700,7970,1730,1385,270,17,18,40,0,0,0,0,0,0,0,63,0,50,247,174,25700,2974,22726,"Cherokee County, Alabama",499,493,531,410,395,185,30,28,52,119,119,119,119,119,119,119,49,119,40,184,80,-1,-1,-1
"G0100210","2006-2010",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",18101,17454,14640,2814,2089,447,262,5,11,16,16,0,0,0,0,14,26,42,188,72,289,43121,2622,40499,"Chilton County, Alabama",595,615,620,346,350,169,150,9,15,26,26,119,119,119,119,25,24,39,95,49,118,-1,-1,-1
"G0100230","2006-2010",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",4307,4067,3411,656,339,195,102,20,0,7,7,0,0,0,0,0,0,0,38,59,136,14111,479,13632,"Choctaw County, Alabama",334,323,314,153,120,90,54,24,119,14,14,119,119,119,119,119,119,119,33,51,80,-1,-1,-1
"G0100250","2006-2010",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",8031,7783,7232,551,336,173,39,0,3,24,24,0,0,0,0,0,0,21,59,54,90,26255,1142,25113,"Clarke County, Alabama",500,474,448,165,117,95,39,119,5,21,21,119,119,119,119,119,119,28,49,39,66,-1,-1,-1
"G0100270","2006-2010",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",5518,5171,4374,797,559,108,97,6,27,11,11,0,0,0,0,0,0,0,53,15,268,14040,847,13193,"Clay County, Alabama",338,336,354,215,191,72,54,16,40,18,18,119,119,119,119,119,119,119,36,19,116,-1,-1,-1
"G0100290","2006-2010",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",5524,5127,4373,754,625,84,39,0,6,0,0,0,0,0,0,0,17,0,108,56,216,14823,947,13876,"Cleburne County, Alabama",465,460,411,169,164,58,60,119,10,119,119,119,119,119,119,119,23,119,72,69,91,-1,-1,-1
"G0100310","2006-2010",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",20492,19327,17327,2000,1441,319,230,1,9,13,13,0,0,0,0,0,39,27,321,283,482,48349,3177,45172,"Coffee County, Alabama",600,604,656,315,234,156,139,4,11,20,20,119,119,119,119,119,29,28,121,127,123,-1,-1,-1
"G0100330","2006-2010",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",22540,21622,19273,2349,1988,187,109,31,34,38,26,0,0,12,0,18,56,0,285,169,352,54446,3972,50474,"Colbert County, Alabama",639,657,778,369,354,82,72,36,34,38,33,119,119,17,119,21,39,119,115,84,122,-1,-1,-1
"G0100350","2006-2010",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",4395,4355,3796,559,473,36,13,0,37,0,0,0,0,0,0,0,0,0,0,21,19,13382,372,13010,"Conecuh County, Alabama",362,362,415,215,204,59,17,119,53,119,119,119,119,119,119,119,119,119,119,36,32,-1,-1,-1
"G0100370","2006-2010",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",4093,3773,3227,546,520,26,0,0,0,33,33,0,0,0,0,0,0,0,24,56,207,11470,462,11008,"Coosa County, Alabama",278,283,280,184,172,30,119,119,119,26,26,119,119,119,119,119,119,119,23,38,134,-1,-1,-1
"G0100390","2006-2010",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",15491,14129,12321,1808,1363,380,23,20,22,2,0,2,0,0,0,0,29,0,287,603,441,37608,2277,35331,"Covington County, Alabama",526,568,562,335,280,192,26,32,35,21,119,21,119,119,119,119,30,119,114,194,160,-1,-1,-1
"G0100410","2006-2010",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",5837,5383,4694,689,457,120,0,14,98,0,0,0,0,0,0,0,15,12,82,60,285,13928,824,13104,"Crenshaw County, Alabama",305,305,300,157,125,66,119,17,79,119,119,119,119,119,119,119,22,17,51,37,145,-1,-1,-1
"G0100430","2006-2010",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",33093,31602,26552,5050,2989,941,443,483,194,41,41,0,0,0,0,0,87,0,300,222,841,79941,4392,75549,"Cullman County, Alabama",928,922,816,733,471,301,174,391,106,34,34,119,119,119,119,119,59,119,106,112,197,-1,-1,-1
"G0100450","2006-2010",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",21775,20328,17968,2360,1862,290,177,24,7,68,68,0,0,0,0,0,91,18,641,173,456,49730,3657,46073,"Dale County, Alabama",518,522,590,388,346,93,114,23,9,59,59,119,119,119,119,119,45,21,398,80,180,-1,-1,-1
"G0100470","2006-2010",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",15102,14475,12712,1763,1311,306,117,2,27,13,13,0,0,0,0,84,0,8,204,164,154,44066,2305,41761,"Dallas County, Alabama",674,633,626,307,274,149,87,8,35,21,21,119,119,119,119,55,119,13,115,80,91,-1,-1,-1
"G0100490","2006-2010",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",27818,26453,22650,3803,2822,650,163,164,4,39,36,0,3,0,0,0,34,20,378,192,702,70038,4993,65045,"DeKalb County, Alabama",995,992,972,623,602,216,110,127,8,35,34,119,6,119,119,119,37,32,173,113,186,-1,-1,-1
"G0100510","2006-2010",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",32399,31028,27330,3698,3110,468,59,17,44,52,37,0,15,0,0,0,86,16,286,165,766,77650,3607,74043,"Elmore County, Alabama",1122,1114,1101,440,413,142,46,17,42,43,32,119,30,119,119,119,60,27,116,85,163,-1,-1,-1
"G0100530","2006-2010",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",13099,12235,10696,1539,938,438,51,112,0,44,44,0,0,0,0,0,0,0,142,183,495,37996,1868,36128,"Escambia County, Alabama",571,656,639,291,209,166,31,82,119,50,50,119,119,119,119,119,119,119,82,79,257,-1,-1,-1
"G0100550","2006-2010",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",40160,38410,34098,4312,3336,608,174,79,115,24,24,0,0,0,0,0,34,1,339,107,1245,104066,5139,98927,"Etowah County, Alabama",1046,1057,1102,518,449,164,75,67,94,37,37,119,119,119,119,119,35,4,144,53,257,-1,-1,-1
"G0100570","2006-2010",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",6651,6433,5690,743,553,86,69,10,25,14,14,0,0,0,0,0,0,0,97,20,87,17472,974,16498,"Fayette County, Alabama",433,443,420,206,175,54,67,16,36,22,22,119,119,119,119,119,119,119,72,30,49,-1,-1,-1
"G0100590","2006-2010",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",13101,12593,10417,2176,1480,490,123,83,0,23,23,0,0,0,0,0,0,0,121,193,171,31383,2041,29342,"Franklin County, Alabama",506,477,494,337,324,159,63,122,119,31,31,119,119,119,119,119,119,119,63,114,64,-1,-1,-1
"G0100610","2006-2010",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",10661,10096,9028,1068,839,43,179,7,0,0,0,0,0,0,0,0,12,0,88,98,367,26541,1852,24689,"Geneva County, Alabama",516,519,547,263,226,40,125,12,119,119,119,119,119,119,119,119,19,119,62,57,140,-1,-1,-1
"G0100630","2006-2010",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",2848,2559,2070,489,363,8,87,0,31,81,81,0,0,0,0,0,0,0,120,43,45,9255,290,8965,"Greene County, Alabama",248,255,262,195,160,12,62,119,37,59,59,119,119,119,119,119,119,119,97,50,35,-1,-1,-1
"G0100650","2006-2010",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",5867,5517,4669,848,455,212,139,22,20,27,27,0,0,0,0,0,0,7,119,43,154,16168,679,15489,"Hale County, Alabama",292,281,275,149,135,92,71,31,22,32,32,119,119,119,119,119,119,10,103,41,94,-1,-1,-1
"G0100670","2006-2010",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",6968,6547,6175,372,266,96,10,0,0,29,29,0,0,0,0,0,14,0,20,123,235,17148,1072,16076,"Henry County, Alabama",341,363,371,147,130,82,16,119,119,42,42,119,119,119,119,119,27,119,33,83,109,-1,-1,-1
"G0100690","2006-2010",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",43180,41207,37567,3640,2816,636,129,23,36,116,116,0,0,0,0,84,105,55,259,564,790,99029,5191,93838,"Houston County, Alabama",592,584,677,342,256,225,42,13,22,46,46,119,119,119,119,40,35,30,60,110,124,-1,-1,-1
"G0100710","2006-2010",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",21646,20920,18638,2282,1643,402,88,133,16,46,46,0,0,0,0,0,8,0,210,143,319,53386,4529,48857,"Jackson County, Alabama",615,612,688,382,330,143,64,88,22,27,27,119,119,119,119,119,13,119,120,101,97,-1,-1,-1
"G0100730","2006-2010",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",294779,279187,246282,32905,25940,4460,1511,651,343,3197,3184,0,13,0,0,102,238,285,3643,1248,6879,656912,37934,618978,"Jefferson County, Alabama",2112,2167,2196,1560,1414,606,342,235,151,474,473,119,19,119,119,78,97,121,502,226,532,-1,-1,-1
"G0100750","2006-2010",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",5588,5239,4773,466,385,37,9,31,4,26,14,12,0,0,0,0,0,0,96,7,220,14743,1070,13673,"Lamar County, Alabama",327,341,304,148,128,40,16,41,7,26,19,17,119,119,119,119,119,119,66,11,127,-1,-1,-1
"G0100770","2006-2010",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",38025,36631,32795,3836,2714,607,114,203,198,12,0,12,0,0,0,38,21,23,509,86,705,91762,6599,85163,"Lauderdale County, Alabama",878,823,888,336,313,189,90,137,120,20,119,20,119,119,119,47,23,33,172,62,155,-1,-1,-1
"G0100790","2006-2010",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",14192,13738,12268,1470,1261,129,35,37,8,0,0,0,0,0,0,0,23,0,113,89,229,34235,2026,32209,"Lawrence County, Alabama",600,594,567,335,305,78,39,61,13,119,119,119,119,119,119,119,33,119,72,63,102,-1,-1,-1
"G0100810","2006-2010",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",60913,55956,48794,7162,5739,1116,245,35,27,526,449,62,15,0,0,59,244,447,1551,417,1713,135010,6205,128805,"Lee County, Alabama",1000,1016,966,699,634,289,134,28,31,187,157,70,30,119,119,35,88,120,265,174,282,-1,-1,-1
"G0100830","2006-2010",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",33219,31899,28581,3318,2789,266,211,46,6,80,80,0,0,0,0,0,52,40,218,287,643,78614,4301,74313,"Limestone County, Alabama",891,895,866,445,416,102,114,40,9,53,53,119,119,119,119,119,40,53,73,121,166,-1,-1,-1
"G0100850","2006-2010",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",4069,3747,3199,548,363,103,82,0,0,42,42,0,0,0,0,0,0,0,25,37,218,11731,629,11102,"Lowndes County, Alabama",241,265,295,143,108,56,62,119,119,59,59,119,119,119,119,119,119,119,37,28,79,-1,-1,-1
"G0100870","2006-2010",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",7823,7053,5910,1143,777,266,85,15,0,5,5,0,0,0,0,0,0,11,499,92,163,21699,1055,20644,"Macon County, Alabama",391,431,399,238,168,141,68,21,119,12,12,119,119,119,119,119,119,18,155,58,76,-1,-1,-1
"G0100890","2006-2010",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",154871,146474,131646,14828,11943,1785,632,369,99,606,559,0,21,0,26,95,248,115,1993,1124,4216,323080,25809,297271,"Madison County, Alabama",1503,1609,1692,1059,937,408,216,226,61,188,186,119,27,119,30,65,110,65,582,276,430,-1,-1,-1
"G0100910","2006-2010",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",7256,6928,6023,905,596,243,64,0,2,0,0,0,0,0,0,0,0,0,121,76,131,21296,1154,20142,"Marengo County, Alabama",467,469,418,222,167,119,56,119,5,119,119,119,119,119,119,119,119,119,81,66,61,-1,-1,-1
"G0100930","2006-2010",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",12261,11707,10275,1432,1005,293,111,23,0,45,45,0,0,0,0,0,0,0,139,158,212,30792,2051,28741,"Marion County, Alabama",477,500,463,369,270,185,78,25,119,71,71,119,119,119,119,119,119,119,75,110,105,-1,-1,-1
"G0100950","2006-2010",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",37809,35833,30156,5677,4126,906,434,176,35,44,44,0,0,0,0,0,77,0,419,328,1108,90867,4969,85898,"Marshall County, Alabama",837,877,977,569,504,256,235,96,35,52,52,119,119,119,119,119,79,119,178,161,259,-1,-1,-1
"G0100970","2006-2010",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",170204,161176,141831,19345,13449,3316,1402,536,642,744,724,0,0,0,20,23,324,136,2141,1141,4519,408620,19672,388948,"Mobile County, Alabama",2085,2181,2144,1230,988,488,324,260,421,161,161,119,119,119,31,36,116,83,434,235,559,-1,-1,-1
"G0100990","2006-2010",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Alabama",8562,8217,7257,960,585,165,163,40,7,0,0,0,0,0,0,0,31,0,144,30,140,23329,899,22430,"Monroe County, Alabama",554,526,518,217,180,124,136,41,11,119,119,119,119,119,119,119,44,119,82,32,73,-1,-1,-1
"G0101010","2006-2010",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",101033,96102,85101,11001,8560,1704,408,164,165,830,815,15,0,0,0,90,193,148,973,299,2398,228018,12492,215526,"Montgomery County, Alabama",1495,1594,1596,810,669,361,175,103,130,228,225,23,119,119,119,73,100,102,239,133,338,-1,-1,-1
"G0101030","2006-2010",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",51531,49749,43837,5912,4106,1063,427,201,115,137,137,0,0,0,0,0,90,3,315,191,1046,117632,7532,110100,"Morgan County, Alabama",817,820,974,680,579,264,167,115,84,82,82,119,119,119,119,119,72,5,136,128,266,-1,-1,-1
"G0101050","2006-2010",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Alabama",3304,2921,2450,471,328,62,68,13,0,0,0,0,0,0,0,0,0,0,172,64,147,10684,278,10406,"Perry County, Alabama",409,388,367,169,132,59,88,14,119,119,119,119,119,119,119,119,119,119,242,92,100,-1,-1,-1
"G0101070","2006-2010",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pickens County, Alabama",7041,6648,5830,818,654,97,27,8,32,64,64,0,0,0,0,0,0,0,37,17,275,19917,1007,18910,"Pickens County, Alabama",387,409,397,198,176,68,31,13,35,61,61,119,119,119,119,119,119,119,26,19,116,-1,-1,-1
"G0101090","2006-2010",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Alabama",13800,12913,11164,1749,1229,365,54,84,17,4,4,0,0,0,0,20,5,3,376,138,341,32147,2048,30099,"Pike County, Alabama",526,551,531,316,253,172,45,69,21,6,6,119,119,119,119,32,7,4,157,96,120,-1,-1,-1
"G0101110","2006-2010",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Alabama",8609,8134,6894,1240,724,275,163,55,23,0,0,0,0,0,0,0,17,24,181,78,175,22817,1822,20995,"Randolph County, Alabama",509,527,458,313,201,119,170,52,23,119,119,119,119,119,119,119,19,38,83,68,77,-1,-1,-1
"G0101130","2006-2010",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Alabama",20813,19671,16654,3017,2473,332,78,27,107,53,53,0,0,0,0,204,54,26,191,188,426,51663,2408,49255,"Russell County, Alabama",717,731,753,397,398,133,57,48,87,55,55,119,119,119,119,109,68,40,99,89,170,-1,-1,-1
"G0101150","2006-2010",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",34493,32802,28996,3806,2847,562,275,30,92,41,24,17,0,0,0,0,47,24,185,234,1160,80658,4122,76536,"St. Clair County, Alabama",840,854,922,555,537,188,117,38,69,39,29,27,119,119,119,119,50,34,85,102,316,-1,-1,-1
"G0101170","2006-2010",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",93843,87354,78960,8394,6880,995,291,62,166,202,184,0,18,0,0,45,248,18,958,424,4594,187880,8707,179173,"Shelby County, Alabama",1176,1388,1322,715,601,284,139,46,92,109,103,119,28,119,119,76,129,20,204,146,492,-1,-1,-1
"G0101190","2006-2010",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Alabama",5133,5016,4081,935,663,132,130,2,8,17,17,0,0,0,0,0,3,0,49,27,21,13871,492,13379,"Sumter County, Alabama",484,480,437,239,207,106,146,6,14,21,21,119,119,119,119,119,5,119,39,25,22,-1,-1,-1
"G0101210","2006-2010",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",31616,29475,26477,2998,2335,450,141,5,67,193,137,14,42,0,0,0,108,30,649,405,756,82347,4251,78096,"Talladega County, Alabama",973,1002,986,404,361,163,94,9,66,105,87,23,55,119,119,119,69,49,232,181,219,-1,-1,-1
"G0101230","2006-2010",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",17358,16604,14298,2306,1996,241,44,16,9,138,138,0,0,0,0,0,12,32,156,65,351,41534,2279,39255,"Tallapoosa County, Alabama",552,550,552,370,355,118,34,25,16,111,111,119,119,119,119,119,22,47,79,54,132,-1,-1,-1
"G0101250","2006-2010",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",84227,79319,71347,7972,5872,1381,443,93,183,577,577,0,0,0,0,123,89,302,1305,771,1741,188331,11693,176638,"Tuscaloosa County, Alabama",1580,1609,1609,705,582,402,211,73,104,194,194,119,119,119,119,88,46,163,351,204,286,-1,-1,-1
"G0101270","2006-2010",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",24688,23816,21095,2721,2110,367,164,57,23,44,44,0,0,0,0,0,26,0,144,231,427,67612,3401,64211,"Walker County, Alabama",752,734,692,335,315,121,89,51,25,38,38,119,119,119,119,119,22,119,84,108,127,-1,-1,-1
"G0101290","2006-2010",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Alabama",6316,5992,5296,696,497,120,74,5,0,0,0,0,0,0,0,0,0,0,46,133,145,17556,408,17148,"Washington County, Alabama",378,409,353,246,196,105,57,9,119,119,119,119,119,119,119,119,119,119,51,97,98,-1,-1,-1
"G0101310","2006-2010",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilcox County, Alabama",2425,2282,1781,501,283,70,90,58,0,24,24,0,0,0,0,0,0,0,72,8,39,12012,302,11710,"Wilcox County, Alabama",372,347,311,179,143,47,66,54,119,36,36,119,119,119,119,119,119,119,95,13,33,-1,-1,-1
"G0101330","2006-2010",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winston County, Alabama",9148,8285,7449,836,636,200,0,0,0,32,32,0,0,0,0,0,12,0,114,417,288,24687,992,23695,"Winston County, Alabama",711,750,696,279,222,154,119,119,119,39,39,119,119,119,119,119,20,119,97,202,117,-1,-1,-1
"G0200130","2006-2010",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians East Borough, Alaska",3015,185,135,50,32,7,3,1,7,0,0,0,0,0,0,1,5,0,2256,32,536,3703,3,3700,"Aleutians East Borough, Alaska",703,84,64,32,22,6,8,3,12,109,109,109,109,109,109,5,6,109,686,38,291,-1,-1,-1
"G0200160","2006-2010",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians West Census Area, Alaska",5373,720,463,257,146,95,6,10,0,40,38,0,0,0,2,10,0,5,3289,19,1290,6259,20,6239,"Aleutians West Census Area, Alaska",1116,232,161,186,98,116,6,10,109,43,43,109,109,109,3,9,109,6,1232,23,715,-1,-1,-1
"G0200200","2006-2010",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",146016,130139,110847,19292,15588,2165,782,605,152,2121,2121,0,0,0,0,293,317,1514,3859,2365,5408,284267,13513,270754,"Anchorage Municipality, Alaska",1514,1722,1491,1296,1168,428,245,317,78,342,342,109,109,109,109,165,150,344,503,316,677,-1,-1,-1
"G0200500","2006-2010",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethel Census Area, Alaska",5702,2011,1384,627,553,51,17,3,3,0,0,0,0,0,0,319,4,43,2108,932,285,16838,160,16678,"Bethel Census Area, Alaska",234,290,226,221,210,46,23,5,5,109,109,109,109,109,109,139,5,31,155,115,94,-1,-1,-1
