GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7W001,H7W002,H7W003,H7W004,H7W005,H7W006,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008
"G2000530","2010","2","4","Kansas","20","Ellsworth County","053",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Ellsworth County",,6497,6497,2982,0,2982,3515,0,6497,5991,299,36,24,0,37,110
"G2000550","2010","2","4","Kansas","20","Finney County","055",,,,,,,,,,,,,,"23780","99999","999",,,,,,,,,,,,,,"Finney County",,36776,36776,29942,0,29942,6834,0,36776,28304,841,336,1237,14,4995,1049
"G2000570","2010","2","4","Kansas","20","Ford County","057",,,,,,,,,,,,,,"19980","99999","999",,,,,,,,,,,,,,"Ford County",,33848,33848,27316,0,27316,6532,0,33848,25494,719,348,489,55,5831,912
"G2000590","2010","2","4","Kansas","20","Franklin County","059",,,,,,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Franklin County",,25992,25992,12450,0,12450,13542,0,25992,24362,329,214,100,2,270,715
"G2000610","2010","2","4","Kansas","20","Geary County","061",,,,,,,,,,,,,,"31740","99999","999",,,,,,,,,,,,,,"Geary County",,34362,34362,30351,0,30351,4011,0,34362,22738,6319,339,1101,264,1221,2380
"G2000630","2010","2","4","Kansas","20","Gove County","063",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Gove County",,2695,2695,0,0,0,2695,0,2695,2646,8,2,11,1,11,16
"G2000650","2010","2","4","Kansas","20","Graham County","065",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Graham County",,2597,2597,0,0,0,2597,0,2597,2385,99,17,9,0,12,75
"G2000670","2010","2","4","Kansas","20","Grant County","067",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Grant County",,7829,7829,6279,0,6279,1550,0,7829,6368,47,96,27,0,1109,182
"G2000690","2010","2","4","Kansas","20","Gray County","069",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Gray County",,6006,6006,0,0,0,6006,0,6006,5610,26,28,13,0,254,75
"G2000710","2010","2","4","Kansas","20","Greeley County","071",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Greeley County",,1247,1247,0,0,0,1247,0,1247,1143,6,7,4,0,69,18
"G2000730","2010","2","4","Kansas","20","Greenwood County","073",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Greenwood County",,6689,6689,2591,0,2591,4098,0,6689,6394,23,66,18,0,41,147
"G2000750","2010","2","4","Kansas","20","Hamilton County","075",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Hamilton County",,2690,2690,0,0,0,2690,0,2690,2134,8,33,7,3,467,38
"G2000770","2010","2","4","Kansas","20","Harper County","077",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Harper County",,6034,6034,0,0,0,6034,0,6034,5711,22,69,5,13,128,86
"G2000790","2010","2","4","Kansas","20","Harvey County","079",,,,,,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Harvey County",,34684,34684,23960,0,23960,10724,0,34684,31693,564,251,256,10,1100,810
"G2000810","2010","2","4","Kansas","20","Haskell County","081",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Haskell County",,4256,4256,0,0,0,4256,0,4256,3641,12,28,10,0,479,86
"G2000830","2010","2","4","Kansas","20","Hodgeman County","083",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Hodgeman County",,1916,1916,0,0,0,1916,0,1916,1806,20,3,8,0,48,31
"G2000850","2010","2","4","Kansas","20","Jackson County","085",,,,,,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Jackson County",,13462,13462,3245,0,3245,10217,0,13462,11743,73,1076,48,1,97,424
"G2000870","2010","2","4","Kansas","20","Jefferson County","087",,,,,,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Jefferson County",,19126,19126,226,226,0,18900,0,19126,18419,104,171,39,6,60,327
"G2000890","2010","2","4","Kansas","20","Jewell County","089",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Jewell County",,3077,3077,0,0,0,3077,0,3077,2994,5,20,6,0,13,39
"G2000910","2010","2","4","Kansas","20","Johnson County","091",,,,,,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Johnson County",,544179,544179,523317,515552,7765,20862,0,544179,468052,23636,2014,22743,299,13797,13638
"G2000930","2010","2","4","Kansas","20","Kearny County","093",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Kearny County",,3977,3977,0,0,0,3977,0,3977,3472,23,39,12,1,345,85
"G2000950","2010","2","4","Kansas","20","Kingman County","095",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Kingman County",,7858,7858,2978,0,2978,4880,0,7858,7611,14,47,36,2,49,99
"G2000970","2010","2","4","Kansas","20","Kiowa County","097",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Kiowa County",,2553,2553,0,0,0,2553,0,2553,2441,17,24,16,1,28,26
"G2000990","2010","2","4","Kansas","20","Labette County","099",,,,,,,,,,,,,,"37660","99999","999",,,,,,,,,,,,,,"Labette County",,21607,21607,10298,0,10298,11309,0,21607,19024,1008,467,77,5,153,873
"G2001010","2010","2","4","Kansas","20","Lane County","101",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lane County",,1750,1750,0,0,0,1750,0,1750,1666,8,14,4,1,28,29
"G2001030","2010","2","4","Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Leavenworth County",,76227,76227,54073,0,54073,22154,0,76227,63879,7171,584,965,101,1015,2512
"G2001050","2010","2","4","Kansas","20","Lincoln County","105",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lincoln County",,3241,3241,0,0,0,3241,0,3241,3158,9,17,6,0,24,27
"G2001070","2010","2","4","Kansas","20","Linn County","107",,,,,,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Linn County",,9656,9656,0,0,0,9656,0,9656,9307,43,63,30,6,59,148
"G2001090","2010","2","4","Kansas","20","Logan County","109",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Logan County",,2756,2756,0,0,0,2756,0,2756,2647,21,13,10,0,30,35
"G2001110","2010","2","4","Kansas","20","Lyon County","111",,,,,,,,,,,,,,"21380","99999","999",,,,,,,,,,,,,,"Lyon County",,33690,33690,24830,0,24830,8860,0,33690,28140,819,234,781,17,2788,911
"G2001130","2010","2","4","Kansas","20","McPherson County","113",,,,,,,,,,,,,,"32700","99999","999",,,,,,,,,,,,,,"McPherson County",,29180,29180,16488,0,16488,12692,0,29180,27763,294,110,147,21,346,499
"G2001150","2010","2","4","Kansas","20","Marion County","115",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Marion County",,12660,12660,2815,0,2815,9845,0,12660,12154,104,70,27,7,91,207
"G2001170","2010","2","4","Kansas","20","Marshall County","117",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Marshall County",,10117,10117,2937,0,2937,7180,0,10117,9849,27,33,23,3,50,132
"G2001190","2010","2","4","Kansas","20","Meade County","119",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Meade County",,4575,4575,0,0,0,4575,0,4575,4242,31,35,19,0,172,76
"G2001210","2010","2","4","Kansas","20","Miami County","121",,,,,,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Miami County",,32787,32787,16082,0,16082,16705,0,32787,31225,426,192,116,9,212,607
"G2001230","2010","2","4","Kansas","20","Mitchell County","123",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Mitchell County",,6373,6373,3295,0,3295,3078,0,6373,6244,13,24,19,5,17,51
"G2001250","2010","2","4","Kansas","20","Montgomery County","125",,,,,,,,,,,,,,"17700","99999","999",,,,,,,,,,,,,,"Montgomery County",,35471,35471,20068,0,20068,15403,0,35471,29561,2059,1188,205,38,670,1750
"G2001270","2010","2","4","Kansas","20","Morris County","127",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Morris County",,5923,5923,0,0,0,5923,0,5923,5687,25,28,14,1,73,95
"G2001290","2010","2","4","Kansas","20","Morton County","129",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Morton County",,3233,3233,0,0,0,3233,0,3233,2841,14,34,60,5,221,58
"G2001310","2010","2","4","Kansas","20","Nemaha County","131",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Nemaha County",,10178,10178,2520,0,2520,7658,0,10178,9902,57,47,15,4,49,104
"G2001330","2010","2","4","Kansas","20","Neosho County","133",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Neosho County",,16512,16512,9059,0,9059,7453,0,16512,15542,197,179,83,6,180,325
"G2001350","2010","2","4","Kansas","20","Ness County","135",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Ness County",,3107,3107,0,0,0,3107,0,3107,2969,18,10,4,0,78,28
"G2001370","2010","2","4","Kansas","20","Norton County","137",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Norton County",,5671,5671,2893,0,2893,2778,0,5671,5358,165,13,30,1,34,70
"G2001390","2010","2","4","Kansas","20","Osage County","139",,,,,,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Osage County",,16295,16295,2683,0,2683,13612,0,16295,15796,48,112,37,5,45,252
"G2001410","2010","2","4","Kansas","20","Osborne County","141",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Osborne County",,3858,3858,0,0,0,3858,0,3858,3765,8,19,18,0,10,38
"G2001430","2010","2","4","Kansas","20","Ottawa County","143",,,,,,,,,,,,,,"41460","99999","999",,,,,,,,,,,,,,"Ottawa County",,6091,6091,0,0,0,6091,0,6091,5889,49,24,9,0,33,87
"G2001450","2010","2","4","Kansas","20","Pawnee County","145",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Pawnee County",,6973,6973,4764,0,4764,2209,0,6973,6322,325,41,32,6,108,139
"G2001470","2010","2","4","Kansas","20","Phillips County","147",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Phillips County",,5642,5642,2609,0,2609,3033,0,5642,5472,23,23,41,0,24,59
"G2001490","2010","2","4","Kansas","20","Pottawatomie County","149",,,,,,,,,,,,,,"31740","99999","999",,,,,,,,,,,,,,"Pottawatomie County",,21604,21604,8876,1789,7087,12728,0,21604,20212,227,168,144,12,287,554
"G2001510","2010","2","4","Kansas","20","Pratt County","151",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Pratt County",,9656,9656,6546,0,6546,3110,0,9656,9083,114,58,27,1,187,186
"G2001530","2010","2","4","Kansas","20","Rawlins County","153",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Rawlins County",,2519,2519,0,0,0,2519,0,2519,2449,8,5,5,0,30,22
"G2001550","2010","2","4","Kansas","20","Reno County","155",,,,,,,,,,,,,,"26740","99999","999",,,,,,,,,,,,,,"Reno County",,64511,64511,44320,0,44320,20191,0,64511,58469,1930,438,309,19,1637,1709
"G2001570","2010","2","4","Kansas","20","Republic County","157",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Republic County",,4980,4980,0,0,0,4980,0,4980,4879,25,12,15,0,16,33
"G2001590","2010","2","4","Kansas","20","Rice County","159",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Rice County",,10083,10083,3652,0,3652,6431,0,10083,9213,128,70,37,5,362,268
"G2001610","2010","2","4","Kansas","20","Riley County","161",,,,,,,,,,,,,,"31740","99999","999",,,,,,,,,,,,,,"Riley County",,71115,71115,61269,52833,8436,9846,0,71115,59203,4530,433,2996,144,1300,2509
"G2001630","2010","2","4","Kansas","20","Rooks County","163",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Rooks County",,5181,5181,0,0,0,5181,0,5181,5049,24,17,19,3,20,49
"G2001650","2010","2","4","Kansas","20","Rush County","165",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Rush County",,3307,3307,0,0,0,3307,0,3307,3213,8,16,8,0,24,38
"G2001670","2010","2","4","Kansas","20","Russell County","167",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Russell County",,6970,6970,4108,0,4108,2862,0,6970,6712,54,45,34,2,33,90
"G2001690","2010","2","4","Kansas","20","Saline County","169",,,,,,,,,,,,,,"41460","99999","999",,,,,,,,,,,,,,"Saline County",,55606,55606,47493,0,47493,8113,0,55606,48695,1814,295,1156,27,1914,1705
"G2001710","2010","2","4","Kansas","20","Scott County","171",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Scott County",,4936,4936,3647,0,3647,1289,0,4936,4447,19,30,24,1,354,61
"G2001730","2010","2","4","Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Sedgwick County",,498365,498365,460197,460197,0,38168,0,498365,380482,46167,5739,20385,412,25302,19878
"G2001750","2010","2","4","Kansas","20","Seward County","175",,,,,,,,,,,,,,"30580","99999","999",,,,,,,,,,,,,,"Seward County",,22952,22952,20329,0,20329,2623,0,22952,16171,774,176,611,43,4471,706
"G2001770","2010","2","4","Kansas","20","Shawnee County","177",,,,,,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Shawnee County",,177934,177934,149777,149777,0,28157,0,177934,144412,15280,2177,2085,126,6474,7380
"G2001790","2010","2","4","Kansas","20","Sheridan County","179",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Sheridan County",,2556,2556,0,0,0,2556,0,2556,2475,3,11,5,0,34,28
"G2001810","2010","2","4","Kansas","20","Sherman County","181",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Sherman County",,6010,6010,4553,0,4553,1457,0,6010,5596,39,17,17,7,230,104
"G2001830","2010","2","4","Kansas","20","Smith County","183",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Smith County",,3853,3853,0,0,0,3853,0,3853,3733,10,11,7,4,27,61
"G2001850","2010","2","4","Kansas","20","Stafford County","185",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Stafford County",,4437,4437,0,0,0,4437,0,4437,4110,13,55,17,1,186,55
"G2001870","2010","2","4","Kansas","20","Stanton County","187",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Stanton County",,2235,2235,0,0,0,2235,0,2235,1870,13,27,3,1,271,50
"G2001890","2010","2","4","Kansas","20","Stevens County","189",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Stevens County",,5724,5724,3936,0,3936,1788,0,5724,4985,16,49,15,1,570,88
"G2001910","2010","2","4","Kansas","20","Sumner County","191",,,,,,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Sumner County",,24132,24132,8964,1181,7783,15168,0,24132,22705,230,282,56,4,270,585
"G2001930","2010","2","4","Kansas","20","Thomas County","193",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Thomas County",,7900,7900,5463,0,5463,2437,0,7900,7509,49,36,38,6,178,84
"G2001950","2010","2","4","Kansas","20","Trego County","195",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Trego County",,3001,3001,0,0,0,3001,0,3001,2919,13,6,7,2,31,23
"G2001970","2010","2","4","Kansas","20","Wabaunsee County","197",,,,,,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Wabaunsee County",,7053,7053,0,0,0,7053,0,7053,6808,29,36,10,0,23,147
"G2001990","2010","2","4","Kansas","20","Wallace County","199",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Wallace County",,1485,1485,0,0,0,1485,0,1485,1395,2,7,1,0,63,17
"G2002010","2010","2","4","Kansas","20","Washington County","201",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Washington County",,5799,5799,0,0,0,5799,0,5799,5632,25,14,19,0,56,53
"G2002030","2010","2","4","Kansas","20","Wichita County","203",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Wichita County",,2234,2234,0,0,0,2234,0,2234,1972,19,11,3,0,190,39
"G2002050","2010","2","4","Kansas","20","Wilson County","205",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Wilson County",,9409,9409,2570,0,2570,6839,0,9409,8995,31,99,36,5,34,209
"G2002070","2010","2","4","Kansas","20","Woodson County","207",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Woodson County",,3309,3309,0,0,0,3309,0,3309,3161,12,37,2,0,33,64
"G2002090","2010","2","4","Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Wyandotte County",,157505,157505,147956,147956,0,9549,0,157505,86056,39742,1297,3958,169,20378,5905
"G2100010","2010","3","6","Kentucky","21","Adair County","001",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Adair County",,18656,18656,4579,0,4579,14077,0,18656,17696,503,36,45,5,164,207
"G2100030","2010","3","6","Kentucky","21","Allen County","003",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Allen County",,19956,19956,4251,0,4251,15705,0,19956,19362,164,58,31,0,84,257
"G2100050","2010","3","6","Kentucky","21","Anderson County","005",,,,,,,,,,,,,,"23180","99999","336",,,,,,,,,,,,,,"Anderson County",,21421,21421,12489,0,12489,8932,0,21421,20458,433,31,105,5,125,264
"G2100070","2010","3","6","Kentucky","21","Ballard County","007",,,,,,,,,,,,,,"37140","99999","424",,,,,,,,,,,,,,"Ballard County",,8249,8249,0,0,0,8249,0,8249,7808,238,14,15,1,21,152
"G2100090","2010","3","6","Kentucky","21","Barren County","009",,,,,,,,,,,,,,"23980","99999","999",,,,,,,,,,,,,,"Barren County",,42173,42173,15488,0,15488,26685,0,42173,38997,1630,89,183,33,544,697
"G2100110","2010","3","6","Kentucky","21","Bath County","011",,,,,,,,,,,,,,"34460","99999","336",,,,,,,,,,,,,,"Bath County",,11591,11591,0,0,0,11591,0,11591,11175,152,29,17,7,84,127
"G2100130","2010","3","6","Kentucky","21","Bell County","013",,,,,,,,,,,,,,"33180","99999","999",,,,,,,,,,,,,,"Bell County",,28691,28691,10765,0,10765,17926,0,28691,27415,644,49,78,13,55,437
"G2100150","2010","3","6","Kentucky","21","Boone County","015",,,,,,,,,,,,,,"17140","99999","178",,,,,,,,,,,,,,"Boone County",,118811,118811,103042,103042,0,15769,0,118811,109050,2992,228,2534,95,1753,2159
"G2100170","2010","3","6","Kentucky","21","Bourbon County","017",,,,,,,,,,,,,,"30460","99999","336",,,,,,,,,,,,,,"Bourbon County",,19985,19985,11042,0,11042,8943,0,19985,17604,1198,42,64,2,709,366
"G2100190","2010","3","6","Kentucky","21","Boyd County","019",,,,,,,,,,,,,,"26580","99999","999",,,,,,,,,,,,,,"Boyd County",,49542,49542,36999,36999,0,12543,0,49542,46901,1401,110,225,5,217,683
"G2100210","2010","3","6","Kentucky","21","Boyle County","021",,,,,,,,,,,,,,"19220","99999","999",,,,,,,,,,,,,,"Boyle County",,28432,28432,18532,0,18532,9900,0,28432,25086,2121,55,216,7,344,603
"G2100230","2010","3","6","Kentucky","21","Bracken County","023",,,,,,,,,,,,,,"17140","99999","178",,,,,,,,,,,,,,"Bracken County",,8488,8488,0,0,0,8488,0,8488,8300,29,17,5,1,47,89
"G2100250","2010","3","6","Kentucky","21","Breathitt County","025",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Breathitt County",,13878,13878,2567,0,2567,11311,0,13878,13637,43,19,68,12,26,73
"G2100270","2010","3","6","Kentucky","21","Breckinridge County","027",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Breckinridge County",,20059,20059,0,0,0,20059,0,20059,19206,409,64,42,2,86,250
"G2100290","2010","3","6","Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,"31140","99999","350",,,,,,,,,,,,,,"Bullitt County",,74319,74319,51716,51716,0,22603,0,74319,71969,484,236,370,25,346,889
"G2100310","2010","3","6","Kentucky","21","Butler County","031",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Butler County",,12690,12690,0,0,0,12690,0,12690,12303,48,36,20,0,168,115
"G2100330","2010","3","6","Kentucky","21","Caldwell County","033",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Caldwell County",,12984,12984,5890,0,5890,7094,0,12984,12044,668,19,33,2,44,174
"G2100350","2010","3","6","Kentucky","21","Calloway County","035",,,,,,,,,,,,,,"34660","99999","999",,,,,,,,,,,,,,"Calloway County",,37191,37191,19072,0,19072,18119,0,37191,34208,1392,87,657,11,279,557
"G2100370","2010","3","6","Kentucky","21","Campbell County","037",,,,,,,,,,,,,,"17140","99999","178",,,,,,,,,,,,,,"Campbell County",,90336,90336,76518,76518,0,13818,0,90336,85215,2290,126,753,20,540,1392
"G2100390","2010","3","6","Kentucky","21","Carlisle County","039",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Carlisle County",,5104,5104,0,0,0,5104,0,5104,4961,39,28,14,0,16,46
"G2100410","2010","3","6","Kentucky","21","Carroll County","041",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Carroll County",,10811,10811,5165,0,5165,5646,0,10811,9955,163,28,60,2,351,252
"G2100430","2010","3","6","Kentucky","21","Carter County","043",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Carter County",,27720,27720,5716,0,5716,22004,0,27720,27101,147,67,51,5,110,239
"G2100450","2010","3","6","Kentucky","21","Casey County","045",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Casey County",,15955,15955,0,0,0,15955,0,15955,15505,85,32,30,5,159,139
"G2100470","2010","3","6","Kentucky","21","Christian County","047",,,,,,,,,,,,,,"17300","99999","999",,,,,,,,,,,,,,"Christian County",,73955,73955,52837,20346,32491,21118,0,73955,52896,15707,429,754,291,1472,2406
"G2100490","2010","3","6","Kentucky","21","Clark County","049",,,,,,,,,,,,,,"30460","99999","336",,,,,,,,,,,,,,"Clark County",,35613,35613,25831,0,25831,9782,0,35613,32833,1708,52,134,6,367,513
"G2100510","2010","3","6","Kentucky","21","Clay County","051",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clay County",,21730,21730,4657,0,4657,17073,0,21730,20464,915,34,26,3,95,193
"G2100530","2010","3","6","Kentucky","21","Clinton County","053",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clinton County",,10272,10272,0,0,0,10272,0,10272,9938,39,19,13,26,116,121
"G2100550","2010","3","6","Kentucky","21","Crittenden County","055",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Crittenden County",,9315,9315,2718,0,2718,6597,0,9315,9105,76,33,17,7,12,65
"G2100570","2010","3","6","Kentucky","21","Cumberland County","057",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cumberland County",,6856,6856,0,0,0,6856,0,6856,6540,178,8,9,0,31,90
"G2100590","2010","3","6","Kentucky","21","Daviess County","059",,,,,,,,,,,,,,"36980","99999","999",,,,,,,,,,,,,,"Daviess County",,96656,96656,70543,70543,0,26113,0,96656,88134,4626,130,685,61,1253,1767
"G2100610","2010","3","6","Kentucky","21","Edmonson County","061",,,,,,,,,,,,,,"14540","99999","999",,,,,,,,,,,,,,"Edmonson County",,12161,12161,0,0,0,12161,0,12161,11789,169,37,25,1,34,106
"G2100630","2010","3","6","Kentucky","21","Elliott County","063",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Elliott County",,7852,7852,0,0,0,7852,0,7852,7506,268,10,5,7,13,43
"G2100650","2010","3","6","Kentucky","21","Estill County","065",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Estill County",,14672,14672,3503,0,3503,11169,0,14672,14457,29,32,14,0,34,106
"G2100670","2010","3","6","Kentucky","21","Fayette County","067",,,,,,,,,,,,,,"30460","99999","336",,,,,,,,,,,,,,"Fayette County",,295803,295803,286731,286731,0,9072,0,295803,223999,42972,755,9553,141,10949,7434
"G2100690","2010","3","6","Kentucky","21","Fleming County","069",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Fleming County",,14348,14348,2795,0,2795,11553,0,14348,13920,183,12,32,1,81,119
"G2100710","2010","3","6","Kentucky","21","Floyd County","071",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Floyd County",,39451,39451,6363,0,6363,33088,0,39451,38732,294,39,76,0,87,223
"G2100730","2010","3","6","Kentucky","21","Franklin County","073",,,,,,,,,,,,,,"23180","99999","336",,,,,,,,,,,,,,"Franklin County",,49285,49285,35705,0,35705,13580,0,49285,41614,5128,103,703,8,650,1079
"G2100750","2010","3","6","Kentucky","21","Fulton County","075",,,,,,,,,,,,,,"46460","99999","542",,,,,,,,,,,,,,"Fulton County",,6813,6813,2423,0,2423,4390,0,6813,5004,1609,18,45,2,11,124
"G2100770","2010","3","6","Kentucky","21","Gallatin County","077",,,,,,,,,,,,,,"17140","99999","178",,,,,,,,,,,,,,"Gallatin County",,8589,8589,0,0,0,8589,0,8589,8132,113,11,15,3,139,176
"G2100790","2010","3","6","Kentucky","21","Garrard County","079",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Garrard County",,16912,16912,3739,0,3739,13173,0,16912,16118,346,24,37,3,221,163
"G2100810","2010","3","6","Kentucky","21","Grant County","081",,,,,,,,,,,,,,"17140","99999","178",,,,,,,,,,,,,,"Grant County",,24662,24662,8634,0,8634,16028,0,24662,23842,178,57,80,38,245,222
"G2100830","2010","3","6","Kentucky","21","Graves County","083",,,,,,,,,,,,,,"32460","99999","424",,,,,,,,,,,,,,"Graves County",,37121,37121,11356,0,11356,25765,0,37121,33568,1607,91,124,20,1031,680
"G2100850","2010","3","6","Kentucky","21","Grayson County","085",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Grayson County",,25746,25746,6802,0,6802,18944,0,25746,25052,264,49,61,7,64,249
"G2100870","2010","3","6","Kentucky","21","Green County","087",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Green County",,11258,11258,0,0,0,11258,0,11258,10775,224,40,17,1,56,145
"G2100890","2010","3","6","Kentucky","21","Greenup County","089",,,,,,,,,,,,,,"26580","99999","999",,,,,,,,,,,,,,"Greenup County",,36910,36910,22409,19595,2814,14501,0,36910,35928,257,94,188,6,79,358
"G2100910","2010","3","6","Kentucky","21","Hancock County","091",,,,,,,,,,,,,,"36980","99999","999",,,,,,,,,,,,,,"Hancock County",,8565,8565,916,0,916,7649,0,8565,8331,75,22,19,0,26,92
"G2100930","2010","3","6","Kentucky","21","Hardin County","093",,,,,,,,,,,,,,"21060","99999","350",,,,,,,,,,,,,,"Hardin County",,105543,105543,69434,69434,0,36109,0,105543,84971,12275,541,2104,354,1553,3745
