GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,IXME001,IXME002,IXME003,IXME004,IXME005,IXME006,IXME007,IXME008,IXME009,IXME010,IXME011,IXME012,IXME013,IXME014,IXME015,IXME016,IXME017,IXME018,IXME019,IXME020,IXME021,IXME022,IXME023,IXME024,IXME025,IX2E001,IX2E002,IX2E003,IX2E004,IX2E005,IX2E006,IX2E007,IX2E008,IX2E009,IX2E010,IX2E011,IX2E012,IX2E013,I6IE001,NAME_M,IXMM001,IXMM002,IXMM003,IXMM004,IXMM005,IXMM006,IXMM007,IXMM008,IXMM009,IXMM010,IXMM011,IXMM012,IXMM013,IXMM014,IXMM015,IXMM016,IXMM017,IXMM018,IXMM019,IXMM020,IXMM021,IXMM022,IXMM023,IXMM024,IXMM025,IX2M001,IX2M002,IX2M003,IX2M004,IX2M005,IX2M006,IX2M007,IX2M008,IX2M009,IX2M010,IX2M011,IX2M012,IX2M013,I6IM001
"G0100030","2010",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,"Baldwin County, Alabama",127969,867,0,0,0,0,310,807,111,1316,1007,2092,2337,2469,3002,1382,32839,6464,7437,20773,9951,25384,7350,1464,607,172204,161028,6942,376,123,668,888,75,859,0,40,1059,146,25583,"Baldwin County, Alabama",751,627,273,273,273,273,428,769,136,917,729,758,862,819,916,539,2749,1423,1297,2437,1836,2461,1445,490,358,521,2385,1216,243,99,594,527,121,673,273,84,1677,131,1487
"G0100150","2010",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,"Calhoun County, Alabama",78510,1726,0,0,114,0,98,0,709,1175,1114,3435,1347,3629,2876,800,21060,5838,4319,12283,6412,7652,3032,466,425,,,,,,,,,,,,,,19245,"Calhoun County, Alabama",521,794,273,273,193,273,119,273,769,610,623,1217,578,940,891,397,2071,1211,1088,1587,1324,1453,774,347,268,,,,,,,,,,,,,,1295
"G0100430","2010",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,"Cullman County, Alabama",54033,663,0,0,139,52,103,63,44,836,475,1859,1697,2453,1004,701,15349,2595,3221,9827,5163,4953,1867,679,290,,,,,,,,,,,,,,18277,"Cullman County, Alabama",444,426,273,273,218,84,127,74,60,548,314,742,705,921,520,568,1862,729,900,1709,1140,1230,699,416,241,,,,,,,,,,,,,,1567
"G0100490","2010",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,"DeKalb County, Alabama",45794,899,15,0,37,21,66,315,519,1328,810,1394,2716,1504,2375,712,12771,2458,2151,6764,3379,3626,1650,125,159,,,,,,,,,,,,,,18883,"DeKalb County, Alabama",745,454,30,273,49,41,75,258,341,661,503,668,861,639,1002,464,1497,591,682,1323,800,831,694,144,157,,,,,,,,,,,,,,2864
"G0100510","2010",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,"Elmore County, Alabama",53657,136,0,0,0,0,154,97,0,233,253,1148,1366,1082,1985,1105,12366,4461,3292,10046,4330,7252,3295,666,390,,,,,,,,,,,,,,23431,"Elmore County, Alabama",813,122,273,273,273,273,245,114,273,176,189,512,583,527,928,436,1460,1131,969,1590,1137,1334,881,482,319,,,,,,,,,,,,,,1725
"G0100550","2010",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,"Etowah County, Alabama",71575,588,0,0,399,37,0,0,653,461,505,1728,1543,3636,3003,1349,18526,5372,4851,14326,5341,5898,2682,636,41,,,,,,,,,,,,,,18665,"Etowah County, Alabama",754,353,273,273,424,64,273,273,315,288,293,1132,531,1170,1155,625,2113,1238,1149,2063,1179,1289,761,395,54,,,,,,,,,,,,,,1426
"G0100690","2010",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,"Houston County, Alabama",68538,681,31,0,17,0,199,167,384,809,704,748,1559,2448,2530,1105,19663,4046,4493,10534,5991,7719,3554,680,476,95146,90652,2821,160,384,207,218,31,70,407,14,46,136,21326,"Houston County, Alabama",309,180,38,273,28,273,174,117,211,291,247,252,385,611,497,254,1387,763,610,894,808,691,545,185,222,47,686,472,141,260,258,124,52,98,200,25,58,135,855
"G0100730","2010",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,"Jefferson County, Alabama",440047,4095,0,22,276,0,353,396,502,3512,2769,4918,8655,12324,13709,8944,104971,16129,21078,78177,33210,79165,30623,10508,5711,614836,578017,23733,1468,1049,217,3029,367,2837,761,325,1473,1560,24382,"Jefferson County, Alabama",492,1073,273,26,292,273,416,248,196,1252,910,1455,1427,1912,1950,1778,4359,1784,2207,4901,3228,4520,3018,1393,1198,3,2556,1875,545,529,234,1259,459,1184,613,320,908,1140,656
"G0100770","2010",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",61852,601,0,0,124,0,0,145,95,632,674,372,1170,1901,2036,1061,16712,4005,4035,8340,5197,9199,3870,961,722,,,,,,,,,,,,,,22038,"Lauderdale County, Alabama",591,424,273,273,156,273,273,172,138,348,335,229,428,846,807,539,2250,946,1083,1308,1307,1749,968,471,426,,,,,,,,,,,,,,1445
"G0100810","2010",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,"Lee County, Alabama",79286,941,0,0,23,53,158,0,131,768,502,685,1262,2999,2353,989,17372,3812,4400,12404,5665,13663,7425,1327,2354,131743,122631,4200,586,516,78,893,538,1112,47,79,454,609,21184,"Lee County, Alabama",617,365,273,273,41,91,127,273,149,351,368,476,511,932,1026,410,1837,946,1123,1457,1044,1734,1098,609,598,323,1900,698,576,627,130,602,293,812,83,110,291,883,1198
"G0100830","2010",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,"Limestone County, Alabama",56736,929,0,38,0,0,70,48,158,577,604,769,1462,1551,3115,777,11840,4480,3834,7901,4557,9573,3415,353,685,,,,,,,,,,,,,,24978,"Limestone County, Alabama",800,442,273,64,273,273,124,79,179,384,510,402,513,522,880,466,1685,772,914,1509,977,1308,786,252,499,,,,,,,,,,,,,,1798
"G0100890","2010",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,"Madison County, Alabama",222078,1685,0,0,36,459,202,292,31,2283,1897,2584,4260,4985,3695,4585,40480,7560,12236,37510,15425,49039,25141,5211,2482,314906,292432,11597,1319,1447,325,2507,1008,1011,602,652,631,1375,29664,"Madison County, Alabama",852,593,273,273,60,500,145,317,54,1049,836,816,1571,1444,1009,1223,3700,1393,1794,3216,1834,3343,2392,1126,638,418,2061,1384,691,570,291,962,788,777,520,570,411,877,1217
"G0100950","2010",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,"Marshall County, Alabama",60947,1287,0,123,54,756,189,740,378,2131,506,996,1612,1978,1981,1120,15971,4196,2431,11078,5503,4598,2271,839,209,,,,,,,,,,,,,,19241,"Marshall County, Alabama",769,860,273,142,92,528,211,558,379,1351,319,602,755,649,683,437,1859,1115,682,1766,1159,1027,795,568,203,,,,,,,,,,,,,,1239
"G0100970","2010",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,"Mobile County, Alabama",268998,2694,0,300,69,205,305,369,481,1036,1468,4046,7491,8204,12579,6239,74908,11189,15546,45102,20250,37582,13379,3239,2317,384732,366310,8963,1085,880,0,2052,188,0,3188,66,1733,267,21274,"Mobile County, Alabama",765,829,273,374,114,298,302,236,337,661,649,1035,1763,1866,1662,1460,4322,1854,1780,3129,2295,3259,1692,725,929,627,1878,1111,546,496,273,1314,256,273,1092,110,1092,220,807
"G0101010","2010",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,"Montgomery County, Alabama",147024,2256,47,0,0,321,313,422,665,1408,1224,1907,4178,4578,4207,1582,32650,7483,6804,23189,6987,26799,14527,2885,2592,,,,,,,,,,,,,,23355,"Montgomery County, Alabama",678,1100,79,273,273,331,419,479,365,631,600,810,1492,1299,1086,551,2748,1377,1303,2236,1453,2534,2354,779,777,,,,,,,,,,,,,,1280
"G0101030","2010",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,"Morgan County, Alabama",80704,1752,0,0,0,74,93,529,81,1915,1169,2445,987,2901,3097,1656,20271,5730,6104,13611,5454,8661,3558,348,268,,,,,,,,,,,,,,22496,"Morgan County, Alabama",651,673,273,273,273,127,154,483,129,905,828,1315,442,788,953,560,2268,1362,1255,2106,1167,1675,830,318,217,,,,,,,,,,,,,,1806
"G0101150","2010",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,"St. Clair County, Alabama",57958,453,0,0,0,0,0,24,184,186,521,1324,3228,1554,3322,1186,15892,4527,3839,9970,3848,6006,1254,124,516,,,,,,,,,,,,,,23341,"St. Clair County, Alabama",1278,340,273,273,273,273,273,42,228,137,321,695,1663,680,1120,600,1681,1210,1122,2087,988,1671,498,155,453,,,,,,,,,,,,,,2330
"G0101170","2010",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,"Shelby County, Alabama",129546,515,39,0,0,0,67,15,0,1423,676,1150,1421,1935,2453,1383,23684,4217,7989,20586,10318,36047,10026,3153,2449,182662,168959,9472,300,868,0,1830,0,154,224,475,101,279,30703,"Shelby County, Alabama",784,404,67,273,273,273,94,26,273,730,410,475,624,731,829,515,2421,1019,1641,2356,1401,2784,1488,878,777,306,1185,902,189,469,273,640,273,277,260,335,124,233,1369
"G0101210","2010",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,"Talladega County, Alabama",55551,593,0,0,45,328,185,159,459,514,1240,941,2186,2698,2266,1106,17269,4020,3311,7521,3703,4459,1878,633,37,,,,,,,,,,,,,,16674,"Talladega County, Alabama",643,271,273,273,74,347,211,162,364,310,776,476,596,1025,960,519,1729,1083,784,1505,1256,921,689,452,66,,,,,,,,,,,,,,993
"G0101250","2010",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",114416,546,0,205,0,119,105,135,112,687,914,1434,2316,3023,3137,1859,30843,4959,6388,20091,6865,17992,8366,2358,1962,,,,,,,,,,,,,,21843,"Tuscaloosa County, Alabama",649,361,273,323,273,209,133,146,186,403,634,578,870,1026,992,558,2757,1162,1275,2510,1287,1898,1186,698,614,,,,,,,,,,,,,,1166
"G0101270","2010",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,"Walker County, Alabama",46653,544,0,0,0,0,139,19,215,1112,758,1278,3076,2510,2410,991,12217,3514,3947,6684,3382,2628,1000,229,0,,,,,,,,,,,,,,19402,"Walker County, Alabama",395,385,273,273,273,273,158,34,305,554,527,566,1287,919,754,485,1627,936,875,1089,1094,804,430,195,273,,,,,,,,,,,,,,2542
"G0200200","2010",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",183199,1500,85,69,245,95,306,116,516,512,58,374,2462,1617,2900,3686,30312,6698,13327,40003,16629,41012,14517,3971,2189,271143,223144,10220,772,2647,2779,1992,3756,1481,63,5824,13595,4870,34516,"Anchorage Municipality, Alaska",875,658,102,115,285,91,230,152,341,403,98,202,826,737,1167,1076,3110,1285,1857,3191,2362,3304,2247,813,742,711,3365,1916,449,972,1051,931,1655,1158,105,1696,3397,1451,1453
"G0200900","2010",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",59686,178,0,0,0,0,194,0,228,319,81,476,948,928,2062,514,11526,3339,2694,13516,6003,10979,3687,781,1233,90580,79385,4296,379,1217,890,709,0,306,0,1493,384,1521,28677,"Fairbanks North Star Borough, Alaska",861,224,246,246,246,246,266,246,172,282,106,463,529,552,864,324,1860,1262,730,2237,1184,1963,1013,461,697,704,2349,928,326,621,1118,629,246,290,246,506,227,826,1669
"G0201700","2010",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",56616,110,0,0,0,0,25,0,0,79,73,388,714,978,1161,387,14937,3568,4107,12865,5023,8283,2617,665,636,82692,78059,1528,218,308,784,395,180,34,53,574,26,533,28946,"Matanuska-Susitna Borough, Alaska",513,112,246,246,246,246,45,246,246,123,121,313,399,408,489,218,1385,597,872,1318,921,1388,737,289,386,224,1072,758,228,213,500,333,213,60,101,500,55,305,1754
"G0400010","2010",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,"Apache County, Arizona",41909,1426,0,0,153,0,472,300,198,663,791,2006,778,1616,2074,619,11605,1527,1567,8690,2487,3342,1044,265,286,,,,,,,,,,,,,,11706,"Apache County, Arizona",563,383,305,305,121,305,296,222,141,336,643,530,367,622,755,321,1535,636,647,1169,837,977,451,204,320,,,,,,,,,,,,,,1191
"G0400030","2010",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,"Cochise County, Arizona",89453,698,0,0,65,194,270,155,119,1812,511,2258,1385,979,1503,2104,16846,4330,7004,20090,9603,12820,5766,436,505,123451,91307,29130,453,435,305,294,160,0,193,364,673,137,22350,"Cochise County, Arizona",970,348,305,305,82,188,245,184,189,695,571,919,617,465,571,864,2247,977,1432,2382,1766,2047,1258,399,303,167,2306,2314,552,329,289,232,205,305,320,346,587,168,1234
"G0400050","2010",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,"Coconino County, Arizona",79011,1171,0,0,96,0,153,615,229,676,215,1070,1409,1018,2515,2148,13597,4361,5350,13603,6090,14099,7054,1121,2421,125725,93429,10421,303,363,257,636,0,837,0,344,373,18762,19703,"Coconino County, Arizona",901,395,305,305,143,305,183,542,205,419,198,569,554,451,952,1104,1726,1605,1161,1876,1250,2019,1423,462,692,265,3588,2233,222,277,259,442,305,446,305,326,296,2665,1332
"G0400130","2010",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,"Maricopa County, Arizona",2438576,25882,268,275,1969,4247,8970,7259,9023,44819,11281,39066,40180,44477,53768,43576,502122,91199,179388,441095,199428,456229,167082,42750,24223,3544453,2626587,707732,12407,12960,16624,37943,8038,19864,16055,14105,26376,45762,25350,"Maricopa County, Arizona",750,2734,286,211,827,1323,1523,1842,1802,4469,2535,4038,3507,4545,4828,4162,10387,5570,6462,11540,8332,11102,7046,3129,2370,490,20171,18463,2530,2145,3357,4767,3461,4397,4158,3068,4381,6087,311
"G0400150","2010",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,"Mohave County, Arizona",145074,1719,0,0,51,440,233,0,47,1587,735,2704,2640,3140,4931,3150,40319,8546,14856,32043,9591,11675,4885,1263,519,,,,,,,,,,,,,,20347,"Mohave County, Arizona",1192,754,305,305,85,409,289,305,79,773,395,932,1011,919,1204,884,3496,1585,1850,3450,1752,1891,1276,548,617,,,,,,,,,,,,,,1211
"G0400170","2010",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,"Navajo County, Arizona",64183,1798,0,0,0,247,282,408,286,317,291,1095,1290,2108,2751,690,15307,2059,5031,14223,5339,6474,3412,559,216,,,,,,,,,,,,,,16789,"Navajo County, Arizona",883,485,305,305,305,180,208,340,213,226,251,460,471,681,675,364,2053,670,1235,1898,1154,1435,878,397,253,,,,,,,,,,,,,,1441
"G0400190","2010",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,"Pima County, Arizona",649176,6737,102,0,223,902,1594,1942,1865,9363,3081,10005,10498,14836,14207,8987,125392,22560,46614,126847,48901,114143,52904,14177,13296,919772,656828,220377,2533,5317,2153,6459,1417,5778,3483,1812,2839,10776,23747,"Pima County, Arizona",274,1268,135,305,268,566,735,878,722,1783,929,1974,1714,2315,2147,1530,5182,2039,3242,5499,3998,4721,3385,2012,2100,281,8900,8261,932,1481,897,1814,836,2051,1503,897,1013,1896,539
"G0400210","2010",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,"Pinal County, Arizona",251045,2514,0,51,48,134,1558,867,708,3208,1297,4912,4911,7696,8922,4651,57993,14992,24069,47326,23829,27119,10713,2032,1495,353034,274336,65426,797,1654,826,998,145,711,269,861,1810,5201,19419,"Pinal County, Arizona",1350,1139,305,98,67,130,1335,621,521,1134,670,1638,1290,1606,1982,1480,4903,2623,3043,4100,3010,2663,1916,1020,582,1125,7035,6320,805,926,480,506,192,1118,318,630,1220,1563,804
"G0400250","2010",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,"Yavapai County, Arizona",157708,730,0,0,0,0,220,0,341,836,847,1776,2215,3272,3315,3753,34154,6415,15998,35268,14469,21965,7724,2329,2081,,,,,,,,,,,,,,22619,"Yavapai County, Arizona",1101,607,305,305,305,305,233,305,313,484,447,1018,997,1147,1150,2274,2776,1428,2178,2986,2096,2469,1236,790,644,,,,,,,,,,,,,,1292
"G0400270","2010",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,"Yuma County, Arizona",120795,2357,88,0,911,1743,1507,637,1120,5037,946,1770,4751,3049,3207,3355,25431,6090,11647,21905,8560,11760,3660,915,349,181762,86997,89525,460,505,57,858,353,165,823,164,468,1387,17795,"Yuma County, Arizona",342,727,151,305,632,929,600,478,570,1186,417,792,1394,1064,1122,1053,2345,1197,1765,2700,1689,1863,891,425,215,469,3824,3385,384,476,90,477,525,280,1062,285,492,971,841
"G0500070","2010",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,"Benton County, Arkansas",141811,1781,0,0,336,275,166,835,1243,1988,1568,1441,3396,2326,3516,1561,36371,7176,9071,21231,8457,27607,8640,1601,1225,,,,,,,,,,,,,,23949,"Benton County, Arkansas",965,775,273,273,430,198,184,602,611,837,985,510,1146,858,1005,628,3263,1931,1181,2267,1531,2492,1537,746,541,,,,,,,,,,,,,,1309
"G0500310","2010",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,"Craighead County, Arkansas",59477,363,0,0,0,15,16,55,58,359,416,2034,1642,2398,1829,1136,15624,3838,4356,9136,3071,8268,3075,1194,594,,,,,,,,,,,,,,21660,"Craighead County, Arkansas",712,295,273,273,273,26,26,88,74,340,270,889,819,885,731,428,1795,965,999,1301,968,1316,1043,515,341,,,,,,,,,,,,,,2327
"G0500450","2010",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,"Faulkner County, Arkansas",67403,598,0,73,0,185,0,55,149,517,414,1565,1941,1658,2131,622,18374,3541,3962,11172,4152,11203,3553,565,973,,,,,,,,,,,,,,22706,"Faulkner County, Arkansas",715,548,273,124,273,243,273,90,142,396,318,609,913,644,731,275,1679,903,1117,1749,1367,1554,880,384,478,,,,,,,,,,,,,,2422
"G0500510","2010",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,"Garland County, Arkansas",68196,1382,0,0,0,0,107,52,120,714,379,923,2015,2085,2601,1426,16355,3914,4180,11841,5901,8125,4435,1261,380,,,,,,,,,,,,,,21028,"Garland County, Arkansas",718,620,273,273,273,273,181,87,150,419,334,508,819,816,1005,719,1777,1168,1080,1514,1514,1743,1104,561,321,,,,,,,,,,,,,,1863
"G0500690","2010",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,"Jefferson County, Arkansas",49979,894,0,0,36,0,30,166,33,386,77,806,674,686,2483,1213,15517,2695,3793,9513,3487,5505,1350,422,213,,,,,,,,,,,,,,18127,"Jefferson County, Arkansas",692,446,273,273,61,273,49,172,55,323,98,505,425,295,963,982,2159,789,1114,1279,877,1119,470,376,193,,,,,,,,,,,,,,1573
"G0500850","2010",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,"Lonoke County, Arkansas",43551,340,0,0,0,0,360,34,72,98,163,1176,862,718,1493,245,13529,3215,3113,6609,4234,4562,2034,257,437,,,,,,,,,,,,,,21790,"Lonoke County, Arkansas",643,248,273,273,273,273,236,62,82,124,162,477,493,430,931,206,1854,785,979,1540,1268,1051,852,285,337,,,,,,,,,,,,,,1246
"G0501190","2010",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,"Pulaski County, Arkansas",256906,1753,0,0,458,433,376,423,226,976,1293,2851,3227,5777,7634,5190,58724,8962,16091,46095,18752,51352,16743,7066,2504,357325,325858,19620,932,1247,229,3497,585,558,846,1128,2140,685,25931,"Pulaski County, Arkansas",1179,581,273,273,424,484,497,573,215,687,716,971,1083,1724,1622,1288,4291,1798,1995,3780,2625,3366,1853,1375,899,251,3090,2084,486,633,276,1550,589,426,804,641,1620,656,1075
"G0501250","2010",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,"Saline County, Arkansas",74104,677,65,0,0,0,0,190,0,161,197,1041,2056,1400,1173,1035,21801,4314,6063,10790,5788,12074,4085,661,533,,,,,,,,,,,,,,24857,"Saline County, Arkansas",1042,459,109,273,273,273,273,174,273,169,199,563,767,574,584,427,2356,902,1094,1303,1337,1749,1035,352,512,,,,,,,,,,,,,,1627
"G0501310","2010",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,"Sebastian County, Arkansas",82507,1134,0,0,0,34,119,251,286,1455,213,1314,2747,2345,2556,1756,23088,4447,6354,11618,6843,10116,4213,1187,431,,,,,,,,,,,,,,22807,"Sebastian County, Arkansas",823,537,273,273,273,59,158,241,258,714,260,666,936,736,998,716,2515,1164,1257,1805,1479,1516,1067,502,354,,,,,,,,,,,,,,1998
"G0501430","2010",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,"Washington County, Arkansas",121010,1813,63,0,163,338,1052,534,145,2663,1149,3340,4818,2185,2731,1765,29889,5314,7901,19315,4937,20566,7195,1828,1306,,,,,,,,,,,,,,20651,"Washington County, Arkansas",1133,738,109,273,263,291,609,576,160,1100,553,1033,1452,942,812,606,2752,1139,1301,2291,1109,2410,1641,671,577,,,,,,,,,,,,,,1364
"G0501450","2010",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,"White County, Arkansas",48855,667,0,74,0,30,79,125,56,282,328,975,1890,2145,2194,906,14302,3447,2924,7052,3229,5223,1745,544,638,,,,,,,,,,,,,,18827,"White County, Arkansas",850,513,273,121,273,55,121,157,91,266,192,494,747,676,809,544,1695,826,773,1356,896,1006,581,433,414,,,,,,,,,,,,,,1611
"G0600010","2010",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,"Alameda County, California",1022948,20110,105,259,1100,3158,3938,5197,4886,24814,3074,11682,13766,13779,19407,20071,187470,17195,42874,152843,65248,246174,113240,26283,26275,1416820,801613,243199,6540,6646,6894,68383,15255,120597,28772,52842,48393,17686,32398,"Alameda County, California",540,2383,122,193,657,1206,1235,1186,1256,3274,1021,1953,2135,2331,3039,2248,8738,2406,3608,6000,4251,7635,5405,2526,2446,587,10818,7508,1291,1776,2070,6857,3730,8343,5108,6389,5416,4574,501
"G0600070","2010",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,"Butte County, California",142604,1384,0,284,100,783,295,0,335,1232,245,2027,1880,3021,4231,2666,30056,5626,14038,29237,13097,21155,6931,2250,1731,207783,179152,17965,720,140,313,2515,40,1158,924,453,3803,600,22263,"Butte County, California",824,601,294,443,157,587,232,294,316,680,190,858,759,944,1127,787,2467,1399,1850,2677,1591,2192,1164,669,652,434,3468,2525,381,146,256,1676,71,816,850,360,1427,489,1191
"G0600130","2010",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,"Contra Costa County, California",704237,8019,0,326,161,480,2923,1951,2184,16421,3041,5143,8251,8879,9830,11410,123526,12930,43014,116904,57013,173909,66512,19703,11707,985568,659401,172901,4477,6246,6569,35718,7411,31800,5569,29431,17898,8147,34977,"Contra Costa County, California",399,1677,294,266,181,332,926,904,897,2998,1140,1439,1731,1746,1634,2145,5701,1659,3785,5622,4401,6302,3901,2110,1456,549,8982,6580,1532,1509,2208,6233,3005,3781,1859,3783,3136,2697,780
"G0600170","2010",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,"El Dorado County, California",126347,803,0,0,0,0,75,57,418,628,98,374,274,957,1790,1887,25042,3840,9892,27908,12254,27630,8754,2299,1367,171245,150239,12210,718,2293,836,2148,872,0,0,492,431,1006,33111,"El Dorado County, California",618,485,294,294,294,294,124,100,413,400,161,309,249,447,909,781,2987,1097,1590,2577,2081,2652,1474,639,585,551,3491,2022,500,1652,656,1409,1010,294,294,567,494,1432,1743
"G0600190","2010",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,"Fresno County, California",545988,22228,0,166,1244,3491,6612,4870,6286,18937,4389,18789,10415,14830,19923,10619,108857,13704,35156,91137,44844,73702,22792,9171,3826,854504,485935,277213,426,3016,3258,19678,1310,3892,1724,6293,43395,8364,19083,"Fresno County, California",446,2535,294,204,624,1068,1542,1087,1900,2516,1279,2629,1949,2539,2508,1676,5240,2309,2821,5883,3637,4509,2274,1753,936,438,13672,10956,305,912,1937,3558,1482,1599,994,2031,5583,3495,491
"G0600230","2010",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,"Humboldt County, California",90604,694,0,0,87,0,0,34,0,928,33,701,1433,1678,1547,1187,21456,2212,7201,21561,7049,16304,4157,1527,815,,,,,,,,,,,,,,23202,"Humboldt County, California",977,402,294,294,151,294,294,61,294,598,55,454,900,658,670,556,2487,702,1203,2413,1146,1952,821,445,433,,,,,,,,,,,,,,1467
"G0600250","2010",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,"Imperial County, California",104395,4009,0,21,200,1379,1097,1607,1331,5819,1545,3024,6018,3342,4946,4076,19018,3576,7726,14387,7471,9107,3851,665,180,,,,,,,,,,,,,,15886,"Imperial County, California",1013,1090,294,37,240,544,564,661,661,1093,666,1141,1436,1243,964,1066,2263,808,1325,1733,1163,1522,1267,415,176,,,,,,,,,,,,,,766
"G0600290","2010",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,"Kern County, California",493204,14479,78,336,856,3250,7407,3986,4081,25010,4179,11396,16841,13155,22523,14122,107466,18927,34700,84872,31548,48768,17780,4987,2457,769096,457847,276342,1389,1572,455,7136,1280,2526,566,10265,4434,5284,19077,"Kern County, California",781,2163,91,234,456,1093,1478,1155,1235,2654,1284,2035,2150,1908,2805,2277,5095,2130,2942,4803,2962,3395,2127,1084,636,543,9350,8894,1318,852,357,1616,689,1147,324,1983,1360,2904,613
"G0600310","2010",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,"Kings County, California",91789,3572,0,95,127,570,1364,1298,1151,3929,509,1692,2885,3820,4896,2418,20616,3999,5807,13302,9723,7205,2345,466,0,140622,76417,54874,0,282,37,2891,346,498,100,3061,1003,1113,17129,"Kings County, California",888,972,294,135,202,437,562,767,660,927,289,655,959,974,1021,775,2149,1026,1208,1775,1611,1232,687,289,294,437,3567,2984,294,183,61,1425,358,524,115,741,573,840,963
"G0600330","2010",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,"Lake County, California",44420,576,0,0,0,212,127,136,0,493,91,350,661,1168,985,1118,12562,981,4564,9535,3769,4581,1647,610,254,,,,,,,,,,,,,,18773,"Lake County, California",1182,505,294,294,294,262,227,184,294,434,109,329,497,601,535,638,1727,578,1296,1685,1075,1311,756,505,336,,,,,,,,,,,,,,1820
