GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,IXME001,IXME002,IXME003,IXME004,IXME005,IXME006,IXME007,IXME008,IXME009,IXME010,IXME011,IXME012,IXME013,IXME014,IXME015,IXME016,IXME017,IXME018,IXME019,IXME020,IXME021,IXME022,IXME023,IXME024,IXME025,IX2E001,IX2E002,IX2E003,IX2E004,IX2E005,IX2E006,IX2E007,IX2E008,IX2E009,IX2E010,IX2E011,IX2E012,IX2E013,I6IE001,NAME_M,IXMM001,IXMM002,IXMM003,IXMM004,IXMM005,IXMM006,IXMM007,IXMM008,IXMM009,IXMM010,IXMM011,IXMM012,IXMM013,IXMM014,IXMM015,IXMM016,IXMM017,IXMM018,IXMM019,IXMM020,IXMM021,IXMM022,IXMM023,IXMM024,IXMM025,IX2M001,IX2M002,IX2M003,IX2M004,IX2M005,IX2M006,IX2M007,IX2M008,IX2M009,IX2M010,IX2M011,IX2M012,IX2M013,I6IM001
"G1901690","2010",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,"Story County, Iowa",48256,169,0,0,0,0,0,0,0,0,98,355,222,354,437,368,8547,890,2162,7273,4016,13318,5461,1041,3545,84954,78906,1810,162,418,642,684,445,965,0,97,670,155,25639,"Story County, Iowa",917,178,228,228,228,228,228,228,228,228,122,269,205,234,306,219,1322,371,609,1187,781,1589,974,455,1160,402,1648,687,235,447,610,470,402,758,228,162,590,248,1453
"G1901930","2010",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,"Woodbury County, Iowa",64512,1122,0,0,104,92,373,208,151,1085,271,1146,1305,1215,862,1308,17266,3550,4976,9854,4818,10612,3455,493,246,,,,,,,,,,,,,,21040,"Woodbury County, Iowa",883,822,228,228,176,192,353,244,168,497,371,440,788,653,457,616,1999,782,967,1515,1027,1381,949,228,208,,,,,,,,,,,,,,1208
"G2000150","2010",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,"Butler County, Kansas",41826,331,0,0,0,0,0,0,0,79,22,660,325,641,601,363,7767,2747,5651,8295,3716,7429,2723,476,0,,,,,,,,,,,,,,25554,"Butler County, Kansas",365,235,248,248,248,248,248,248,248,98,38,452,244,305,376,277,1144,728,1160,1191,843,1237,767,306,248,,,,,,,,,,,,,,1854
"G2000450","2010",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,"Douglas County, Kansas",61443,303,0,0,0,0,0,0,0,77,82,475,590,118,1893,652,9151,2002,2823,8244,4382,17323,7896,2068,3364,104299,93676,3098,715,477,1054,716,74,1474,0,762,1099,1154,24030,"Douglas County, Kansas",1458,364,248,248,248,248,248,248,248,133,127,288,483,155,965,367,1462,763,899,1390,1117,1870,1041,571,806,482,2467,1176,452,306,1560,493,131,467,248,1091,574,644,1697
"G2000910","2010",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,"Johnson County, Kansas",363419,877,0,85,0,0,435,110,241,2251,245,2650,1231,3572,2619,1935,52437,7046,24607,51254,24162,120332,47777,14042,5511,506618,449525,27305,1474,3853,2140,6352,796,4155,1288,488,5197,4045,35492,"Johnson County, Kansas",1066,615,248,132,248,248,328,128,269,1018,234,1026,640,1157,794,629,3962,1362,2579,3671,2227,4627,3274,1795,1177,318,4035,2839,711,1069,1309,2139,668,1985,971,526,1324,1346,1012
"G2001030","2010",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,"Leavenworth County, Kansas",48319,470,0,168,0,0,40,0,0,76,115,258,332,432,1092,644,10808,3511,3824,7155,4247,8703,5079,490,875,,,,,,,,,,,,,,25421,"Leavenworth County, Kansas",1847,352,248,225,248,248,65,248,248,87,119,164,294,358,477,360,1432,688,984,996,1064,1353,981,342,506,,,,,,,,,,,,,,1593
"G2001610","2010",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,"Riley County, Kansas",,,,,,,,,,,,,,,,,,,,,,,,,,67047,62205,894,64,415,271,630,589,640,11,212,250,866,21156,"Riley County, Kansas",,,,,,,,,,,,,,,,,,,,,,,,,,605,1633,560,109,279,461,611,610,518,23,285,323,780,1697
"G2001730","2010",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,"Sedgwick County, Kansas",315558,2575,47,0,0,255,659,555,859,4189,532,4581,6609,6526,9202,4807,71088,15045,26187,52307,21279,60874,20353,4568,2461,460316,395137,41933,1227,1872,105,3329,358,2368,6863,804,3824,2496,23747,"Sedgwick County, Kansas",633,1159,72,248,248,306,493,308,553,1214,378,1050,1584,1284,1729,1067,4462,1702,2405,3700,2269,2815,2195,876,709,301,4463,3730,494,735,107,1497,391,1463,1905,482,1622,1423,760
"G2001770","2010",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,"Shawnee County, Kansas",118271,1193,49,0,0,0,273,152,42,577,547,1139,1539,1738,1531,2021,31056,5978,8910,18492,8301,21346,8975,2820,1592,,,,,,,,,,,,,,24378,"Shawnee County, Kansas",799,607,81,248,248,248,315,182,67,434,437,452,900,698,465,581,2489,1375,1424,2523,1391,2272,1215,797,587,,,,,,,,,,,,,,1187
"G2002090","2010",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,"Wyandotte County, Kansas",97674,2143,44,0,0,339,436,461,713,2355,1436,2438,2044,2399,3601,1787,30475,4029,6996,15422,6348,9183,3787,928,310,,,,,,,,,,,,,,17750,"Wyandotte County, Kansas",513,781,81,248,248,489,317,330,813,806,659,1062,668,733,882,894,2380,828,1279,1893,1136,1590,838,442,216,,,,,,,,,,,,,,797
