"state","county","fips","Grocery & pharmacy","Parks","Residential","Retail & recreation","Transit stations","Workplace"
"Alabama","Autauga",1001,9.603,NA,-2.054,12.245,NA,2.301
"Alabama","Baldwin",1003,14.244,66.253,-0.922,12.954,9.326,1.526
"Alabama","Barbour",1005,-11.043,NA,NA,16.582,NA,-1.945
"Alabama","Bibb",1007,-1.921,NA,NA,5.317,NA,5.37
"Alabama","Blount",1009,4.167,NA,-0.975,8.176,NA,2.898
"Alabama","Bullock",1011,25,NA,NA,18.643,NA,-4.76
"Alabama","Butler",1013,6.429,NA,NA,20,NA,-1.462
"Alabama","Calhoun",1015,5.006,NA,-0.952,14.965,NA,-0.423
"Alabama","Chambers",1017,6.531,NA,-1.94,19.231,NA,3.192
"Alabama","Cherokee",1019,5.495,NA,NA,5.67,NA,-0.556
"Alabama","Chilton",1021,8.965,NA,-1.188,11.675,11.641,2.13
"Alabama","Choctaw",1023,6.411,NA,NA,23.077,NA,3.278
"Alabama","Clarke",1025,0.001,NA,NA,16.838,NA,-0.836
"Alabama","Clay",1027,6.891,NA,3.446,13.747,NA,NA
"Alabama","Cleburne",1029,5.714,NA,NA,15.519,0.006,0.006
"Alabama","Coffee",1031,8.719,NA,-2.302,19.469,NA,3.461
"Alabama","Colbert",1033,5.458,-34.881,-2.691,12.541,9.17,-0.477
"Alabama","Conecuh",1035,11.665,NA,3.031,11.164,NA,17.724
"Alabama","Coosa",1037,NA,NA,NA,NA,NA,3.704
"Alabama","Covington",1039,4.263,NA,-1.828,20.992,NA,1.248
"Alabama","Crenshaw",1041,6.666,NA,NA,17.045,NA,-1.942
"Alabama","Cullman",1043,6.928,19.047,-0.117,8.54,10.568,1.766
"Alabama","Dale",1045,5.264,NA,-2.638,13.649,1.694,3.01
"Alabama","Dallas",1047,8.982,NA,-2.991,27.997,NA,-0.005
"Alabama","DeKalb",1049,2.57,NA,-1.499,13.384,NA,0.385
"Alabama","Elmore",1051,4.533,NA,-1.459,16.099,NA,0.826
"Alabama","Escambia",1053,11.223,NA,-2.653,12.814,NA,3.745
"Alabama","Etowah",1055,1.938,NA,-1.4,14.695,6.975,0.611
"Alabama","Fayette",1057,NA,NA,NA,17.393,NA,-4
"Alabama","Franklin",1059,7.515,NA,-0.851,16.754,NA,3.539
"Alabama","Geneva",1061,7.442,NA,NA,16.588,NA,0.941
"Alabama","Greene",1063,24.236,NA,NA,NA,1.812,-2.246
"Alabama","Hale",1065,2.327,NA,NA,16.175,NA,-2.172
"Alabama","Henry",1067,7.691,NA,NA,13.935,NA,-1.585
"Alabama","Houston",1069,6.285,NA,-2.836,14.48,11.691,1.301
"Alabama","Jackson",1071,-1.368,NA,-1.014,11.148,NA,2.132
"Alabama","Jefferson",1073,5.116,19.627,-1.184,10.148,5.948,1.123
"Alabama","Lamar",1075,21.617,NA,NA,0,NA,4.35
"Alabama","Lauderdale",1077,0.206,NA,-1.183,13.561,NA,0.441
"Alabama","Lawrence",1079,4.269,NA,-1.099,12.236,NA,-0.022
"Alabama","Lee",1081,4.56,NA,-1.936,10.245,NA,2.431
"Alabama","Limestone",1083,4.901,10.808,-1.142,9.467,NA,2.178
"Alabama","Lowndes",1085,NA,NA,NA,NA,10.655,-4.411
"Alabama","Macon",1087,6.132,NA,4.2,29.416,0.01,NA
"Alabama","Madison",1089,5.989,6.072,-1.117,5.853,13.842,2.296
"Alabama","Marengo",1091,11.506,NA,-1.626,22.161,NA,NA
"Alabama","Marion",1093,8.828,NA,NA,12.163,NA,-0.032
"Alabama","Marshall",1095,6.157,4.28,-1,12.369,NA,1.194
"Alabama","Mobile",1097,7.312,17.111,-0.212,11.789,7.148,-7.247
"Alabama","Monroe",1099,6.453,NA,1.022,13.463,NA,NA
"Alabama","Montgomery",1101,6.526,41.66,-2.384,14.267,6.9,1.821
"Alabama","Morgan",1103,1.955,49.992,-1.532,9.432,9.904,1.468
"Alabama","Perry",1105,2.015,NA,NA,NA,NA,-5.137
"Alabama","Pickens",1107,14.526,NA,5.247,17.153,NA,NA
"Alabama","Pike",1109,1.061,NA,-1.639,15.033,NA,-1.265
"Alabama","Randolph",1111,-2.477,NA,4.605,5.946,NA,NA
"Alabama","Russell",1113,10.432,NA,-2.886,17.324,NA,2.722
"Alabama","Shelby",1117,2.429,31.039,-1.258,8.032,NA,1.373
"Alabama","St. Clair",1115,-4.211,NA,-0.876,13.678,5.097,3.221
"Alabama","Sumter",1119,8.775,NA,10.341,9.878,NA,NA
"Alabama","Talladega",1121,-1.498,-1.71,-1.783,17.958,8.132,0.01
"Alabama","Tallapoosa",1123,4.217,NA,-0.725,14.189,NA,1.35
"Alabama","Tuscaloosa",1125,5.469,36.512,-2.577,16.859,9.962,1.809
"Alabama","Walker",1127,5.811,NA,-1.569,16.872,1.946,5.887
"Alabama","Washington",1129,15.858,NA,NA,NA,NA,5.458
"Alabama","Wilcox",1131,NA,NA,NA,NA,NA,-4.167
"Alabama","Winston",1133,-6.319,NA,NA,21.78,NA,1.798
"Alaska","Anchorage",2020,6.213,16.535,-1.746,12.918,7.711,5.027
"Alaska","Bethel",2050,-2.042,NA,NA,NA,NA,2.902
"Alaska","Fairbanks North Star",2090,3.415,NA,-2.046,11.863,7.003,14.096
"Alaska","Juneau",2110,-2.073,NA,-0.719,7.344,-7.693,1.835
"Alaska","Kenai Peninsula Borough",2122,8.815,NA,-1.121,10.658,NA,4.344
"Alaska","Ketchikan Gateway",2130,-19.999,NA,5.952,14.166,NA,NA
"Alaska","Kodiak Island",2150,NA,NA,NA,7.321,NA,10.932
