GISJOIN,id,Temp,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001
G0100750,01007,G01007,2010,3,6,Alabama,1,Lamar County,75,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Lamar County,,14564
G0100770,01007,G01007,2010,3,6,Alabama,1,Lauderdale County,77,,,,,,,,,,,,,,22520,99999,999,,,,,,,,,,,,,,Lauderdale County,,92709
G0100790,01007,G01007,2010,3,6,Alabama,1,Lawrence County,79,,,,,,,,,,,,,,19460,99999,290,,,,,,,,,,,,,,Lawrence County,,34339
G0100810,01008,G01008,2010,3,6,Alabama,1,Lee County,81,,,,,,,,,,,,,,12220,99999,194,,,,,,,,,,,,,,Lee County,,140247
G0100830,01008,G01008,2010,3,6,Alabama,1,Limestone County,83,,,,,,,,,,,,,,26620,99999,290,,,,,,,,,,,,,,Limestone County,,82782
G0100850,01008,G01008,2010,3,6,Alabama,1,Lowndes County,85,,,,,,,,,,,,,,33860,99999,388,,,,,,,,,,,,,,Lowndes County,,11299
G0100870,01008,G01008,2010,3,6,Alabama,1,Macon County,87,,,,,,,,,,,,,,46260,99999,194,,,,,,,,,,,,,,Macon County,,21452
G0100890,01008,G01008,2010,3,6,Alabama,1,Madison County,89,,,,,,,,,,,,,,26620,99999,290,,,,,,,,,,,,,,Madison County,,334811
G0100910,01009,G01009,2010,3,6,Alabama,1,Marengo County,91,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Marengo County,,21027
G0100930,01009,G01009,2010,3,6,Alabama,1,Marion County,93,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Marion County,,30776
G0100950,01009,G01009,2010,3,6,Alabama,1,Marshall County,95,,,,,,,,,,,,,,10700,99999,999,,,,,,,,,,,,,,Marshall County,,93019
G0100970,01009,G01009,2010,3,6,Alabama,1,Mobile County,97,,,,,,,,,,,,,,33660,99999,380,,,,,,,,,,,,,,Mobile County,,412992
G0100990,01009,G01009,2010,3,6,Alabama,1,Monroe County,99,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Monroe County,,23068
G0101010,01010,G01010,2010,3,6,Alabama,1,Montgomery County,101,,,,,,,,,,,,,,33860,99999,388,,,,,,,,,,,,,,Montgomery County,,229363
G0101030,01010,G01010,2010,3,6,Alabama,1,Morgan County,103,,,,,,,,,,,,,,19460,99999,290,,,,,,,,,,,,,,Morgan County,,119490
G0101050,01010,G01010,2010,3,6,Alabama,1,Perry County,105,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Perry County,,10591
G0101070,01010,G01010,2010,3,6,Alabama,1,Pickens County,107,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Pickens County,,19746
G0101090,01010,G01010,2010,3,6,Alabama,1,Pike County,109,,,,,,,,,,,,,,45980,99999,999,,,,,,,,,,,,,,Pike County,,32899
G0101110,01011,G01011,2010,3,6,Alabama,1,Randolph County,111,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Randolph County,,22913
G0101130,01011,G01011,2010,3,6,Alabama,1,Russell County,113,,,,,,,,,,,,,,17980,99999,194,,,,,,,,,,,,,,Russell County,,52947
G0101150,01011,G01011,2010,3,6,Alabama,1,St. Clair County,115,,,,,,,,,,,,,,13820,99999,142,,,,,,,,,,,,,,St. Clair County,,83593
G0101170,01011,G01011,2010,3,6,Alabama,1,Shelby County,117,,,,,,,,,,,,,,13820,99999,142,,,,,,,,,,,,,,Shelby County,,195085
G0101190,01011,G01011,2010,3,6,Alabama,1,Sumter County,119,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Sumter County,,13763
G0101210,01012,G01012,2010,3,6,Alabama,1,Talladega County,121,,,,,,,,,,,,,,45180,99999,999,,,,,,,,,,,,,,Talladega County,,82291
G0101230,01012,G01012,2010,3,6,Alabama,1,Tallapoosa County,123,,,,,,,,,,,,,,10760,99999,388,,,,,,,,,,,,,,Tallapoosa County,,41616
G0101250,01012,G01012,2010,3,6,Alabama,1,Tuscaloosa County,125,,,,,,,,,,,,,,46220,99999,999,,,,,,,,,,,,,,Tuscaloosa County,,194656
G0101270,01012,G01012,2010,3,6,Alabama,1,Walker County,127,,,,,,,,,,,,,,13820,99999,142,,,,,,,,,,,,,,Walker County,,67023
G0101290,01012,G01012,2010,3,6,Alabama,1,Washington County,129,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Washington County,,17581
G0101310,01013,G01013,2010,3,6,Alabama,1,Wilcox County,131,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Wilcox County,,11670
G0101330,01013,G01013,2010,3,6,Alabama,1,Winston County,133,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Winston County,,24484
G0200130,02001,G02001,2010,4,9,Alaska,2,Aleutians East Borough,13,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Aleutians East Borough,,3141
G0200160,02001,G02001,2010,4,9,Alaska,2,Aleutians West Census Area,16,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Aleutians West Census Area,,5561
G0200200,02002,G02002,2010,4,9,Alaska,2,Anchorage Municipality,20,,,,,,,,,,,,,,11260,99999,999,,,,,,,,,,,,,,Anchorage Municipality,,291826
G0200500,02005,G02005,2010,4,9,Alaska,2,Bethel Census Area,50,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Bethel Census Area,,17013
G0200600,02006,G02006,2010,4,9,Alaska,2,Bristol Bay Borough,60,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Bristol Bay Borough,,997
G0200680,02006,G02006,2010,4,9,Alaska,2,Denali Borough,68,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Denali Borough,,1826
G0200700,02007,G02007,2010,4,9,Alaska,2,Dillingham Census Area,70,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Dillingham Census Area,,4847
G0200900,02009,G02009,2010,4,9,Alaska,2,Fairbanks North Star Borough,90,,,,,,,,,,,,,,21820,99999,999,,,,,,,,,,,,,,Fairbanks North Star Borough,,97581
G0201000,02010,G02010,2010,4,9,Alaska,2,Haines Borough,100,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Haines Borough,,2508
G0201050,02010,G02010,2010,4,9,Alaska,2,Hoonah-Angoon Census Area,105,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Hoonah-Angoon Census Area,,2150
G0201100,02011,G02011,2010,4,9,Alaska,2,Juneau City and Borough,110,,,,,,,,,,,,,,27940,99999,999,,,,,,,,,,,,,,Juneau City and Borough,,31275
G0201220,02012,G02012,2010,4,9,Alaska,2,Kenai Peninsula Borough,122,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Kenai Peninsula Borough,,55400
G0201300,02013,G02013,2010,4,9,Alaska,2,Ketchikan Gateway Borough,130,,,,,,,,,,,,,,28540,99999,999,,,,,,,,,,,,,,Ketchikan Gateway Borough,,13477
G0201500,02015,G02015,2010,4,9,Alaska,2,Kodiak Island Borough,150,,,,,,,,,,,,,,28980,99999,999,,,,,,,,,,,,,,Kodiak Island Borough,,13592
G0201640,02016,G02016,2010,4,9,Alaska,2,Lake and Peninsula Borough,164,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Lake and Peninsula Borough,,1631
G0201700,02017,G02017,2010,4,9,Alaska,2,Matanuska-Susitna Borough,170,,,,,,,,,,,,,,11260,99999,999,,,,,,,,,,,,,,Matanuska-Susitna Borough,,88995
G0201800,02018,G02018,2010,4,9,Alaska,2,Nome Census Area,180,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Nome Census Area,,9492
G0201850,02018,G02018,2010,4,9,Alaska,2,North Slope Borough,185,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,North Slope Borough,,9430
G0201880,02018,G02018,2010,4,9,Alaska,2,Northwest Arctic Borough,188,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Northwest Arctic Borough,,7523
G0201950,02019,G02019,2010,4,9,Alaska,2,Petersburg Census Area,195,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Petersburg Census Area,,3815
G0201980,02019,G02019,2010,4,9,Alaska,2,Prince of Wales-Hyder Census Area,198,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Prince of Wales-Hyder Census Area,,5559
G0202200,02022,G02022,2010,4,9,Alaska,2,Sitka City and Borough,220,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Sitka City and Borough,,8881
G0202300,02023,G02023,2010,4,9,Alaska,2,Skagway Municipality,230,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Skagway Municipality,,968
G0202400,02024,G02024,2010,4,9,Alaska,2,Southeast Fairbanks Census Area,240,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Southeast Fairbanks Census Area,,7029
G0202610,02026,G02026,2010,4,9,Alaska,2,Valdez-Cordova Census Area,261,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Valdez-Cordova Census Area,,9636
G0202700,02027,G02027,2010,4,9,Alaska,2,Wade Hampton Census Area,270,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Wade Hampton Census Area,,7459
G0202750,02027,G02027,2010,4,9,Alaska,2,Wrangell City and Borough,275,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Wrangell City and Borough,,2369
G0202820,02028,G02028,2010,4,9,Alaska,2,Yakutat City and Borough,282,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Yakutat City and Borough,,662
G0202900,02029,G02029,2010,4,9,Alaska,2,Yukon-Koyukuk Census Area,290,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Yukon-Koyukuk Census Area,,5588
G0400010,04000,G04000,2010,4,8,Arizona,4,Apache County,1,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Apache County,,71518
G0400030,04000,G04000,2010,4,8,Arizona,4,Cochise County,3,,,,,,,,,,,,,,43420,99999,999,,,,,,,,,,,,,,Cochise County,,131346
G0400050,04000,G04000,2010,4,8,Arizona,4,Coconino County,5,,,,,,,,,,,,,,22380,99999,999,,,,,,,,,,,,,,Coconino County,,134421
G0400070,04000,G04000,2010,4,8,Arizona,4,Gila County,7,,,,,,,,,,,,,,37740,99999,999,,,,,,,,,,,,,,Gila County,,53597
G0400090,04000,G04000,2010,4,8,Arizona,4,Graham County,9,,,,,,,,,,,,,,40940,99999,999,,,,,,,,,,,,,,Graham County,,37220
G0400110,04001,G04001,2010,4,8,Arizona,4,Greenlee County,11,,,,,,,,,,,,,,40940,99999,999,,,,,,,,,,,,,,Greenlee County,,8437
G0400120,04001,G04001,2010,4,8,Arizona,4,La Paz County,12,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,La Paz County,,20489
G0400130,04001,G04001,2010,4,8,Arizona,4,Maricopa County,13,,,,,,,,,,,,,,38060,99999,999,,,,,,,,,,,,,,Maricopa County,,3817117
G0400150,04001,G04001,2010,4,8,Arizona,4,Mohave County,15,,,,,,,,,,,,,,29420,99999,999,,,,,,,,,,,,,,Mohave County,,200186
G0400170,04001,G04001,2010,4,8,Arizona,4,Navajo County,17,,,,,,,,,,,,,,43320,99999,999,,,,,,,,,,,,,,Navajo County,,107449
G0400190,04001,G04001,2010,4,8,Arizona,4,Pima County,19,,,,,,,,,,,,,,46060,99999,999,,,,,,,,,,,,,,Pima County,,980263
G0400210,04002,G04002,2010,4,8,Arizona,4,Pinal County,21,,,,,,,,,,,,,,38060,99999,999,,,,,,,,,,,,,,Pinal County,,375770
G0400230,04002,G04002,2010,4,8,Arizona,4,Santa Cruz County,23,,,,,,,,,,,,,,35700,99999,999,,,,,,,,,,,,,,Santa Cruz County,,47420
G0400250,04002,G04002,2010,4,8,Arizona,4,Yavapai County,25,,,,,,,,,,,,,,39140,99999,999,,,,,,,,,,,,,,Yavapai County,,211033
G0400270,04002,G04002,2010,4,8,Arizona,4,Yuma County,27,,,,,,,,,,,,,,49740,99999,999,,,,,,,,,,,,,,Yuma County,,195751
G0500010,05000,G05000,2010,3,7,Arkansas,5,Arkansas County,1,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Arkansas County,,19019
G0500030,05000,G05000,2010,3,7,Arkansas,5,Ashley County,3,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Ashley County,,21853
G0500050,05000,G05000,2010,3,7,Arkansas,5,Baxter County,5,,,,,,,,,,,,,,34260,99999,999,,,,,,,,,,,,,,Baxter County,,41513
G0500070,05000,G05000,2010,3,7,Arkansas,5,Benton County,7,,,,,,,,,,,,,,22220,99999,999,,,,,,,,,,,,,,Benton County,,221339
G0500090,05000,G05000,2010,3,7,Arkansas,5,Boone County,9,,,,,,,,,,,,,,25460,99999,999,,,,,,,,,,,,,,Boone County,,36903
G0500110,05001,G05001,2010,3,7,Arkansas,5,Bradley County,11,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Bradley County,,11508
G0500130,05001,G05001,2010,3,7,Arkansas,5,Calhoun County,13,,,,,,,,,,,,,,15780,99999,999,,,,,,,,,,,,,,Calhoun County,,5368
G0500150,05001,G05001,2010,3,7,Arkansas,5,Carroll County,15,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Carroll County,,27446
G0500170,05001,G05001,2010,3,7,Arkansas,5,Chicot County,17,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Chicot County,,11800
