"","fips","State","State.of.emergency","Date.closed.K.12.schools","Closed.day.cares","Date.banned.visitors.to.nursing.homes","Stay.at.home..shelter.in.place","Closed.non.essential.businesses","Religious.Gatherings.Exempt.Without.Clear.Social.Distance.Mandate.","Alcohol.Liquor.Stores.Open","Keep.Firearms.Sellers.Open","Closed.restaurants.except.take.out","Closed.gyms","Closed.movie.theaters","Froze.evictions","Order.freezing.utility.shut.offs","Froze.mortgage.payments","Expand.Medicaid.access.with.1135..waivers..date.of.CMS.approval.","Reopened.ACA.enrollment.using.a.special.enrollment.period","Suspended.elective.medical.dental.procedures","Resumed.elective.medical.procedures","Waived.one.week.waiting.period.for.unemployment.insurance","Waive.work.search.requirement.for.unemployment.insurance","Expand.eligibility.of.unemployment.insurance.to.anyonewho.is.quarantined.and.or.taking.care.of.someone.who.is.quarantined","Expand.eligibility.of.unemployment.insurance.to.those.who.have.lost.childcare.school.closures","Extend.the.amount.of.time.an.individual.can.be.on.unemployment.insurance","Paid.sick.leave","Population.density.per.square.miles","Population.2018","Square.Miles","Number.Homeless..2019.","Percent.Unemployed..2018.","Percent.living.under.the.federal.poverty.line..2018.","Percent.at.risk.for.serious.illness.due.to.COVID","All.cause.deaths.2016"
"32",35,"New Mexico","3/11/20","3/16/20","0","3/13/20","3/24/20","3/24/20",1,0,0,"3/19/20","3/19/20","3/19/20","3/24/20","0","0","3/23/20","0","3/27/20","0","0",1,1,0,0,0,"17.23","2095428",121590,"3,241",6.1,19.5,39.4,"18,365"
"33",36,"New York","3/7/20","3/18/20","0","3/13/20","3/22/20","3/22/20",1,1,0,"3/16/20","3/16/20","3/16/20","3/22/20","3/13/20","3/21/20","3/26/20","3/16/20","3/20/20","0","3/12/20",0,0,1,0,0,"358.21","19542209",54555,"92,091",5,13.6,36.9,"154,358"
"34",37,"North Carolina","3/10/20","3/16/20","0","3/23/20","3/30/20","3/30/20",1,1,0,"3/17/20","3/25/20","3/25/20","0","3/19/20","0","3/23/20","0","0","0","3/17/20",1,1,0,0,0,"192.94","10383620",53819,"9,314",5,14,39,"90,465"
"35",38,"North Dakota","3/13/20","3/16/20","0","4/6/20","0","0",0,1,1,"3/20/20","3/20/20","3/20/20","0","0","0","3/24/20","0","0","0","3/20/20",1,1,0,0,0,"10.75","760077",70698,"557",2.8,10.7,34.6,"6,242"
"36",39,"Ohio","3/9/20","3/16/20","3/26/20","3/11/20","3/24/20","3/24/20",0,1,1,"3/15/20","3/17/20","3/17/20","0","3/13/20","0","0","0","3/18/20","0","3/16/20",0,1,0,0,0,"260.77","11689442",44826,"10,345",4.9,13.9,39.8,"119,572"
"37",40,"Oklahoma","3/15/20","3/17/20","0","3/16/20","0","4/1/20",0,1,1,"4/1/20","4/1/20","4/1/20","0","0","0","3/24/20","0","3/24/20","4/24/20","3/21/20",1,0,0,0,0,"56.41","3943079",69899,"3,944",4.4,15.6,40.8,"39,276"
"38",41,"Oregon","3/8/20","3/16/20","3/25/20","0","3/23/20","3/24/20",0,1,1,"3/17/20","3/24/20","3/24/20","3/22/20","0","0","3/25/20","0","3/18/20","0","0",1,1,1,0,1,"42.6","4190713",98379,"15,876",5,12.6,39.8,"35,778"
"39",42,"Pennsylvania","3/6/20","3/16/20","3/17/20","3/17/20","4/1/20","3/19/20",1,1,1,"3/19/20","3/19/20","3/19/20","3/20/20","3/13/20","0","3/27/20","0","3/20/20","0","3/27/20",1,1,0,0,0,"278.09","12807060",46054,"13,199",4.9,12.2,39.8,"133,040"
"40",44,"Rhode Island","3/9/20","3/16/20","3/16/20","3/13/20","3/28/20","3/30/20",0,1,1,"3/17/20","3/23/20","3/23/20","3/19/20","3/16/20","0","3/25/20","3/14/20","0","0","3/8/20",0,1,1,0,1,"684.35","1057315",1545,"1,055",5.5,12.9,38.3,"9,735"
"41",45,"South Carolina","3/13/20","3/16/20","0","3/15/20","4/7/20","4/1/20",0,1,1,"3/18/20","4/1/20","4/1/20","3/17/20","3/18/20","0","3/30/20","0","0","0","3/19/20",1,0,0,0,0,"158.78","5084127",32020,"4,172",5.3,15.3,41.4,"48,130"
