GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,IG2E001,II0E001,II0E002,II0E003,II0E004,II0E005,II0E006,II0E007,II0E008,IJ3E001,IJ3E002,IJ3E003,JIFE001,JIFE002,JIFE003,JIFE004,JIFE005,JIFE006,JIFE007,JIFE008,JIFE009,JIFE010,JIFE011,JIFE012,JIFE013,JIFE014,JIFE015,JIFE016,JIFE017,JIFE018,JIFE019,JIFE020,JIFE021,JIFE022,JIFE023,JIFE024,JIFE025,JIFE026,JIFE027,JIFE028,JIFE029,JIFE030,JIFE031,JIFE032,JIFE033,JIFE034,JIFE035,JIFE036,JIFE037,JIFE038,JIFE039,JIFE040,JIFE041,JIFE042,JIFE043,JIFE044,JIFE045,JIFE046,JIFE047,JIFE048,JIFE049,JIFE050,JIFE051,JIFE052,JIFE053,JIFE054,JIFE055,JIFE056,JIFE057,JIFE058,JIFE059,JIFE060,JIFE061,JIFE062,JIFE063,JIFE064,JIFE065,JIFE066,NAME_M,IG2M001,II0M001,II0M002,II0M003,II0M004,II0M005,II0M006,II0M007,II0M008,IJ3M001,IJ3M002,IJ3M003,JIFM001,JIFM002,JIFM003,JIFM004,JIFM005,JIFM006,JIFM007,JIFM008,JIFM009,JIFM010,JIFM011,JIFM012,JIFM013,JIFM014,JIFM015,JIFM016,JIFM017,JIFM018,JIFM019,JIFM020,JIFM021,JIFM022,JIFM023,JIFM024,JIFM025,JIFM026,JIFM027,JIFM028,JIFM029,JIFM030,JIFM031,JIFM032,JIFM033,JIFM034,JIFM035,JIFM036,JIFM037,JIFM038,JIFM039,JIFM040,JIFM041,JIFM042,JIFM043,JIFM044,JIFM045,JIFM046,JIFM047,JIFM048,JIFM049,JIFM050,JIFM051,JIFM052,JIFM053,JIFM054,JIFM055,JIFM056,JIFM057,JIFM058,JIFM059,JIFM060,JIFM061,JIFM062,JIFM063,JIFM064,JIFM065,JIFM066
"G3700450","2010",,,"North Carolina","37","Cleveland County","045",,,,,,,,,,,,,,,,,"Cleveland County, North Carolina",1399,98050,95534,72557,22572,405,46,359,2516,98050,95534,2516,98050,23038,21279,9865,602,0,10678,134,0,1236,70,0,0,78,0,1088,523,20338,13055,7765,1555,83,3593,59,0,765,146,0,144,0,0,475,6518,39889,28371,21412,2733,1404,2229,136,457,3897,455,305,244,935,114,206,1638,7621,14785,5070,170,0,4900,0,0,9715,0,1749,2911,1358,0,189,3508,0,"Cleveland County, North Carolina",-1,0,693,2582,2550,360,83,349,693,0,693,693,289,161,879,1832,410,289,1555,143,289,779,115,289,289,135,289,770,466,660,1220,1308,738,131,903,96,289,534,231,289,260,289,289,438,1265,630,1744,2050,860,641,641,160,331,911,339,319,223,418,141,182,611,1570,177,910,259,289,845,289,289,953,289,559,757,472,289,176,740,289
"G3700490","2010",,,"North Carolina","37","Craven County","049",,,,,,,,,,,,,,,,,"Craven County, North Carolina",1278,103908,98647,50901,46413,1333,331,1002,5261,103908,98647,5261,96352,23752,20664,5630,564,0,9168,5302,0,2295,463,0,287,1133,0,412,793,20736,13348,6277,130,0,2163,4712,66,1551,443,0,109,415,0,584,5837,36041,22265,14995,1983,1049,1983,1240,1015,6875,838,350,0,1307,1235,218,2927,6901,15823,3612,129,0,3212,62,209,12147,0,3165,4018,1346,0,139,3479,64,"Craven County, North Carolina",-1,0,822,3473,3340,706,307,698,822,0,822,822,2067,575,1152,1564,494,289,1853,1530,289,895,574,289,249,538,289,286,550,1615,1664,1557,196,289,884,1346,107,685,539,289,135,256,289,337,1397,1670,1899,1819,659,599,765,672,635,1470,418,264,289,563,758,361,937,1395,994,841,158,289,817,107,240,1163,289,1008,1046,789,289,159,956,114
"G3700510","2010",,,"North Carolina","37","Cumberland County","051",,,,,,,,,,,,,,,,,"Cumberland County, North Carolina",3806,320267,297656,143881,141032,12743,3422,9321,22611,320267,297656,22611,291851,85693,69769,18389,3510,172,23990,23708,0,8750,533,65,0,4042,0,4110,7174,70209,46902,20316,3893,571,8007,13636,479,6334,1148,0,304,2035,266,2581,16973,105958,64493,38844,4630,1193,6542,11314,1970,21213,2809,1108,234,1902,4256,878,10026,20252,29991,5057,693,0,4280,84,0,24705,68,2893,4400,2564,0,204,14576,229,"Cumberland County, North Carolina",-1,0,2581,6076,5573,2868,1035,2383,2581,0,2581,2581,5106,721,2568,3198,1174,265,3116,3176,289,2212,489,107,289,1917,289,1392,2061,4698,3783,4171,1080,555,1924,2091,315,1382,583,289,290,843,257,990,2724,1660,2570,3019,1349,496,1536,1756,717,2196,831,605,198,632,1081,489,1369,2107,779,1195,486,289,1244,136,289,1349,110,873,1072,798,289,205,1723,292
"G3700570","2010",,,"North Carolina","37","Davidson County","057",,,,,,,,,,,,,,,,,"Davidson County, North Carolina",1870,162930,154483,117238,36267,978,165,813,8447,162930,154483,8447,160876,38650,33498,17162,2719,0,13468,149,0,2188,437,0,0,0,0,1751,2964,29939,19886,14807,2362,327,2267,59,64,744,355,0,0,73,0,316,9309,70481,49183,40296,3617,1888,2886,318,178,6128,1307,50,1184,668,115,428,2376,15170,21806,7229,245,0,6984,0,0,14577,0,3202,4603,1622,0,811,4339,0,"Davidson County, North Carolina",-1,0,976,3593,3594,561,259,485,976,0,976,976,1021,489,2111,2523,1375,289,2090,194,289,1155,479,289,289,289,289,1059,1948,624,1402,1784,1096,549,808,101,111,494,325,289,289,124,289,276,1560,911,2673,2908,865,920,1056,279,184,1400,643,85,786,456,171,451,881,2309,995,1306,260,289,1223,289,289,1391,289,854,1017,681,289,530,1029,289
"G3700630","2010",,,"North Carolina","37","Durham County","063",,,,,,,,,,,,,,,,,"Durham County, North Carolina",3213,268454,230933,132545,94931,3457,569,2888,37521,268454,230933,37521,262447,60165,52429,24214,3084,0,25131,0,0,1551,414,0,151,86,0,900,6185,80040,55712,40831,8266,0,6232,249,134,3285,1776,0,401,187,0,921,21043,98302,72255,60373,5493,1409,3827,203,950,6724,2169,636,296,906,276,153,2288,19323,23940,4277,291,62,3924,0,0,19407,47,7250,3519,1814,0,404,6373,256,"Durham County, North Carolina",-1,0,3210,4470,4417,1082,436,1008,3210,0,3210,3210,1884,4,1903,2823,1200,289,2657,289,289,968,416,289,245,136,289,586,1752,955,2540,2876,1879,289,1602,289,161,930,682,289,390,229,289,411,2314,904,2529,2966,1340,652,1197,263,552,1427,865,471,268,388,306,241,704,2635,1270,1003,212,106,1022,289,289,1503,76,1173,843,1028,289,257,1052,262
"G3700670","2010",,,"North Carolina","37","Forsyth County","067",,,,,,,,,,,,,,,,,"Forsyth County, North Carolina",4497,351335,318897,209283,106116,3498,1144,2354,32438,351335,318897,32438,347292,85417,74859,41302,4815,387,28153,202,0,2710,790,0,0,152,0,1768,7848,79379,50074,34974,7415,448,6666,502,69,3659,1939,105,247,181,0,1187,25646,139436,103971,86934,8884,3456,3849,135,713,11997,3884,1057,383,2667,307,190,3509,23468,43060,10184,958,373,8853,0,0,32876,0,9744,9343,2586,0,321,10882,0,"Forsyth County, North Carolina",-1,0,2840,4880,5332,1328,600,1215,2840,0,2840,2840,1265,285,2580,3433,1216,386,3787,238,289,777,478,289,289,249,289,658,2512,780,2579,2773,1568,390,1649,401,114,946,731,165,341,175,289,587,2727,936,3348,3583,1626,1012,873,157,514,1751,975,518,313,910,320,175,990,2735,1099,1460,598,356,1388,289,289,1656,289,1314,1431,736,289,203,1326,289
"G3700710","2010",,,"North Carolina","37","Gaston County","071",,,,,,,,,,,,,,,,,"Gaston County, North Carolina",2654,206213,196213,144721,49942,1550,575,975,10000,206213,196213,10000,204269,49199,40902,18632,1866,0,20216,188,0,2211,803,53,101,44,0,1210,6086,41122,26234,16993,1397,95,7160,543,46,1528,514,67,211,104,0,632,13360,87835,59767,48206,3446,2430,4571,599,515,8446,2150,654,312,2168,319,0,2843,19622,26113,7289,201,164,6854,70,0,18672,0,2796,6699,2514,0,833,5830,152,"Gaston County, North Carolina",-1,0,2044,3892,3791,703,472,489,2044,0,2044,2044,1561,194,1824,2114,716,289,2345,219,289,1088,599,89,125,76,289,911,1852,989,2068,1946,534,154,1392,416,76,631,390,112,226,172,289,372,1897,1018,2846,2758,930,785,1235,415,331,1547,910,541,238,757,277,289,748,2607,1202,1346,182,205,1330,117,289,1714,289,879,1304,1056,289,436,947,250
"G3700810","2010",,,"North Carolina","37","Guilford County","081",,,,,,,,,,,,,,,,,"Guilford County, North Carolina",6049,489681,441053,285824,150229,5000,1535,3465,48628,489681,441053,48628,486605,114288,100131,51559,5190,545,41221,1054,562,4075,1006,0,49,129,0,2891,10082,121315,80517,53669,11927,883,12547,1406,85,4051,1451,0,358,176,0,2066,36747,192372,141830,112679,13589,3578,9179,1243,1562,14298,4727,921,854,3189,593,433,3581,36244,58630,17882,815,69,16944,0,54,40446,0,10881,13228,3090,0,379,12868,302,"Guilford County, North Carolina",-1,0,4509,7122,7286,1515,1192,1076,4509,0,4509,4509,1504,6,3101,4175,1272,408,4372,1329,869,1201,526,289,79,157,289,1067,2977,431,3512,3631,2107,641,1918,686,103,1074,566,289,321,160,289,838,3741,992,3336,3934,2073,1174,1784,987,828,1810,982,419,485,842,433,318,913,3347,1319,1932,539,112,1947,289,88,2238,289,1312,1726,980,289,291,1634,317
"G3700850","2010",,,"North Carolina","37","Harnett County","085",,,,,,,,,,,,,,,,,"Harnett County, North Carolina",2416,115733,108780,69297,36876,2607,876,1731,6953,115733,108780,6953,110804,32169,25928,7339,1469,18,7711,9391,0,3741,81,0,51,1962,0,1647,2500,26741,15893,9050,1936,35,1707,3056,109,2415,570,16,185,1013,0,631,8433,40070,27157,17929,2531,1374,1875,2994,454,5919,770,392,139,1330,1249,93,1946,6994,11824,3396,50,0,3346,0,0,8364,0,1818,2723,749,0,321,2753,64,"Harnett County, North Carolina",-1,0,1501,3560,3204,1085,858,749,1501,0,1501,1501,1412,365,1509,1653,699,33,1563,2478,289,1128,85,289,87,967,289,756,1125,951,1497,1386,551,59,714,1015,112,855,555,27,170,488,289,445,1604,1061,1732,1773,797,590,579,1140,280,1015,410,237,106,641,450,117,614,1390,439,777,83,289,774,289,289,823,289,473,628,271,289,203,704,121
"G3700890","2010",,,"North Carolina","37","Henderson County","089",,,,,,,,,,,,,,,,,"Henderson County, North Carolina",1223,106978,97579,52289,44887,403,0,403,9399,106978,97579,9399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henderson County, North Carolina",-1,0,1681,2980,3260,312,289,312,1681,0,1681,1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
