GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,IG2E001,II0E001,II0E002,II0E003,II0E004,II0E005,II0E006,II0E007,II0E008,IJ3E001,IJ3E002,IJ3E003,JIFE001,JIFE002,JIFE003,JIFE004,JIFE005,JIFE006,JIFE007,JIFE008,JIFE009,JIFE010,JIFE011,JIFE012,JIFE013,JIFE014,JIFE015,JIFE016,JIFE017,JIFE018,JIFE019,JIFE020,JIFE021,JIFE022,JIFE023,JIFE024,JIFE025,JIFE026,JIFE027,JIFE028,JIFE029,JIFE030,JIFE031,JIFE032,JIFE033,JIFE034,JIFE035,JIFE036,JIFE037,JIFE038,JIFE039,JIFE040,JIFE041,JIFE042,JIFE043,JIFE044,JIFE045,JIFE046,JIFE047,JIFE048,JIFE049,JIFE050,JIFE051,JIFE052,JIFE053,JIFE054,JIFE055,JIFE056,JIFE057,JIFE058,JIFE059,JIFE060,JIFE061,JIFE062,JIFE063,JIFE064,JIFE065,JIFE066,NAME_M,IG2M001,II0M001,II0M002,II0M003,II0M004,II0M005,II0M006,II0M007,II0M008,IJ3M001,IJ3M002,IJ3M003,JIFM001,JIFM002,JIFM003,JIFM004,JIFM005,JIFM006,JIFM007,JIFM008,JIFM009,JIFM010,JIFM011,JIFM012,JIFM013,JIFM014,JIFM015,JIFM016,JIFM017,JIFM018,JIFM019,JIFM020,JIFM021,JIFM022,JIFM023,JIFM024,JIFM025,JIFM026,JIFM027,JIFM028,JIFM029,JIFM030,JIFM031,JIFM032,JIFM033,JIFM034,JIFM035,JIFM036,JIFM037,JIFM038,JIFM039,JIFM040,JIFM041,JIFM042,JIFM043,JIFM044,JIFM045,JIFM046,JIFM047,JIFM048,JIFM049,JIFM050,JIFM051,JIFM052,JIFM053,JIFM054,JIFM055,JIFM056,JIFM057,JIFM058,JIFM059,JIFM060,JIFM061,JIFM062,JIFM063,JIFM064,JIFM065,JIFM066
"G0100030","2010",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,"Baldwin County, Alabama",2145,183195,175459,96165,77778,1516,170,1346,7736,183195,175459,7736,180735,42139,34834,20796,2692,0,10777,406,163,1566,389,0,0,89,0,1088,5739,33979,20227,15711,1977,0,2167,322,50,1650,376,0,127,0,0,1147,12102,75000,52711,40151,6627,1383,2710,786,1054,7982,2303,1057,201,503,474,99,3345,14307,29617,8559,389,0,8170,0,0,21058,0,6916,5195,914,0,345,7688,0,"Baldwin County, Alabama",-1,0,2653,4859,5186,616,220,585,2653,0,2653,2653,888,458,2515,2466,1161,273,2073,362,279,693,377,273,273,196,273,533,2477,888,1820,1695,842,273,1022,311,91,869,308,273,150,273,273,809,1753,800,2772,2956,1472,881,1006,412,826,1618,1109,492,181,342,274,111,984,2366,735,1532,253,273,1459,273,273,1472,273,1311,968,484,273,339,1415,273
"G0100150","2010",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,"Calhoun County, Alabama",1602,118510,115270,85942,27960,1368,176,1192,3240,118510,115270,3240,117641,26961,22905,10042,458,0,11627,778,0,3089,296,0,97,0,0,2696,967,27407,17328,13190,1142,0,2533,212,251,2312,469,50,296,64,0,1433,7767,46641,30302,22602,1153,1423,4044,626,454,8569,1791,329,590,1490,1165,355,2849,7770,16632,3050,141,0,2869,40,0,13582,0,3726,3152,794,0,235,5675,0,"Calhoun County, Alabama",-1,0,1028,3237,3041,618,235,591,1028,0,1028,1028,991,250,1518,1821,440,273,2218,664,273,1421,311,273,127,273,273,1473,694,735,2107,1872,568,273,998,333,394,1074,479,90,305,118,273,857,2317,849,1806,2062,601,603,1243,415,393,1363,711,206,427,746,533,337,954,1509,669,704,129,273,708,65,273,937,273,828,800,404,273,210,1035,273
"G0100430","2010",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,"Cullman County, Alabama",1087,80459,77852,61955,15700,197,0,197,2607,80459,77852,2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",-1,0,1057,2330,2371,224,273,224,1057,0,1057,1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100490","2010",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,"DeKalb County, Alabama",1100,71151,66022,47854,17934,234,0,234,5129,71151,66022,5129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",-1,0,745,2040,2077,297,273,297,745,0,745,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2010",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,"Elmore County, Alabama",1351,79549,78271,58564,19061,646,37,609,1278,79549,78271,1278,71895,18337,16323,10333,719,0,4344,927,0,1032,187,0,0,261,0,584,982,14668,10688,8255,1230,0,582,621,0,614,211,0,97,133,0,173,3366,30055,22869,18809,2302,418,504,752,84,3683,439,231,282,87,1364,0,1280,3503,8835,1664,39,0,1625,0,0,7171,0,2143,826,437,0,14,3751,0,"Elmore County, Alabama",-1,0,637,2309,2467,330,76,313,637,0,637,637,3183,260,944,1505,496,273,1147,598,273,586,246,273,273,240,273,489,581,1607,1560,1449,639,273,368,543,273,360,238,273,133,190,273,169,1038,1948,2013,1863,759,255,294,420,130,916,341,211,298,111,653,273,547,1157,528,552,67,273,540,273,273,676,273,631,505,264,273,26,784,273
"G0100550","2010",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,"Etowah County, Alabama",1543,104462,103112,83426,19266,420,0,420,1350,104462,103112,1350,103672,23809,19691,7824,2339,142,9121,0,265,2109,443,0,59,61,63,1483,2009,20815,12219,9308,985,179,1690,0,57,1132,220,0,320,0,0,592,7464,42750,28658,19908,3596,1969,2693,102,390,5449,1122,469,338,1668,109,159,1584,8643,16298,3912,176,0,3736,0,0,12375,0,2804,3566,947,0,198,4860,11,"Etowah County, Alabama",-1,0,731,2269,2357,274,273,274,731,0,731,731,891,270,1317,1501,1226,155,1687,273,282,877,323,273,95,99,109,731,952,767,1469,1484,606,178,596,273,98,544,288,273,305,273,273,408,1310,726,1822,2004,1115,756,812,119,361,943,549,281,299,747,105,176,593,1759,450,866,272,273,866,273,273,913,273,664,879,392,273,184,906,19
"G0100690","2010",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,"Houston County, Alabama",3927,101888,99316,65136,33438,742,205,537,2572,101888,99316,2572,99301,24351,21852,8857,1284,30,10981,700,0,1123,208,73,17,252,0,573,1376,20970,12791,8758,1539,31,2285,153,25,899,120,26,77,292,0,384,7280,39945,29350,23173,2679,1399,1176,425,498,4539,1033,496,180,823,664,117,1226,6056,14035,2770,52,0,2718,0,0,11218,0,2347,2891,1312,0,358,4310,47,"Houston County, Alabama",-1,0,442,1823,1768,311,208,221,442,0,442,442,1313,885,932,1144,487,37,1027,310,273,303,139,118,27,143,273,229,568,668,1059,1027,514,38,505,137,42,382,86,42,68,225,273,221,1107,591,924,989,415,382,324,184,243,599,328,206,237,241,278,77,327,784,664,508,70,273,511,273,273,803,273,504,440,306,273,156,617,75
"G0100730","2010",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,"Jefferson County, Alabama",8486,658555,630205,492796,133965,3444,420,3024,28350,658555,630205,28350,649986,153513,136133,71670,5840,538,56488,1597,0,8079,2748,0,275,881,0,4175,9301,157225,108440,80235,10762,537,15967,817,122,6644,2158,85,979,339,0,3083,42141,255531,189450,150798,14103,5824,13256,1967,3502,25893,6700,1443,1143,5172,952,1395,9088,40188,83717,21703,1392,126,20185,0,0,61824,169,16977,16650,7075,0,1727,19226,190,"Jefferson County, Alabama",-1,0,2254,7079,7191,864,351,853,2254,0,2254,2254,2152,989,3314,4075,1441,566,4183,1040,273,1812,947,273,325,867,273,1354,2546,1346,3739,3890,2041,458,2117,618,171,1410,785,115,567,370,273,922,3077,1753,4114,4471,2134,1492,1710,823,1007,2451,1401,661,489,1162,522,650,1373,3766,733,1712,581,145,1735,273,273,1835,159,1679,1923,1102,273,692,1992,306
"G0100770","2010",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",1265,92679,90903,64204,26182,517,0,517,1776,92679,90903,1776,92234,20184,17733,9130,1519,252,6509,323,0,802,96,0,0,57,0,649,1649,20656,15567,11856,2684,127,740,160,0,864,415,0,84,0,0,365,4225,36209,27840,21980,2643,590,1808,643,176,3386,855,263,42,757,504,50,915,4983,15185,3731,223,237,3271,0,0,11362,0,3400,2673,988,0,122,4179,92,"Lauderdale County, Alabama",-1,0,719,3717,3683,494,273,494,719,0,719,719,688,590,1308,1797,1052,412,1609,346,273,535,88,273,273,98,273,496,1095,728,1207,1348,1214,204,486,214,273,466,312,273,146,273,273,407,1090,594,1613,1918,943,411,720,379,168,1002,424,211,76,398,549,83,422,1434,595,1023,179,353,914,273,273,1003,273,922,754,467,273,181,845,150
"G0100810","2010",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,"Lee County, Alabama",2580,140780,132996,73644,57682,1670,297,1373,7784,140780,132996,7784,139206,31653,28453,15959,954,507,9847,1186,0,1817,554,0,0,239,0,1024,1383,48050,35571,26827,5772,42,1902,1010,18,2370,766,54,180,630,0,740,10109,46852,35677,30274,2268,744,964,1333,94,5148,1276,531,144,994,312,77,1814,6027,12651,2070,171,0,1899,0,0,10564,0,2534,3486,915,0,184,3445,17,"Lee County, Alabama",-1,0,1655,3544,3463,697,411,567,1655,0,1655,1655,1188,3,1228,2502,420,718,2082,772,273,714,452,273,273,270,273,591,1108,988,1985,1851,1364,70,948,452,32,687,295,95,239,464,273,361,1942,664,1577,2225,797,428,370,696,116,952,606,299,160,509,206,74,555,1384,99,564,157,273,548,273,273,568,273,652,840,411,273,163,805,26
"G0100830","2010",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,"Limestone County, Alabama",1185,83193,80539,54151,25762,626,0,626,2654,83193,80539,2654,79487,20037,17415,12291,682,185,3727,530,0,1317,708,0,0,393,0,216,1305,16283,11450,8638,1163,0,1210,439,0,789,492,0,41,205,0,51,4044,33515,24937,19765,2345,1078,1123,459,167,3604,908,442,64,405,534,163,1088,4974,9652,1892,98,0,1794,0,0,7760,0,2439,1439,704,0,285,2893,0,"Limestone County, Alabama",-1,0,612,2156,2135,370,273,370,612,0,612,612,1061,228,1128,1646,440,213,1241,472,273,675,396,273,273,572,273,178,948,933,974,1202,563,273,584,395,273,461,393,273,71,214,273,91,1141,1141,1825,1871,734,536,621,293,171,907,450,230,135,248,331,171,515,1251,693,640,127,273,628,273,273,823,273,748,594,405,273,344,840,273
"G0100890","2010",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,"Madison County, Alabama",4380,335988,316255,178807,132331,5117,479,4638,19733,335988,316255,19733,331941,79680,71434,43903,3160,0,20438,3933,0,4580,655,0,0,1600,216,2109,3666,77016,52145,40387,6303,154,3674,1479,148,4202,975,0,163,782,0,2282,20669,135084,102278,84331,7037,2447,3180,4811,472,15775,3283,536,307,1722,4203,134,5590,17031,40161,7585,1195,0,6286,44,60,32521,0,11333,5360,1538,188,489,13613,55,"Madison County, Alabama",-1,0,2207,5749,5904,1126,245,1117,2207,0,2207,2207,1616,110,1869,3316,922,273,2966,1242,273,976,407,273,273,790,348,784,1420,1821,3026,3127,1509,243,1126,675,187,1218,504,273,161,436,273,853,2632,1350,3167,3454,1314,1109,1063,1138,344,2051,1006,326,222,806,1039,133,1126,2454,870,1244,491,273,1181,72,94,1351,273,1717,1017,606,217,374,1848,90
"G0100950","2010",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,"Marshall County, Alabama",1088,93235,84913,61977,22766,170,0,170,8322,93235,84913,8322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",-1,0,1463,2649,2573,162,273,162,1463,0,1463,1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100970","2010",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,"Mobile County, Alabama",5082,413277,400295,296347,100379,3569,638,2931,12982,413277,400295,12982,410042,103232,90224,39105,9124,109,40062,1824,0,6416,1281,0,716,807,0,3612,6592,93679,60652,40552,9329,565,8509,1585,112,3463,962,239,580,265,71,1346,29564,160550,111545,88531,8649,5050,7166,1418,731,17090,3770,1035,776,3617,1601,314,5977,31915,52581,15814,671,93,15050,0,0,36597,0,9241,9220,4195,0,1023,12918,170,"Mobile County, Alabama",-1,0,1770,6099,6165,1037,548,940,1770,0,1770,1770,1011,6,2703,4213,2522,125,3837,1056,273,1822,708,273,813,646,273,1214,2233,789,2963,3272,1855,412,1436,808,136,754,384,280,322,219,121,593,2742,1150,3717,4230,1744,1278,1182,698,414,2163,1015,467,409,1048,584,250,1232,2942,752,1774,343,108,1828,273,273,1803,273,1483,1318,1093,273,409,1394,292
"G0101010","2010",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,"Montgomery County, Alabama",2873,229844,218451,160878,53840,3733,407,3326,11393,229844,218451,11393,223269,55325,48252,19906,1224,54,23560,3508,0,3735,671,0,383,496,0,2185,3338,57223,38623,26427,3269,126,6314,2194,293,3489,877,0,451,706,0,1455,15111,83709,58193,44162,4718,658,5600,2593,462,13100,2486,1006,245,2344,2226,176,4617,12416,27012,4890,154,0,4736,0,0,22122,0,6275,2324,2818,0,257,10448,0,"Montgomery County, Alabama",-1,0,1949,4057,4118,1129,294,1153,1949,0,1949,1949,2092,776,1919,2609,568,92,2559,1310,273,1508,453,273,358,444,273,1336,1581,1415,2496,2607,1185,154,1349,873,233,910,444,273,355,442,273,650,2135,1211,2774,2965,1136,412,1792,1098,406,1802,794,590,209,918,963,171,1091,1961,595,916,150,273,886,273,273,1045,273,1371,700,826,273,203,1348,273
"G0101030","2010",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,"Morgan County, Alabama",1608,119626,113727,83122,29968,637,106,531,5899,119626,113727,5899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",-1,0,1092,3205,3188,345,187,298,1092,0,1092,1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101150","2010",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,"St. Clair County, Alabama",1096,83761,81559,64845,16195,519,36,483,2202,83761,81559,2202,82082,19853,16919,9515,679,0,6309,416,0,1690,1232,0,0,0,0,458,1244,17349,12189,9555,1177,0,1418,0,39,1042,169,126,315,44,0,388,4118,34267,26519,21526,1505,594,1996,674,224,4367,1903,438,245,411,409,248,713,3381,10613,2034,0,0,2034,0,0,8579,0,1925,2698,630,0,661,2665,0,"St. Clair County, Alabama",-1,0,685,2702,2452,432,74,418,685,0,685,685,1024,1175,1353,1759,485,273,1290,497,273,1328,1284,273,273,273,273,372,639,1264,1469,1440,959,273,512,273,71,636,288,242,385,79,273,313,1106,1378,1799,2055,737,359,905,563,214,1183,984,447,251,349,407,209,424,870,1084,624,273,273,624,273,273,997,273,623,812,483,273,454,852,273
"G0101170","2010",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,"Shelby County, Alabama",2698,195828,184912,123656,59469,1787,171,1616,10916,195828,184912,10916,195514,50120,45630,31623,4255,0,9374,378,0,3246,1311,0,58,395,0,1482,1244,42339,28778,23011,3744,0,1530,493,0,2404,956,0,86,167,0,1195,11157,82569,67869,55451,8094,631,2318,821,554,6716,2608,655,165,536,328,0,2424,7984,20486,3890,428,0,3387,75,0,16106,0,5483,4572,603,0,196,5252,490,"Shelby County, Alabama",-1,0,1104,3833,3858,987,238,933,1104,0,1104,1104,381,191,1452,2463,1495,273,1732,412,273,1284,835,273,102,451,273,638,441,717,1382,1661,1018,273,625,535,273,1002,711,273,141,179,273,711,1588,1115,2033,2834,1627,414,926,581,630,1227,932,367,213,329,324,273,821,1676,839,937,363,273,917,124,273,994,273,1179,1172,383,273,167,890,601
"G0101210","2010",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,"Talladega County, Alabama",1113,82110,80987,67322,13464,201,0,201,1123,82110,80987,1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",-1,0,359,1777,1830,175,273,175,359,0,359,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101250","2010",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",2558,195036,188731,150726,37055,950,56,894,6305,195036,188731,6305,193346,42538,36419,21496,1928,225,12676,94,0,2648,660,0,498,45,0,1445,3471,63866,42604,32427,5211,201,4408,357,0,4179,2397,0,544,116,37,1085,17083,66113,49392,41335,3650,1097,2807,319,184,8217,1788,1029,425,1606,163,58,3148,8504,20829,5241,51,0,5146,44,0,15130,0,4854,3050,1891,0,0,5335,458,"Tuscaloosa County, Alabama",-1,0,1153,3813,3806,458,82,434,1153,0,1153,1153,971,359,1685,2695,788,296,2365,173,273,1173,484,273,580,76,273,736,1435,842,2490,2555,1396,256,1301,474,273,1389,1095,273,535,184,67,663,2562,578,2263,2550,1075,534,964,297,158,1551,621,376,352,835,148,97,943,1937,459,946,85,273,953,74,273,1021,273,960,731,643,273,273,1013,434
"G0101270","2010",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,"Walker County, Alabama",1001,66947,65954,54544,10967,443,0,443,993,66947,65954,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",-1,0,734,2132,2009,314,273,314,734,0,734,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200200","2010",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",3614,293227,265377,96000,161105,8272,426,7846,27850,293227,265377,27850,279745,75701,61611,32285,1791,33,19186,8316,0,7176,621,116,111,3800,0,2528,6914,68987,41069,26946,3756,133,4982,4949,303,6309,836,0,49,3364,305,1755,21609,115197,83646,68167,5260,581,4262,4005,1371,14317,2126,259,92,1927,3557,327,6029,17234,19860,4534,343,363,3828,0,0,14704,0,4563,1386,2354,0,509,5892,622,"Anchorage Municipality, Alaska",-1,0,2690,5208,5671,1688,337,1611,2690,0,2690,2690,2436,108,3025,3105,949,62,3025,1881,246,2226,716,187,182,1700,246,1202,2220,2662,3387,2841,1307,216,1542,1254,279,1958,523,246,83,1598,490,779,3000,1480,2734,3401,1320,388,1075,1086,805,2150,722,254,149,818,1124,304,1400,2018,706,1004,276,321,949,246,246,1197,246,1069,707,718,246,376,1134,456
"G0200900","2010",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",1191,98314,92561,30658,59400,2503,173,2330,5753,98314,92561,5753,92908,25322,19092,8528,539,0,4096,5929,0,3853,0,0,261,1257,0,2335,2377,24974,18194,10901,1169,0,1859,4202,63,1487,48,0,0,650,0,789,5293,36776,27055,21572,902,96,1368,2768,349,3756,579,183,0,509,788,121,1576,5965,5836,2484,715,50,1719,0,0,3158,0,1435,374,393,0,47,909,194,"Fairbanks North Star Borough, Alaska",-1,0,1569,3025,2919,811,194,774,1569,0,1569,1569,2105,151,1791,1782,724,246,1239,1455,246,1464,246,246,301,709,246,1322,1278,2084,2007,2109,737,246,901,1243,119,637,68,246,246,457,246,424,1417,932,1872,2140,463,118,859,1238,317,1060,360,298,246,327,479,139,652,1635,470,769,447,84,806,246,246,728,246,597,343,316,246,80,377,266
"G0201700","2010",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",1800,89737,87385,34684,51477,1224,40,1184,2352,89737,87385,2352,88025,26019,20958,13984,289,0,5818,867,0,1986,321,87,64,531,0,983,3075,18171,11735,8868,334,0,2180,353,0,896,200,0,167,151,0,378,5540,36908,23526,19870,1042,409,1164,764,277,5723,1336,123,152,1074,1286,102,1650,7659,6927,1300,0,0,1300,0,0,5505,0,1828,1037,628,0,328,1684,122,"Matanuska-Susitna Borough, Alaska",-1,0,879,2026,2296,499,66,502,879,0,879,879,723,107,1232,1682,240,246,1390,479,246,670,237,154,81,413,246,446,1163,642,1120,1284,262,246,688,336,246,420,237,246,210,144,246,228,966,492,1686,1782,421,287,509,324,196,1210,492,106,189,509,973,97,579,1201,474,445,246,246,445,246,246,616,246,472,431,407,246,235,535,114
"G0400010","2010",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,"Apache County, Arizona",1449,71676,70527,50574,19493,460,0,460,1149,71676,70527,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",-1,0,570,2249,2103,371,305,371,570,0,570,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0400030","2010",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,"Cochise County, Arizona",1792,131789,115570,43458,69258,2854,610,2244,16219,131789,115570,16219,124821,30398,25602,11517,1085,82,9043,3875,0,2384,296,0,0,990,0,1098,2412,23810,16170,8781,670,51,4628,2027,13,2689,267,0,247,173,95,1907,4951,48630,34021,22197,2615,648,4402,3099,1060,6655,581,213,48,573,1418,305,3517,7954,21983,5034,308,0,4678,48,0,16878,0,3997,3606,1462,0,705,7108,71,"Cochise County, Arizona",-1,0,2135,3111,2954,1144,738,843,2135,0,2135,2135,2533,627,1804,2120,681,138,1680,1438,305,1199,361,305,305,823,305,678,1388,1914,1851,1274,525,68,1185,912,25,1178,321,305,317,223,135,1050,1251,1097,1943,2321,943,322,1311,865,606,1377,579,209,81,306,593,247,1002,1566,858,1241,257,305,1247,81,305,1301,305,1110,929,523,305,335,1154,113
"G0400050","2010",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,"Coconino County, Arizona",1785,134651,126644,67572,57679,1393,0,1393,8007,134651,126644,8007,131185,31506,25170,11617,592,345,12616,0,0,2811,1617,84,141,159,0,810,3525,40618,24496,11777,4640,205,7741,133,0,3222,1986,50,104,178,0,904,12900,47086,32905,23397,3200,873,4890,89,456,4665,1807,112,297,222,686,181,1360,9516,11975,3359,0,0,3285,0,74,8497,0,2542,2220,2027,0,120,1588,119,"Coconino County, Arizona",-1,0,1475,3511,3875,785,305,785,1475,0,1475,1475,4732,252,1569,1782,394,394,1837,305,305,1248,1157,147,218,210,305,604,1026,2505,2706,1658,1001,281,1751,163,305,1394,1205,91,169,288,305,463,2169,2450,2750,2234,1075,513,1257,117,376,1353,897,134,250,174,681,193,747,1550,1138,800,305,305,789,305,86,1236,305,776,701,611,305,146,603,194
"G0400130","2010",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,"Maricopa County, Arizona",43008,3827371,3257540,1398587,1816726,42227,4848,37379,569831,3827371,3257540,569831,3794714,1007439,835289,455613,58121,2437,306590,12325,203,49815,17972,173,2096,2169,43,27362,122335,910863,612566,416318,53040,1531,133454,6893,1330,35955,15000,562,2183,1750,770,15690,262342,1418723,1049466,799003,101581,18153,109276,11847,9606,109752,34290,6181,3157,16134,5879,4042,40069,259505,457689,140105,7431,2951,129375,121,227,311474,317,83174,94583,25649,150,7258,100343,6110,"Maricopa County, Arizona",-1,0,15323,23023,18743,4073,1381,3676,15323,0,15323,15323,4638,575,9291,13745,6192,1729,12913,2949,190,4804,3043,203,1250,897,72,3407,8055,3164,8635,10736,4350,706,8009,1538,583,3508,2870,454,761,885,591,2182,8412,1854,9747,11240,5805,2345,6671,2341,1788,6310,3760,1533,821,2450,1497,1102,3609,8816,1778,5808,1924,1162,5936,150,348,6242,221,4513,5505,2598,178,1252,4281,1516
"G0400150","2010",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,"Mohave County, Arizona",2289,200181,186392,40081,143716,2595,782,1813,13789,200181,186392,13789,198223,41049,29026,10032,600,0,18236,158,0,5447,1355,0,449,0,0,3643,6576,30976,17231,9400,1154,182,6495,0,0,2603,488,0,599,0,107,1409,11142,79653,54003,33589,5484,2471,10321,865,1273,10501,4259,507,376,757,110,1200,3292,15149,46545,9744,189,0,9555,0,0,36750,58,8489,11922,2694,0,1582,12005,51,"Mohave County, Arizona",-1,0,2354,2850,3523,1651,874,1399,2354,0,2354,2354,1062,685,2766,2332,484,305,3134,271,305,2571,883,305,388,305,305,2550,1559,909,2053,1753,617,296,1479,305,305,1276,501,305,574,305,165,882,1882,931,2737,3198,1292,1082,1870,495,723,2402,1631,261,374,580,142,702,1216,1909,819,1720,205,305,1701,305,305,1905,98,1589,1752,1124,305,734,1703,87
"G0400170","2010",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,"Navajo County, Arizona",1567,107551,105610,70824,34049,737,0,737,1941,107551,105610,1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Navajo County, Arizona",-1,0,677,2872,2855,559,305,559,677,0,677,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0400190","2010",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,"Pima County, Arizona",12194,982154,857282,383609,458237,15436,1125,14311,124872,982154,857282,124872,968500,225231,188124,86299,9278,518,84164,7865,0,11102,953,143,370,1449,0,8187,26005,226721,155583,91923,15698,132,40643,6589,598,10144,2727,0,1123,418,88,5788,60994,365594,275539,194015,24180,5363,38193,8738,5050,31643,5220,2282,839,5070,2019,1584,14629,58412,150954,40322,1723,333,38056,136,74,108695,228,28716,28309,10408,0,3452,37582,1937,"Pima County, Arizona",-1,0,6129,10547,8967,2091,701,1921,6129,0,6129,6129,2595,121,4118,5054,2282,367,5593,2371,305,2466,582,169,334,822,305,2453,3937,1709,4115,4981,1933,161,3602,1574,385,1416,890,305,596,269,103,1160,3704,1530,4664,6017,2874,1194,3636,1668,1333,3012,1147,696,486,1225,921,618,2038,4631,764,2902,645,343,2960,162,123,2900,191,2406,2645,1839,305,782,2682,994
