ProvinceState,Country,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,US,2020-03-09T18:33:03,1,0,0,4.5353,114.7277
,US,2020-03-07T00:43:02,1,0,0,4.5709,-74.2973
,US,2020-03-04T13:03:13,1,0,0,36.1408,-5.3536
,US,2020-03-03T15:33:02,1,0,0,31.24,36.51
,US,2020-03-04T01:33:07,1,0,0,47.14,9.55
,US,2020-02-28T16:23:03,1,0,0,55.1694,23.8813
Tibet,US,2020-02-12T06:43:02,1,0,1,31.6927,88.0924
,US,2020-03-09T14:43:03,1,0,0,47.4116,28.3699
,US,2020-02-29T00:33:01,1,0,0,43.7333,7.4167
,US,2020-02-12T14:43:03,1,0,1,28.1667,84.25
,US,2020-03-08T09:13:16,1,0,0,-23.4425,-58.4438
,US,2020-03-09T10:43:06,1,0,0,17.9,-62.8333
,US,2020-03-06T15:43:02,1,0,0,44.0165,21.0059
,US,2020-02-08T03:43:03,1,0,1,7,81
,US,2020-03-07T02:13:09,1,0,0,8.6195,0.8248
"Bennington County, VT",US,2020-03-09T08:53:03,1,0,0,43.0279,-73.135
"Berkshire County, MA",US,2020-03-08T00:43:03,1,0,0,42.3118,-73.1822
"Carver County, MN",US,2020-03-09T08:43:02,1,0,0,44.8254,-93.7842
"Charleston County, SC",US,2020-03-07T01:53:03,1,0,0,32.7957,-79.7848
"Charlotte County, FL",US,2020-03-09T08:53:03,1,0,0,26.8946,-81.9098
"Chatham County, NC",US,2020-03-06T16:13:15,1,0,0,35.7211,-79.1781
"Cherokee County, GA",US,2020-03-09T03:53:03,1,0,0,34.2515,-84.4803
"Clark County, WA",US,2020-03-07T20:03:07,1,0,0,45.7466,-122.5194
"Collin County, TX",US,2020-03-09T18:53:13,1,0,0,33.1795,-96.493
"Davidson County, TN",US,2020-03-08T18:03:06,1,0,0,36.1343,-86.822
"Davis County, UT",US,2020-03-07T04:43:02,1,0,0,40.9629,-112.0953
"Delaware County, PA",US,2020-03-06T15:33:03,1,0,0,39.9078,-75.3879
"Douglas County, OR",US,2020-03-08T19:53:03,1,0,0,43.1261,-123.2492
"El Paso County, CO",US,2020-03-07T01:13:21,1,0,0,38.9108,-104.4723
"Fairfield County, CT",US,2020-03-08T21:23:03,1,0,0,41.256,-73.3709
"Fayette County, KY",US,2020-03-06T23:23:03,1,0,0,38.0606,-84.4803
"Fresno County, CA",US,2020-03-08T04:23:15,1,0,0,36.9859,-119.2321
"Grant County, WA",US,2020-03-09T08:43:03,1,1,0,47.1981,-119.3732
