"","country_region_code","country_region","state","county","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","fips"
"67307","US","United States","Alabama","Baldwin","2020-03-29",-47,-19,-27,-24,-32,9,1003
"68769","US","United States","Alabama","Etowah","2020-03-29",-47,-13,19,-27,-33,9,1055
"69281","US","United States","Alabama","Jefferson","2020-03-29",-48,-16,7,-43,-36,11,1073
"69736","US","United States","Alabama","Madison","2020-03-29",-46,-17,35,-39,-38,10,1089
"69964","US","United States","Alabama","Mobile","2020-03-29",-39,-11,-21,-30,-29,9,1097
"70078","US","United States","Alabama","Montgomery","2020-03-29",-44,-14,-9,-14,-34,11,1101
"70135","US","United States","Alabama","Morgan","2020-03-29",-37,-4,18,-27,-27,8,1103
"70747","US","United States","Alabama","Tuscaloosa","2020-03-29",-46,-14,-1,-29,-40,12,1125
"71075","US","United States","Alaska","Anchorage","2020-03-29",-49,-25,51,-53,-39,11,2020
"71736","US","United States","Arizona","Cochise","2020-03-29",-37,-21,-14,-23,-29,8,4003
"71793","US","United States","Arizona","Coconino","2020-03-29",-55,-24,-25,-34,-38,12,4005
"72077","US","United States","Arizona","Maricopa","2020-03-29",-40,-18,-6,-44,-33,10,4013
"72134","US","United States","Arizona","Mohave","2020-03-29",-36,-13,-13,-23,-37,9,4015
"72191","US","United States","Arizona","Navajo","2020-03-29",-29,-9,11,-12,-28,10,4017
"72248","US","United States","Arizona","Pima","2020-03-29",-43,-16,-16,-43,-36,10,4019
"72305","US","United States","Arizona","Pinal","2020-03-29",-27,-23,1,-28,-31,8,4021
"72419","US","United States","Arizona","Yavapai","2020-03-29",-40,-15,6,-27,-38,9,4025
"72476","US","United States","Arizona","Yuma","2020-03-29",-45,-21,-17,-53,-27,10,4027
"72761","US","United States","Arkansas","Benton","2020-03-29",-36,-16,56,-65,-34,9,5007
"75603","US","United States","Arkansas","Pulaski","2020-03-29",-35,-9,73,-38,-30,9,5119
"76254","US","United States","Arkansas","Washington","2020-03-29",-37,-16,37,-10,-34,8,5143
"76482","US","United States","California","Alameda","2020-03-29",-58,-27,-14,-64,-44,17,6001
"76596","US","United States","California","Butte","2020-03-29",-45,-16,-23,-45,-34,11,6007
"76767","US","United States","California","Contra Costa","2020-03-29",-48,-21,-15,-49,-41,15,6013
"76938","US","United States","California","Fresno","2020-03-29",-40,-14,-27,-43,-31,11,6019
"77052","US","United States","California","Humboldt","2020-03-29",-48,-23,-10,-48,-35,11,6023
"77109","US","United States","California","Imperial","2020-03-29",-53,-31,-65,-62,-32,16,6025
"77223","US","United States","California","Kern","2020-03-29",-43,-17,-16,-37,-30,11,6029
"77280","US","United States","California","Kings","2020-03-29",-34,-14,-12,-43,-27,10,6031
"77451","US","United States","California","Los Angeles","2020-03-29",-51,-27,-48,-54,-41,17,6037
"77508","US","United States","California","Madera","2020-03-29",-39,-25,-20,-30,-30,11,6039
"77565","US","United States","California","Marin","2020-03-29",-61,-30,-59,-61,-42,17,6041
"77736","US","United States","California","Merced","2020-03-29",-34,-18,-1,-37,-26,11,6047
"77890","US","United States","California","Monterey","2020-03-29",-46,-19,-48,-45,-43,14,6053
"78061","US","United States","California","Orange","2020-03-29",-52,-24,-31,-55,-44,17,6059
"78118","US","United States","California","Placer","2020-03-29",-52,-27,-2,-55,-44,13,6061
"78232","US","United States","California","Riverside","2020-03-29",-43,-20,-44,-41,-39,14,6065
"78289","US","United States","California","Sacramento","2020-03-29",-45,-21,-1,-57,-37,13,6067
"78403","US","United States","California","San Bernardino","2020-03-29",-45,-23,-36,-42,-34,14,6071
"78460","US","United States","California","San Diego","2020-03-29",-50,-26,-51,-64,-41,15,6073
"78517","US","United States","California","San Francisco","2020-03-29",-75,-37,-55,-66,-53,21,6075
"78574","US","United States","California","San Joaquin","2020-03-29",-41,-16,-16,-31,-30,12,6077
"78631","US","United States","California","San Luis Obispo","2020-03-29",-56,-29,-27,-58,-45,13,6079
"78688","US","United States","California","San Mateo","2020-03-29",-60,-26,-35,-83,-46,19,6081
"78745","US","United States","California","Santa Barbara","2020-03-29",-47,-17,-30,-51,-40,13,6083
"78802","US","United States","California","Santa Clara","2020-03-29",-62,-33,-22,-71,-48,17,6085
"78859","US","United States","California","Santa Cruz","2020-03-29",-55,-27,-40,-57,-41,15,6087
"78916","US","United States","California","Shasta","2020-03-29",-39,-15,-21,-22,-31,9,6089
"79030","US","United States","California","Solano","2020-03-29",-45,-21,-18,-37,-34,13,6095
"79087","US","United States","California","Sonoma","2020-03-29",-53,-22,-58,-54,-41,15,6097
"79144","US","United States","California","Stanislaus","2020-03-29",-44,-19,-12,-28,-29,11,6099
"79371","US","United States","California","Tulare","2020-03-29",-39,-13,-27,-28,-25,11,6107
"79485","US","United States","California","Ventura","2020-03-29",-46,-24,-24,-40,-39,14,6111
"79542","US","United States","California","Yolo","2020-03-29",-43,-23,2,-34,-37,13,6113
"79713","US","United States","Colorado","Adams","2020-03-29",-49,-25,-12,-30,-36,13,8001
"79827","US","United States","Colorado","Arapahoe","2020-03-29",-52,-30,14,-36,-40,14,8005
"79944","US","United States","Colorado","Boulder","2020-03-29",-59,-32,-7,-44,-47,15,8013
"80266","US","United States","Colorado","Denver","2020-03-29",-63,-25,-17,-75,-43,16,8031
"80437","US","United States","Colorado","El Paso","2020-03-29",-45,-22,-1,-55,-40,12,8041
"80875","US","United States","Colorado","Jefferson","2020-03-29",-53,-41,-3,-39,-43,14,8059
"81104","US","United States","Colorado","Larimer","2020-03-29",-53,-27,1,-38,-38,13,8069
"81332","US","United States","Colorado","Mesa","2020-03-29",-40,-21,11,-35,-35,9,8077
"81851","US","United States","Colorado","Pueblo","2020-03-29",-42,-21,-45,-32,-29,9,8101
"82225","US","United States","Colorado","Weld","2020-03-29",-42,-26,-4,-32,-33,12,8123
"82395","US","United States","Connecticut","Fairfield","2020-03-29",-61,-35,-60,-72,-44,17,9001
"82452","US","United States","Connecticut","Hartford","2020-03-29",-56,-31,-48,-61,-35,13,9003
"82566","US","United States","Connecticut","Middlesex","2020-03-29",-58,-28,-49,-60,-38,15,9007
"82623","US","United States","Connecticut","New Haven","2020-03-29",-56,-31,-52,-62,-36,14,9009
"82680","US","United States","Connecticut","New London","2020-03-29",-56,-28,-45,-67,-41,15,9011
"82794","US","United States","Connecticut","Windham","2020-03-29",-42,-27,-58,-69,-32,12,9015
"82965","US","United States","Delaware","New Castle","2020-03-29",-48,-31,5,-60,-37,13,10003
"83022","US","United States","Delaware","Sussex","2020-03-29",-46,-23,-5,-40,-36,11,10005
"83193","US","United States","Florida","Alachua","2020-03-29",-54,-26,-32,-48,-37,12,12001
"83307","US","United States","Florida","Bay","2020-03-29",-38,-16,-2,-50,-27,8,12005
"83421","US","United States","Florida","Brevard","2020-03-29",-44,-22,-26,-37,-38,11,12009
"83478","US","United States","Florida","Broward","2020-03-29",-52,-28,-62,-72,-42,16,12011
"83591","US","United States","Florida","Charlotte","2020-03-29",-49,-25,-35,-33,-40,10,12015
"83762","US","United States","Florida","Collier","2020-03-29",-56,-29,-62,-56,-44,14,12021
"83990","US","United States","Florida","Duval","2020-03-29",-36,-13,-26,-40,-33,10,12031
"84047","US","United States","Florida","Escambia","2020-03-29",-38,-10,-11,-47,-32,9,12033
"84731","US","United States","Florida","Hillsborough","2020-03-29",-52,-30,-53,-67,-42,14,12057
"84845","US","United States","Florida","Indian River","2020-03-29",-46,-29,-30,-47,-38,11,12061
"85052","US","United States","Florida","Lake","2020-03-29",-42,-24,-24,-57,-41,12,12069
"85109","US","United States","Florida","Lee","2020-03-29",-55,-28,-60,-69,-41,12,12071
"85166","US","United States","Florida","Leon","2020-03-29",-45,-22,0,-50,-36,11,12073
"85378","US","United States","Florida","Manatee","2020-03-29",-48,-22,-28,-63,-36,11,12081
"85435","US","United States","Florida","Marion","2020-03-29",-41,-21,-40,-31,-34,9,12083
"85492","US","United States","Florida","Martin","2020-03-29",-50,-28,-28,-59,-37,12,12085
"85549","US","United States","Florida","Miami-Dade","2020-03-29",-57,-35,-77,-71,-46,18,12086
"85606","US","United States","Florida","Monroe","2020-03-29",-74,-47,-76,-76,-55,15,12087
"85720","US","United States","Florida","Okaloosa","2020-03-29",-39,-14,-7,-62,-32,9,12091
"85834","US","United States","Florida","Orange","2020-03-29",-70,-42,-59,-80,-53,17,12095
"85891","US","United States","Florida","Osceola","2020-03-29",-64,-40,-49,-65,-54,18,12097
"85948","US","United States","Florida","Palm Beach","2020-03-29",-49,-23,-65,-61,-40,15,12099
"86005","US","United States","Florida","Pasco","2020-03-29",-40,-24,-10,-25,-35,11,12101
"86062","US","United States","Florida","Pinellas","2020-03-29",-51,-25,-16,-44,-39,12,12103
"86119","US","United States","Florida","Polk","2020-03-29",-40,-22,-28,-29,-38,11,12105
"86290","US","United States","Florida","Sarasota","2020-03-29",-52,-28,-59,-28,-41,11,12115
"86347","US","United States","Florida","Seminole","2020-03-29",-48,-21,-19,-74,-42,13,12117
"86404","US","United States","Florida","St. Johns","2020-03-29",-48,-13,-53,-34,-41,11,12109
"86461","US","United States","Florida","St. Lucie","2020-03-29",-40,-14,-22,-52,-34,11,12111
"86518","US","United States","Florida","Sumter","2020-03-29",-50,-21,-31,-36,-45,10,12119
"86745","US","United States","Florida","Volusia","2020-03-29",-42,-19,-10,-39,-38,10,12127
"87368","US","United States","Georgia","Bartow","2020-03-29",-42,-5,40,-25,-33,9,13015
"87539","US","United States","Georgia","Bibb","2020-03-29",-43,-16,36,-27,-32,10,13021
"88107","US","United States","Georgia","Carroll","2020-03-29",-38,-18,12,-25,-36,10,13045
"88277","US","United States","Georgia","Chatham","2020-03-29",-50,-24,-32,-48,-41,11,13051
"88504","US","United States","Georgia","Clarke","2020-03-29",-51,-24,-21,-30,-41,12,13059
"88561","US","United States","Georgia","Clayton","2020-03-29",-30,-18,15,-80,-33,11,13063
"88639","US","United States","Georgia","Cobb","2020-03-29",-49,-22,-47,-38,-41,13,13067
"88810","US","United States","Georgia","Columbia","2020-03-29",-35,-7,-20,-44,-37,11,13073
"89252","US","United States","Georgia","DeKalb","2020-03-29",-47,-26,-15,-27,-42,13,13089
"89480","US","United States","Georgia","Douglas","2020-03-29",-40,-26,-2,-28,-37,11,13097
"90105","US","United States","Georgia","Fulton","2020-03-29",-54,-26,-44,-47,-43,13,13121
"90219","US","United States","Georgia","Glynn","2020-03-29",-45,-22,-32,-39,-40,10,13127
"90447","US","United States","Georgia","Gwinnett","2020-03-29",-50,-24,-9,-42,-46,15,13135
"91831","US","United States","Georgia","Lowndes","2020-03-29",-45,-17,-13,-21,-29,8,13185
"92586","US","United States","Georgia","Muscogee","2020-03-29",-44,-8,19,-56,-29,9,13215
"93345","US","United States","Georgia","Richmond","2020-03-29",-40,-5,26,-51,-31,8,13245
"95238","US","United States","Hawaii","Hawaii","2020-03-29",-61,-47,-77,-84,-41,15,15001
"95295","US","United States","Hawaii","Honolulu","2020-03-29",-53,-32,-58,-69,-44,16,15003
"95409","US","United States","Hawaii","Maui","2020-03-29",-64,-40,-73,-85,-54,17,15009
"95523","US","United States","Idaho","Ada","2020-03-29",-49,-23,33,-54,-43,11,16001
"95580","US","United States","Idaho","Bannock","2020-03-29",-39,-24,-6,-28,-37,9,16005
"95928","US","United States","Idaho","Bonneville","2020-03-29",-38,-11,59,-21,-34,9,16019
"96038","US","United States","Idaho","Canyon","2020-03-29",-41,-15,35,-15,-37,9,16027
"96686","US","United States","Idaho","Kootenai","2020-03-29",-42,-20,26,-18,-40,10,16055
"97924","US","United States","Illinois","Champaign","2020-03-29",-54,-29,44,-48,-40,13,17019
"98266","US","United States","Illinois","Cook","2020-03-29",-58,-26,-45,-63,-45,15,17031
"98608","US","United States","Illinois","DuPage","2020-03-29",-60,-29,-42,-51,-45,15,17043
"99741","US","United States","Illinois","Kane","2020-03-29",-57,-27,-20,-46,-39,14,17089
"99969","US","United States","Illinois","Lake","2020-03-29",-57,-25,-36,-58,-41,14,17097
"100026","US","United States","Illinois","LaSalle","2020-03-29",-53,0,-62,-18,-32,11,17099
"100425","US","United States","Illinois","Madison","2020-03-29",-39,-17,58,-24,-34,10,17119
"100754","US","United States","Illinois","McHenry","2020-03-29",-54,-23,-26,-61,-38,13,17111
"100811","US","United States","Illinois","McLean","2020-03-29",-53,-28,1,-37,-41,12,17113
"101245","US","United States","Illinois","Peoria","2020-03-29",-50,-19,-16,-45,-35,11,17143
"101635","US","United States","Illinois","Rock Island","2020-03-29",-50,0,-55,-57,-36,10,17161
"101749","US","United States","Illinois","Sangamon","2020-03-29",-47,-18,31,-38,-36,10,17167
"101905","US","United States","Illinois","St. Clair","2020-03-29",-45,-13,52,-26,-34,10,17163
