"","country_region_code","country_region","state","county","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","fips"
"67281","US","United States","Alabama","Baldwin","2020-03-03",13,14,37,6,4,-2,1003
"69255","US","United States","Alabama","Jefferson","2020-03-03",19,17,65,1,2,-2,1073
"69710","US","United States","Alabama","Madison","2020-03-03",13,11,44,2,3,-2,1089
"69938","US","United States","Alabama","Mobile","2020-03-03",22,16,24,8,3,-2,1097
"70052","US","United States","Alabama","Montgomery","2020-03-03",14,8,16,-9,1,0,1101
"70109","US","United States","Alabama","Morgan","2020-03-03",18,21,35,6,3,-2,1103
"70721","US","United States","Alabama","Tuscaloosa","2020-03-03",19,13,103,5,3,-2,1125
"71049","US","United States","Alaska","Anchorage","2020-03-03",11,11,-8,5,3,0,2020
"71653","US","United States","Arizona","Apache","2020-03-03",11,16,17,16,4,-2,4001
"71710","US","United States","Arizona","Cochise","2020-03-03",4,0,-15,0,3,1,4003
"71767","US","United States","Arizona","Coconino","2020-03-03",16,22,52,12,3,-2,4005
"72051","US","United States","Arizona","Maricopa","2020-03-03",9,5,12,8,3,-1,4013
"72108","US","United States","Arizona","Mohave","2020-03-03",16,12,19,10,3,-1,4015
"72165","US","United States","Arizona","Navajo","2020-03-03",19,17,29,17,1,-2,4017
"72222","US","United States","Arizona","Pima","2020-03-03",8,12,7,0,3,0,4019
"72279","US","United States","Arizona","Pinal","2020-03-03",19,0,11,12,2,-1,4021
"72336","US","United States","Arizona","Santa Cruz","2020-03-03",-4,-2,0,13,-2,2,4023
"72393","US","United States","Arizona","Yavapai","2020-03-03",13,15,28,14,3,-1,4025
"72450","US","United States","Arizona","Yuma","2020-03-03",8,6,15,4,3,-1,4027
"72735","US","United States","Arkansas","Benton","2020-03-03",14,9,82,1,3,-1,5007
"75577","US","United States","Arkansas","Pulaski","2020-03-03",20,12,53,-4,3,-2,5119
"76228","US","United States","Arkansas","Washington","2020-03-03",19,13,90,9,2,-1,5143
"76456","US","United States","California","Alameda","2020-03-03",5,12,41,0,1,-1,6001
"76570","US","United States","California","Butte","2020-03-03",13,14,31,5,4,-2,6007
"76741","US","United States","California","Contra Costa","2020-03-03",7,11,28,0,2,-1,6013
"76912","US","United States","California","Fresno","2020-03-03",16,16,35,5,2,-2,6019
"77026","US","United States","California","Humboldt","2020-03-03",11,10,34,-15,2,-2,6023
"77083","US","United States","California","Imperial","2020-03-03",12,2,1,31,4,-2,6025
"77197","US","United States","California","Kern","2020-03-03",18,12,30,4,2,-1,6029
"77254","US","United States","California","Kings","2020-03-03",19,11,31,0,0,-2,6031
"77311","US","United States","California","Lake","2020-03-03",14,28,46,4,1,-2,6033
"77425","US","United States","California","Los Angeles","2020-03-03",8,7,32,2,3,-1,6037
"77482","US","United States","California","Madera","2020-03-03",18,-3,51,56,1,-1,6039
"77539","US","United States","California","Marin","2020-03-03",6,8,17,0,2,-1,6041
"77710","US","United States","California","Merced","2020-03-03",19,14,71,9,6,-2,6047
"77864","US","United States","California","Monterey","2020-03-03",9,12,30,7,2,-2,6053
"77978","US","United States","California","Nevada","2020-03-03",6,3,47,-37,3,-1,6057
"78035","US","United States","California","Orange","2020-03-03",7,5,26,3,3,0,6059
"78092","US","United States","California","Placer","2020-03-03",7,17,35,17,2,-1,6061
"78206","US","United States","California","Riverside","2020-03-03",10,11,20,8,3,-2,6065
"78263","US","United States","California","Sacramento","2020-03-03",12,15,38,2,3,-2,6067
"78377","US","United States","California","San Bernardino","2020-03-03",11,10,26,-1,2,-1,6071
"78434","US","United States","California","San Diego","2020-03-03",6,5,19,2,4,-1,6073
