"state","county","Grocery & pharmacy","Parks","Residential","Retail & recreation","Transit stations","Workplace"
"Alabama","Autauga",5.02,NA,-1.447,17.471,NA,3.589
"Alabama","Baldwin",19.088,37.669,-1.257,19.999,7.911,1.948
"Alabama","Barbour",-6.977,NA,NA,18.402,NA,3.679
"Alabama","Bibb",3.202,NA,NA,15.327,NA,5.522
"Alabama","Blount",2.252,NA,-0.554,13.873,NA,0.416
"Alabama","Bullock",4.349,NA,NA,NA,NA,-1.467
"Alabama","Butler",0,NA,NA,39.109,NA,-0.001
"Alabama","Calhoun",4.183,NA,-1.296,18.544,NA,0.893
"Alabama","Chambers",7.143,NA,-2.226,24.887,NA,2.673
"Alabama","Cherokee",8.277,NA,NA,12.052,NA,-2.026
"Alabama","Chilton",5.714,NA,-2.108,16.55,8.871,4.75
"Alabama","Choctaw",-4.349,NA,NA,NA,NA,6.155
"Alabama","Clarke",-2.081,NA,NA,21.557,NA,0.768
"Alabama","Clay",1.956,NA,NA,14.034,NA,4.298
"Alabama","Cleburne",-1.613,NA,NA,NA,NA,5.612
"Alabama","Coffee",6.184,NA,-1.586,32.099,NA,2.071
"Alabama","Colbert",3.839,NA,-0.56,11.299,5.316,1.321
"Alabama","Conecuh",-2.047,NA,NA,18.639,37.877,10.606
"Alabama","Coosa",NA,NA,NA,NA,NA,-1.134
"Alabama","Covington",9.312,NA,-1.868,23.624,NA,2.688
"Alabama","Crenshaw",1.585,NA,NA,33.886,NA,0.001
"Alabama","Cullman",4.15,-1.883,-0.373,13.926,13.633,1.809
"Alabama","Dale",17.892,NA,-1.508,12.996,13.56,5.919
"Alabama","Dallas",NA,NA,-3.516,5.505,2.776,30.8
"Alabama","DeKalb",0.553,NA,-1.078,14.586,NA,2.917
"Alabama","Elmore",3.698,NA,-1.605,20.082,NA,2.2
"Alabama","Escambia",9.473,NA,-2.707,31.045,NA,2.754
"Alabama","Etowah",4.837,NA,-1.411,19.938,-2.406,2.871
"Alabama","Fayette",NA,NA,NA,22.431,NA,7.407
"Alabama","Franklin",4.345,NA,0.143,26.117,NA,4.588
"Alabama","Geneva",4.563,NA,-2.537,23.922,NA,2.665
"Alabama","Greene",7.404,NA,NA,NA,14.553,-0.048
"Alabama","Hale",-16.667,NA,NA,16.362,NA,-0.001
"Alabama","Henry",2.533,NA,NA,13.824,NA,2.154
"Alabama","Houston",7.162,NA,-1.602,23.88,15.715,2.021
