"state","county","Grocery & pharmacy","Parks","Residential","Retail & recreation","Transit stations","Workplace"
"Alabama","Autauga",9.934,NA,-1.418,3.962,NA,3.978
"Alabama","Baldwin",9.708,63.47,-1.494,8.48,9.845,4.393
"Alabama","Barbour",-4.908,NA,NA,17.347,NA,5.192
"Alabama","Bibb",2.566,NA,NA,5.317,NA,2.685
"Alabama","Blount",1.515,NA,0.028,6.08,NA,0.668
"Alabama","Bullock",-6.248,NA,NA,3.393,NA,1.592
"Alabama","Butler",-0.714,NA,NA,6.154,NA,-2.191
"Alabama","Calhoun",2.677,NA,-0.571,8.939,NA,1.607
"Alabama","Chambers",1.225,NA,-1.147,13.811,NA,2.877
"Alabama","Cherokee",1.1,NA,NA,7.999,NA,1.122
"Alabama","Chilton",5.172,NA,-0.885,4.568,14.383,6.133
"Alabama","Choctaw",1.28,NA,NA,19.234,NA,6.558
"Alabama","Clarke",-9.3,NA,NA,11.661,NA,3.332
"Alabama","Clay",-5.177,NA,NA,8.749,NA,5.745
"Alabama","Cleburne",4.286,NA,NA,1.727,16.074,1.927
"Alabama","Coffee",3.777,NA,-2.455,12.316,NA,4.458
"Alabama","Colbert",5.719,-32.559,-1.748,10.739,12.841,2.618
"Alabama","Conecuh",-1.673,NA,NA,-8.514,16.454,1.516
"Alabama","Coosa",NA,NA,NA,NA,NA,-3.701
"Alabama","Covington",3.607,NA,-1.315,16.605,NA,3.33
"Alabama","Crenshaw",1.331,NA,NA,10.229,NA,-0.97
"Alabama","Cullman",2.855,14.29,-0.644,9.606,14.63,3.27
"Alabama","Dale",8.047,NA,-2.185,8.493,3.391,0
"Alabama","Dallas",NA,NA,-0.388,2.454,1.291,14.183
"Alabama","DeKalb",2.806,NA,-1.614,13.931,NA,3.68
"Alabama","Elmore",2.079,NA,-1.19,10.148,NA,0.551
"Alabama","Escambia",7.322,NA,-1.303,7.717,NA,0.832
"Alabama","Etowah",0.134,NA,-1.295,12.82,-2.322,2.066
"Alabama","Fayette",NA,NA,NA,8.697,NA,-1.333
