"","country_region_code","country_region","state","county","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","fips"
"67288","US","United States","Alabama","Baldwin","2020-03-10",11,14,60,10,4,-1,1003
"68140","US","United States","Alabama","Colbert","2020-03-10",9,6,-19,28,1,0,1033
"69262","US","United States","Alabama","Jefferson","2020-03-10",6,9,12,-1,0,0,1073
"69717","US","United States","Alabama","Madison","2020-03-10",6,7,18,-6,1,0,1089
"69945","US","United States","Alabama","Mobile","2020-03-10",11,9,15,6,1,0,1097
"70059","US","United States","Alabama","Montgomery","2020-03-10",10,8,19,-5,2,0,1101
"70116","US","United States","Alabama","Morgan","2020-03-10",12,14,32,11,-1,0,1103
"70728","US","United States","Alabama","Tuscaloosa","2020-03-10",9,9,20,7,3,0,1125
"71056","US","United States","Alaska","Anchorage","2020-03-10",12,8,8,3,-9,2,2020
"71660","US","United States","Arizona","Apache","2020-03-10",6,16,50,24,-2,1,4001
"71717","US","United States","Arizona","Cochise","2020-03-10",7,4,44,0,-1,0,4003
"71774","US","United States","Arizona","Coconino","2020-03-10",28,27,62,15,3,0,4005
"72058","US","United States","Arizona","Maricopa","2020-03-10",5,0,-1,2,-10,2,4013
"72115","US","United States","Arizona","Mohave","2020-03-10",7,5,3,3,-8,2,4015
"72172","US","United States","Arizona","Navajo","2020-03-10",15,19,39,16,-2,-1,4017
"72229","US","United States","Arizona","Pima","2020-03-10",5,8,19,-2,0,0,4019
"72286","US","United States","Arizona","Pinal","2020-03-10",12,-3,-4,10,-9,2,4021
"72343","US","United States","Arizona","Santa Cruz","2020-03-10",-2,-7,14,0,-16,1,4023
"72400","US","United States","Arizona","Yavapai","2020-03-10",7,7,-3,5,-15,3,4025
"72457","US","United States","Arizona","Yuma","2020-03-10",2,-1,-20,6,1,1,4027
"72742","US","United States","Arkansas","Benton","2020-03-10",10,10,126,-10,2,0,5007
"75584","US","United States","Arkansas","Pulaski","2020-03-10",14,11,73,-4,3,-2,5119
"75838","US","United States","Arkansas","Sebastian","2020-03-10",10,12,72,-8,2,0,5131
"76235","US","United States","Arkansas","Washington","2020-03-10",12,13,123,10,1,-1,5143
"76463","US","United States","California","Alameda","2020-03-10",-1,8,29,-15,-9,4,6001
"76577","US","United States","California","Butte","2020-03-10",5,11,41,0,3,-1,6007
"76748","US","United States","California","Contra Costa","2020-03-10",2,9,28,-12,-2,2,6013
"76919","US","United States","California","Fresno","2020-03-10",6,8,1,-5,1,0,6019
"77033","US","United States","California","Humboldt","2020-03-10",6,7,41,-21,1,-1,6023
