"","country_region_code","country_region","state","county","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","fips"
"67277","US","United States","Alabama","Baldwin","2020-02-28",13,14,66,9,2,-1,1003
"68129","US","United States","Alabama","Colbert","2020-02-28",13,5,-35,9,0,-3,1033
"68397","US","United States","Alabama","Cullman","2020-02-28",9,7,19,11,2,0,1043
"69251","US","United States","Alabama","Jefferson","2020-02-28",10,5,20,6,1,-1,1073
"69706","US","United States","Alabama","Madison","2020-02-28",6,6,6,14,2,-1,1089
"69934","US","United States","Alabama","Mobile","2020-02-28",12,7,17,7,-7,0,1097
"70048","US","United States","Alabama","Montgomery","2020-02-28",14,7,42,7,2,-2,1101
"70105","US","United States","Alabama","Morgan","2020-02-28",9,2,50,10,1,-2,1103
"70603","US","United States","Alabama","Talladega","2020-02-28",18,-2,-2,8,0,-2,1121
"70717","US","United States","Alabama","Tuscaloosa","2020-02-28",17,5,36,10,2,-3,1125
"71045","US","United States","Alaska","Anchorage","2020-02-28",13,6,17,8,5,-2,2020
"71649","US","United States","Arizona","Apache","2020-02-28",15,14,4,8,-5,-3,4001
"71706","US","United States","Arizona","Cochise","2020-02-28",6,7,8,3,7,-2,4003
"71763","US","United States","Arizona","Coconino","2020-02-28",6,13,24,-1,2,-2,4005
"72047","US","United States","Arizona","Maricopa","2020-02-28",7,2,15,10,3,-1,4013
"72104","US","United States","Arizona","Mohave","2020-02-28",8,6,-13,6,3,-1,4015
"72161","US","United States","Arizona","Navajo","2020-02-28",10,9,10,7,-2,-2,4017
"72218","US","United States","Arizona","Pima","2020-02-28",5,15,14,1,2,-1,4019
"72275","US","United States","Arizona","Pinal","2020-02-28",14,-1,4,10,1,-1,4021
"72332","US","United States","Arizona","Santa Cruz","2020-02-28",3,-5,22,15,4,-2,4023
"72389","US","United States","Arizona","Yavapai","2020-02-28",11,16,11,9,3,-1,4025
"72446","US","United States","Arizona","Yuma","2020-02-28",7,6,23,11,1,-1,4027
"72731","US","United States","Arkansas","Benton","2020-02-28",16,11,92,5,6,-4,5007
"75573","US","United States","Arkansas","Pulaski","2020-02-28",18,9,42,-2,2,-3,5119
"75827","US","United States","Arkansas","Sebastian","2020-02-28",19,16,77,8,2,-4,5131
"76224","US","United States","Arkansas","Washington","2020-02-28",14,10,85,12,3,-4,5143
"76452","US","United States","California","Alameda","2020-02-28",3,5,8,0,4,0,6001
"76566","US","United States","California","Butte","2020-02-28",8,10,22,3,6,-1,6007
"76737","US","United States","California","Contra Costa","2020-02-28",2,5,12,2,3,0,6013
"76851","US","United States","California","El Dorado","2020-02-28",5,-7,13,14,2,0,6017
"76908","US","United States","California","Fresno","2020-02-28",10,5,17,9,2,-2,6019
"77022","US","United States","California","Humboldt","2020-02-28",6,3,-4,-17,8,0,6023
"77079","US","United States","California","Imperial","2020-02-28",5,1,8,45,-12,0,6025
"77193","US","United States","California","Kern","2020-02-28",12,5,24,7,5,-2,6029
"77250","US","United States","California","Kings","2020-02-28",10,4,34,7,5,-2,6031
"77307","US","United States","California","Lake","2020-02-28",7,23,23,-4,3,-2,6033
"77421","US","United States","California","Los Angeles","2020-02-28",4,4,10,2,3,-1,6037
"77478","US","United States","California","Madera","2020-02-28",10,-5,34,57,0,-2,6039
"77535","US","United States","California","Marin","2020-02-28",2,-2,10,2,2,-1,6041
"77706","US","United States","California","Merced","2020-02-28",9,10,83,6,3,-2,6047
"77860","US","United States","California","Monterey","2020-02-28",2,6,9,6,5,-1,6053
"77974","US","United States","California","Nevada","2020-02-28",-2,1,26,-37,2,0,6057
"78031","US","United States","California","Orange","2020-02-28",3,3,10,2,3,-1,6059
"78088","US","United States","California","Placer","2020-02-28",4,13,15,18,3,0,6061
"78202","US","United States","California","Riverside","2020-02-28",7,6,8,9,3,-1,6065
"78259","US","United States","California","Sacramento","2020-02-28",5,5,15,4,3,-1,6067
"78373","US","United States","California","San Bernardino","2020-02-28",6,1,11,3,2,-2,6071
"78430","US","United States","California","San Diego","2020-02-28",3,3,7,2,5,-1,6073
"78487","US","United States","California","San Francisco","2020-02-28",-1,5,6,-2,2,0,6075
"78544","US","United States","California","San Joaquin","2020-02-28",7,6,21,8,4,-1,6077
"78601","US","United States","California","San Luis Obispo","2020-02-28",2,4,18,4,2,-1,6079
"78658","US","United States","California","San Mateo","2020-02-28",1,9,6,2,2,0,6081
"78715","US","United States","California","Santa Barbara","2020-02-28",2,2,16,4,2,-1,6083
"78772","US","United States","California","Santa Clara","2020-02-28",2,6,10,-4,4,0,6085
"78829","US","United States","California","Santa Cruz","2020-02-28",4,5,10,8,3,-1,6087
"78886","US","United States","California","Shasta","2020-02-28",10,7,39,7,2,-1,6089
