"","country_region_code","country_region","state","county","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","fips"
"67282","US","United States","Alabama","Baldwin","2020-03-04",4,6,6,2,3,1,1003
"68402","US","United States","Alabama","Cullman","2020-03-04",7,6,2,-4,1,0,1043
"69256","US","United States","Alabama","Jefferson","2020-03-04",3,-2,-36,-5,0,1,1073
"69711","US","United States","Alabama","Madison","2020-03-04",8,6,5,7,4,0,1089
"69939","US","United States","Alabama","Mobile","2020-03-04",6,1,-23,1,0,1,1097
"70053","US","United States","Alabama","Montgomery","2020-03-04",3,-5,-16,-9,-2,2,1101
"70110","US","United States","Alabama","Morgan","2020-03-04",11,13,18,9,2,-1,1103
"70722","US","United States","Alabama","Tuscaloosa","2020-03-04",6,1,-13,0,0,2,1125
"71050","US","United States","Alaska","Anchorage","2020-03-04",9,9,3,7,3,-1,2020
"71654","US","United States","Arizona","Apache","2020-03-04",22,15,34,16,3,-2,4001
"71711","US","United States","Arizona","Cochise","2020-03-04",9,7,11,4,4,-1,4003
"71768","US","United States","Arizona","Coconino","2020-03-04",17,18,61,11,4,-2,4005
"72052","US","United States","Arizona","Maricopa","2020-03-04",8,6,12,8,3,-1,4013
"72109","US","United States","Arizona","Mohave","2020-03-04",12,13,30,12,2,-1,4015
"72166","US","United States","Arizona","Navajo","2020-03-04",14,15,26,9,3,-3,4017
"72223","US","United States","Arizona","Pima","2020-03-04",8,13,20,1,2,-1,4019
"72280","US","United States","Arizona","Pinal","2020-03-04",19,4,17,9,2,-1,4021
"72337","US","United States","Arizona","Santa Cruz","2020-03-04",7,5,21,10,0,-1,4023
"72394","US","United States","Arizona","Yavapai","2020-03-04",8,18,30,12,4,-1,4025
"72451","US","United States","Arizona","Yuma","2020-03-04",6,8,16,19,2,-1,4027
"72736","US","United States","Arkansas","Benton","2020-03-04",11,9,67,2,6,-1,5007
"75578","US","United States","Arkansas","Pulaski","2020-03-04",15,9,37,-8,3,-2,5119
"76229","US","United States","Arkansas","Washington","2020-03-04",12,13,67,19,5,-1,5143
"76457","US","United States","California","Alameda","2020-03-04",1,6,23,-3,1,0,6001
"76571","US","United States","California","Butte","2020-03-04",9,10,40,-14,3,-1,6007
"76742","US","United States","California","Contra Costa","2020-03-04",3,7,21,-4,2,0,6013
"76856","US","United States","California","El Dorado","2020-03-04",4,-4,22,10,3,0,6017
"76913","US","United States","California","Fresno","2020-03-04",13,12,24,3,1,-1,6019
"77027","US","United States","California","Humboldt","2020-03-04",7,6,27,-12,2,-1,6023
"77084","US","United States","California","Imperial","2020-03-04",12,1,2,40,2,-2,6025
"77198","US","United States","California","Kern","2020-03-04",13,9,24,3,2,-1,6029
"77255","US","United States","California","Kings","2020-03-04",14,5,16,-1,2,-1,6031
"77312","US","United States","California","Lake","2020-03-04",10,22,43,-6,1,-1,6033
"77426","US","United States","California","Los Angeles","2020-03-04",4,6,9,-1,2,0,6037
"77483","US","United States","California","Madera","2020-03-04",15,2,35,44,0,0,6039
"77540","US","United States","California","Marin","2020-03-04",1,6,10,-1,1,0,6041
"77711","US","United States","California","Merced","2020-03-04",12,13,64,7,6,-2,6047
"77865","US","United States","California","Monterey","2020-03-04",7,7,19,4,2,-1,6053
"77979","US","United States","California","Nevada","2020-03-04",3,3,46,-35,2,0,6057
"78036","US","United States","California","Orange","2020-03-04",2,3,11,-2,2,0,6059
"78093","US","United States","California","Placer","2020-03-04",3,12,27,8,1,0,6061
"78207","US","United States","California","Riverside","2020-03-04",7,8,13,4,2,-1,6065
"78264","US","United States","California","Sacramento","2020-03-04",5,11,32,-3,2,-1,6067
"78378","US","United States","California","San Bernardino","2020-03-04",8,7,20,0,2,-1,6071
"78435","US","United States","California","San Diego","2020-03-04",3,2,14,0,3,0,6073
"78492","US","United States","California","San Francisco","2020-03-04",-4,5,0,-4,-2,2,6075
"78549","US","United States","California","San Joaquin","2020-03-04",10,9,30,-2,3,-1,6077
"78606","US","United States","California","San Luis Obispo","2020-03-04",2,4,12,1,3,0,6079
"78663","US","United States","California","San Mateo","2020-03-04",0,6,26,-10,0,1,6081
"78720","US","United States","California","Santa Barbara","2020-03-04",4,6,14,-2,1,-1,6083
"78777","US","United States","California","Santa Clara","2020-03-04",-1,5,35,-7,2,1,6085
"78834","US","United States","California","Santa Cruz","2020-03-04",4,10,18,2,3,0,6087
"78891","US","United States","California","Shasta","2020-03-04",10,13,59,4,4,-2,6089
"79005","US","United States","California","Solano","2020-03-04",4,6,22,3,2,-1,6095
"79062","US","United States","California","Sonoma","2020-03-04",3,7,26,-1,2,-1,6097
"79119","US","United States","California","Stanislaus","2020-03-04",9,7,34,5,2,-1,6099
"79346","US","United States","California","Tulare","2020-03-04",14,10,39,11,1,-1,6107
"79460","US","United States","California","Ventura","2020-03-04",4,-4,5,4,2,0,6111
"79517","US","United States","California","Yolo","2020-03-04",6,2,43,6,2,-1,6113
"79574","US","United States","California","Yuba","2020-03-04",15,12,38,4,0,-1,6115
"79688","US","United States","Colorado","Adams","2020-03-04",4,13,15,6,3,-1,8001
"79802","US","United States","Colorado","Arapahoe","2020-03-04",7,3,30,8,3,-1,8005
"79919","US","United States","Colorado","Boulder","2020-03-04",4,7,22,7,2,0,8013
"79976","US","United States","Colorado","Broomfield","2020-03-04",17,2,26,9,3,-1,8014
"80241","US","United States","Colorado","Denver","2020-03-04",5,12,28,-3,2,-1,8031
"80298","US","United States","Colorado","Douglas","2020-03-04",5,9,28,9,2,-1,8035
"80355","US","United States","Colorado","Eagle","2020-03-04",1,0,22,3,1,-1,8037
"80412","US","United States","Colorado","El Paso","2020-03-04",9,10,26,6,3,-1,8041
"80583","US","United States","Colorado","Garfield","2020-03-04",10,7,30,17,6,-2,8045
"80850","US","United States","Colorado","Jefferson","2020-03-04",9,-3,21,7,2,-1,8059
"81079","US","United States","Colorado","Larimer","2020-03-04",7,11,35,4,2,-1,8069
"81307","US","United States","Colorado","Mesa","2020-03-04",16,10,60,24,3,-2,8077
"81826","US","United States","Colorado","Pueblo","2020-03-04",14,8,22,10,3,-2,8101
"82200","US","United States","Colorado","Weld","2020-03-04",7,8,41,8,3,-1,8123
"82370","US","United States","Connecticut","Fairfield","2020-03-04",5,9,28,-2,1,-1,9001
"82427","US","United States","Connecticut","Hartford","2020-03-04",8,9,25,5,2,-1,9003
"82541","US","United States","Connecticut","Middlesex","2020-03-04",9,5,16,-21,3,-1,9007
"82598","US","United States","Connecticut","New Haven","2020-03-04",8,8,17,11,2,-1,9009
"82655","US","United States","Connecticut","New London","2020-03-04",3,6,18,3,5,-1,9011
"82712","US","United States","Connecticut","Tolland","2020-03-04",5,6,22,-10,3,0,9013
"82769","US","United States","Connecticut","Windham","2020-03-04",13,0,16,2,3,-1,9015
"82883","US","United States","Delaware","Kent","2020-03-04",13,1,20,-7,0,-1,10001
"82940","US","United States","Delaware","New Castle","2020-03-04",8,6,36,7,1,-1,10003
"82997","US","United States","Delaware","Sussex","2020-03-04",14,4,51,11,3,-1,10005
"83168","US","United States","Florida","Alachua","2020-03-04",4,1,18,-10,-5,0,12001
"83282","US","United States","Florida","Bay","2020-03-04",12,4,-1,13,4,-1,12005
"83396","US","United States","Florida","Brevard","2020-03-04",8,7,23,16,1,-1,12009
"83453","US","United States","Florida","Broward","2020-03-04",5,5,6,-2,1,0,12011
"83566","US","United States","Florida","Charlotte","2020-03-04",9,9,16,18,0,0,12015
"83737","US","United States","Florida","Collier","2020-03-04",5,6,0,-4,1,0,12021
"83965","US","United States","Florida","Duval","2020-03-04",7,7,23,4,2,0,12031
"84022","US","United States","Florida","Escambia","2020-03-04",8,3,-9,7,2,1,12033
"84592","US","United States","Florida","Hernando","2020-03-04",7,11,28,-11,3,-1,12053
"84706","US","United States","Florida","Hillsborough","2020-03-04",7,8,16,6,1,0,12057
"84820","US","United States","Florida","Indian River","2020-03-04",2,10,16,-7,1,0,12061
"85027","US","United States","Florida","Lake","2020-03-04",10,3,18,3,2,0,12069
"85084","US","United States","Florida","Lee","2020-03-04",8,6,11,10,1,0,12071
"85141","US","United States","Florida","Leon","2020-03-04",6,4,-15,-9,1,0,12073
"85353","US","United States","Florida","Manatee","2020-03-04",7,8,23,8,1,0,12081
"85410","US","United States","Florida","Marion","2020-03-04",9,5,21,31,3,0,12083
"85467","US","United States","Florida","Martin","2020-03-04",8,-3,23,2,3,0,12085
"85524","US","United States","Florida","Miami-Dade","2020-03-04",3,5,-1,-3,3,0,12086
"85581","US","United States","Florida","Monroe","2020-03-04",3,9,13,2,2,0,12087
"85638","US","United States","Florida","Nassau","2020-03-04",8,5,6,-8,5,0,12089
"85695","US","United States","Florida","Okaloosa","2020-03-04",7,2,4,6,3,0,12091
"85752","US","United States","Florida","Okeechobee","2020-03-04",20,7,3,-9,0,0,12093
"85809","US","United States","Florida","Orange","2020-03-04",4,5,12,0,2,-1,12095
"85866","US","United States","Florida","Osceola","2020-03-04",9,11,6,3,1,-1,12097
"85923","US","United States","Florida","Palm Beach","2020-03-04",3,5,4,3,0,0,12099
"85980","US","United States","Florida","Pasco","2020-03-04",10,3,7,9,2,-1,12101
"86037","US","United States","Florida","Pinellas","2020-03-04",8,9,38,14,2,-1,12103
"86094","US","United States","Florida","Polk","2020-03-04",11,11,4,5,3,-1,12105
"86265","US","United States","Florida","Sarasota","2020-03-04",6,6,28,6,1,0,12115
"86322","US","United States","Florida","Seminole","2020-03-04",6,8,28,44,1,0,12117
"86379","US","United States","Florida","St. Johns","2020-03-04",9,27,39,4,1,0,12109
"86436","US","United States","Florida","St. Lucie","2020-03-04",12,8,11,3,2,0,12111
"86493","US","United States","Florida","Sumter","2020-03-04",9,6,-9,5,-1,0,12119
"86720","US","United States","Florida","Volusia","2020-03-04",15,6,35,5,2,0,12127
"86834","US","United States","Florida","Walton","2020-03-04",10,3,0,2,3,0,12131
"87343","US","United States","Georgia","Bartow","2020-03-04",8,15,-16,-5,2,0,13015
"87514","US","United States","Georgia","Bibb","2020-03-04",8,1,-28,10,-1,1,13021
"87969","US","United States","Georgia","Camden","2020-03-04",10,8,-3,17,1,1,13039
"88082","US","United States","Georgia","Carroll","2020-03-04",12,0,-9,-3,2,2,13045
"88252","US","United States","Georgia","Chatham","2020-03-04",-3,-7,-28,-8,0,4,13051
"88479","US","United States","Georgia","Clarke","2020-03-04",6,-1,-35,-3,1,1,13059
"88536","US","United States","Georgia","Clayton","2020-03-04",8,-5,-10,-3,-1,1,13063
"88614","US","United States","Georgia","Cobb","2020-03-04",1,6,-31,-3,0,1,13067
"88785","US","United States","Georgia","Columbia","2020-03-04",2,3,-31,0,0,1,13073
"89227","US","United States","Georgia","DeKalb","2020-03-04",1,-4,-24,-8,-1,2,13089
"89455","US","United States","Georgia","Douglas","2020-03-04",4,-2,-30,8,0,0,13097
"90080","US","United States","Georgia","Fulton","2020-03-04",-2,-4,-23,-2,-1,1,13121
"90194","US","United States","Georgia","Glynn","2020-03-04",9,25,-5,-3,0,2,13127
"90422","US","United States","Georgia","Gwinnett","2020-03-04",1,4,-35,-8,0,2,13135
"90640","US","United States","Georgia","Haralson","2020-03-04",11,1,0,4,-1,3,13143
"91806","US","United States","Georgia","Lowndes","2020-03-04",16,6,0,0,1,2,13185
"92561","US","United States","Georgia","Muscogee","2020-03-04",4,2,-41,-16,-1,2,13215
"93320","US","United States","Georgia","Richmond","2020-03-04",8,5,-26,7,-1,1,13245
"95213","US","United States","Hawaii","Hawaii","2020-03-04",0,2,0,-4,0,1,15001
"95270","US","United States","Hawaii","Honolulu","2020-03-04",-2,2,6,-8,1,0,15003
"95327","US","United States","Hawaii","Kauai","2020-03-04",5,-2,10,0,2,0,15007
"95384","US","United States","Hawaii","Maui","2020-03-04",-1,-2,2,-6,1,0,15009
"95498","US","United States","Idaho","Ada","2020-03-04",6,15,51,3,4,-1,16001
"95903","US","United States","Idaho","Bonneville","2020-03-04",9,16,10,1,3,-1,16019
"96013","US","United States","Idaho","Canyon","2020-03-04",12,15,50,-2,3,-2,16027
"96661","US","United States","Idaho","Kootenai","2020-03-04",6,9,71,15,3,-1,16055
"97899","US","United States","Illinois","Champaign","2020-03-04",13,9,44,6,2,-2,17019
"98241","US","United States","Illinois","Cook","2020-03-04",8,8,22,2,1,-1,17031
"98583","US","United States","Illinois","DuPage","2020-03-04",6,11,21,-5,1,0,17043
"99716","US","United States","Illinois","Kane","2020-03-04",6,6,32,6,1,-1,17089
"99944","US","United States","Illinois","Lake","2020-03-04",6,17,18,3,1,0,17097
"100400","US","United States","Illinois","Madison","2020-03-04",11,3,34,7,2,-1,17119
"100729","US","United States","Illinois","McHenry","2020-03-04",7,12,29,4,2,-1,17111
"100786","US","United States","Illinois","McLean","2020-03-04",9,10,6,12,2,-1,17113
"101220","US","United States","Illinois","Peoria","2020-03-04",15,12,31,15,2,-1,17143
"101610","US","United States","Illinois","Rock Island","2020-03-04",10,17,21,8,2,-2,17161
"101724","US","United States","Illinois","Sangamon","2020-03-04",15,16,65,3,2,-1,17167
"101880","US","United States","Illinois","St. Clair","2020-03-04",17,5,64,13,3,-2,17163
"102526","US","United States","Illinois","Will","2020-03-04",6,10,40,0,2,-1,17197
"102640","US","United States","Illinois","Winnebago","2020-03-04",16,7,30,8,4,-1,17201
"102868","US","United States","Indiana","Allen","2020-03-04",13,2,22,11,2,-1,18003
"103307","US","United States","Indiana","Clark","2020-03-04",15,22,77,0,3,-1,18019
"105302","US","United States","Indiana","Lake","2020-03-04",14,4,29,9,2,-1,18089
"105359","US","United States","Indiana","LaPorte","2020-03-04",19,8,20,10,0,0,18091
"105530","US","United States","Indiana","Marion","2020-03-04",14,8,38,8,1,-1,18097
"106350","US","United States","Indiana","Porter","2020-03-04",8,4,59,0,1,-1,18127
"106919","US","United States","Indiana","St. Joseph","2020-03-04",16,6,47,16,1,-1,18141
"109573","US","United States","Iowa","Dubuque","2020-03-04",6,29,15,-28,2,-2,19061
"110959","US","United States","Iowa","Linn","2020-03-04",7,26,61,4,2,-1,19113
"111980","US","United States","Iowa","Polk","2020-03-04",6,24,83,13,3,-2,19153
"112191","US","United States","Iowa","Scott","2020-03-04",15,9,54,-32,1,-1,19163
"113997","US","United States","Kansas","Douglas","2020-03-04",20,16,68,14,5,-2,20045
"114643","US","United States","Kansas","Johnson","2020-03-04",7,7,101,7,4,-2,20091
"115946","US","United States","Kansas","Sedgwick","2020-03-04",12,10,45,8,5,-2,20173
"116060","US","United States","Kansas","Shawnee","2020-03-04",16,13,71,50,4,-3,20177
"116442","US","United States","Kansas","Wyandotte","2020-03-04",12,25,49,12,6,-3,20209
"116920","US","United States","Kentucky","Boone","2020-03-04",13,8,42,6,2,-1,21015
"118136","US","United States","Kentucky","Fayette","2020-03-04",9,17,53,11,1,-1,21067
"119259","US","United States","Kentucky","Jefferson","2020-03-04",10,20,64,9,2,-1,21111
"119613","US","United States","Kentucky","Laurel","2020-03-04",20,12,29,4,2,-1,21125
"122819","US","United States","Louisiana","Caddo","2020-03-04",4,3,-17,-7,-2,1,22017
"122876","US","United States","Louisiana","Calcasieu","2020-03-04",7,1,-9,-4,0,1,22019
"123258","US","United States","Louisiana","East Baton Rouge","2020-03-04",4,3,-9,5,1,1,22033
"123769","US","United States","Louisiana","Jefferson","2020-03-04",8,5,13,18,2,0,22051
"123882","US","United States","Louisiana","Lafayette","2020-03-04",4,0,-22,2,2,1,22055
"124053","US","United States","Louisiana","Livingston","2020-03-04",4,2,-20,1,2,1,22063
"124281","US","United States","Louisiana","Orleans","2020-03-04",8,9,5,0,0,0,22071
"124338","US","United States","Louisiana","Ouachita","2020-03-04",8,-1,-20,2,0,0,22073
"124918","US","United States","Louisiana","St. John the Baptist","2020-03-04",14,2,-38,-13,2,0,22095
"125146","US","United States","Louisiana","St. Tammany","2020-03-04",7,6,-8,-5,1,1,22103
"125260","US","United States","Louisiana","Terrebonne","2020-03-04",10,8,-2,-12,1,0,22109
"125998","US","United States","Maine","Cumberland","2020-03-04",5,4,6,2,2,0,23005
"126169","US","United States","Maine","Kennebec","2020-03-04",11,0,-12,15,4,0,23011
"126397","US","United States","Maine","Penobscot","2020-03-04",8,1,-4,18,1,1,23019
"126739","US","United States","Maine","York","2020-03-04",5,4,25,6,2,0,23031
"126910","US","United States","Maryland","Anne Arundel","2020-03-04",5,2,58,4,3,-1,24003
"126967","US","United States","Maryland","Baltimore","2020-03-04",13,7,51,4,2,-1,24005
"127024","US","United States","Maryland","Baltimore","2020-03-04",8,6,60,4,3,-1,24005
"127195","US","United States","Maryland","Carroll","2020-03-04",5,-2,56,-5,3,-1,24013
"127423","US","United States","Maryland","Frederick","2020-03-04",6,4,52,-6,3,-1,24021
"127537","US","United States","Maryland","Harford","2020-03-04",8,4,62,15,2,-1,24025
"127594","US","United States","Maryland","Howard","2020-03-04",2,-1,64,1,3,-1,24027
"127708","US","United States","Maryland","Montgomery","2020-03-04",4,5,58,1,3,-1,24031
"127765","US","United States","Maryland","Prince George's","2020-03-04",8,4,62,3,3,-2,24033
"128050","US","United States","Maryland","Washington","2020-03-04",12,3,63,-1,3,-1,24043
"128278","US","United States","Massachusetts","Barnstable","2020-03-04",3,5,11,2,2,-1,25001
"128335","US","United States","Massachusetts","Berkshire","2020-03-04",5,0,-4,1,2,0,25003
"128392","US","United States","Massachusetts","Bristol","2020-03-04",8,6,-1,5,3,0,25005
"128506","US","United States","Massachusetts","Essex","2020-03-04",7,2,1,-1,2,0,25009
"128620","US","United States","Massachusetts","Hampden","2020-03-04",12,5,20,8,2,-1,25013
"128734","US","United States","Massachusetts","Middlesex","2020-03-04",2,1,7,-3,2,0,25017
"128848","US","United States","Massachusetts","Norfolk","2020-03-04",5,4,8,-3,2,0,25021
"128905","US","United States","Massachusetts","Plymouth","2020-03-04",4,3,21,-5,2,0,25023
"128962","US","United States","Massachusetts","Suffolk","2020-03-04",0,2,1,-2,0,0,25025
"129019","US","United States","Massachusetts","Worcester","2020-03-04",6,3,-4,3,2,0,25027
"129641","US","United States","Michigan","Berrien","2020-03-04",19,13,38,9,1,-1,26021
"129755","US","United States","Michigan","Calhoun","2020-03-04",15,9,33,6,3,-1,26025
"130439","US","United States","Michigan","Genesee","2020-03-04",18,6,13,19,2,-2,26049
"130610","US","United States","Michigan","Grand Traverse","2020-03-04",9,3,19,1,3,-1,26055
"130895","US","United States","Michigan","Ingham","2020-03-04",8,5,27,0,0,0,26065
"131236","US","United States","Michigan","Kalamazoo","2020-03-04",10,8,30,4,-2,0,26077
"131350","US","United States","Michigan","Kent","2020-03-04",10,6,39,7,1,-1,26081
"131742","US","United States","Michigan","Macomb","2020-03-04",10,7,44,14,1,-1,26099
"132192","US","United States","Michigan","Monroe","2020-03-04",14,4,23,6,4,-1,26115
"132476","US","United States","Michigan","Oakland","2020-03-04",7,2,18,12,1,-1,26125
"132811","US","United States","Michigan","Ottawa","2020-03-04",11,2,38,16,0,0,26139
"133182","US","United States","Michigan","St. Clair","2020-03-04",12,1,23,7,4,-1,26147
"133410","US","United States","Michigan","Washtenaw","2020-03-04",4,-12,13,-8,-5,1,26161
"133467","US","United States","Michigan","Wayne","2020-03-04",15,7,26,10,2,-1,26163
"133695","US","United States","Minnesota","Anoka","2020-03-04",6,7,15,0,3,0,27003
"134566","US","United States","Minnesota","Dakota","2020-03-04",6,3,18,-4,2,-1,27037
"135004","US","United States","Minnesota","Hennepin","2020-03-04",7,4,7,6,1,0,27053
"136365","US","United States","Minnesota","Olmsted","2020-03-04",1,7,23,-6,1,0,27109
"136749","US","United States","Minnesota","Ramsey","2020-03-04",7,11,10,5,3,-1,27123
"137250","US","United States","Minnesota","St. Louis","2020-03-04",8,6,9,5,1,0,27137
"137307","US","United States","Minnesota","Stearns","2020-03-04",7,4,-45,-30,-5,0,27145
"137748","US","United States","Minnesota","Washington","2020-03-04",7,4,12,9,2,-1,27163
"138889","US","United States","Mississippi","DeSoto","2020-03-04",12,15,31,1,2,-1,28033
"139230","US","United States","Mississippi","Harrison","2020-03-04",12,6,-4,10,0,0,28047
"139287","US","United States","Mississippi","Hinds","2020-03-04",12,3,-24,4,-3,2,28049
"139494","US","United States","Mississippi","Jackson","2020-03-04",12,2,-15,17,0,1,28059
"139866","US","United States","Mississippi","Lauderdale","2020-03-04",6,-3,-8,0,-3,1,28075
"140264","US","United States","Mississippi","Madison","2020-03-04",2,-7,-20,-28,-16,4,28089
"142790","US","United States","Missouri","Boone","2020-03-04",16,7,52,6,5,-3,29019
"143452","US","United States","Missouri","Clay","2020-03-04",12,10,96,1,4,-2,29047
"144214","US","United States","Missouri","Greene","2020-03-04",18,11,38,14,6,-3,29077
"144630","US","United States","Missouri","Jackson","2020-03-04",11,11,43,10,4,-3,29095
"144687","US","United States","Missouri","Jasper","2020-03-04",25,10,30,22,5,-3,29097
"146974","US","United States","Missouri","St. Charles","2020-03-04",8,11,57,0,3,-1,29183
"147137","US","United States","Missouri","St. Louis","2020-03-04",19,7,48,7,2,-2,29189
"147194","US","United States","Missouri","St. Louis","2020-03-04",9,7,60,3,3,-1,29189
"148488","US","United States","Montana","Flathead","2020-03-04",10,2,-4,3,3,0,30029
"148545","US","United States","Montana","Gallatin","2020-03-04",5,4,-1,2,3,0,30031
"149003","US","United States","Montana","Missoula","2020-03-04",8,9,-1,0,2,0,30063
"149547","US","United States","Montana","Yellowstone","2020-03-04",9,5,2,11,2,-1,30111
"150604","US","United States","Nebraska","Douglas","2020-03-04",13,18,51,10,3,-2,31055
"151165","US","United States","Nebraska","Lancaster","2020-03-04",11,6,82,6,3,-2,31109
"151820","US","United States","Nebraska","Sarpy","2020-03-04",9,13,76,2,2,-1,31153
"152464","US","United States","Nevada","Clark","2020-03-04",6,8,10,3,1,-1,32003
"152942","US","United States","Nevada","Washoe","2020-03-04",5,14,39,1,2,-1,32031
"153341","US","United States","New Hampshire","Grafton","2020-03-04",7,2,-28,1,2,0,33009
"153398","US","United States","New Hampshire","Hillsborough","2020-03-04",4,-2,9,10,2,0,33011
"153455","US","United States","New Hampshire","Merrimack","2020-03-04",4,0,-17,0,2,1,33013
"153512","US","United States","New Hampshire","Rockingham","2020-03-04",3,3,10,14,1,0,33015
"153740","US","United States","New Jersey","Atlantic","2020-03-04",11,11,48,13,2,-1,34001
"153797","US","United States","New Jersey","Bergen","2020-03-04",3,9,36,1,2,0,34003
"153854","US","United States","New Jersey","Burlington","2020-03-04",8,5,51,5,1,-1,34005
"153911","US","United States","New Jersey","Camden","2020-03-04",12,7,53,7,1,-1,34007
"154082","US","United States","New Jersey","Essex","2020-03-04",10,7,28,0,3,-1,34013
"154139","US","United States","New Jersey","Gloucester","2020-03-04",10,6,64,11,2,-1,34015
"154196","US","United States","New Jersey","Hudson","2020-03-04",7,9,18,1,1,0,34017
"154310","US","United States","New Jersey","Mercer","2020-03-04",7,10,24,2,3,-1,34021
"154367","US","United States","New Jersey","Middlesex","2020-03-04",5,5,21,-2,2,0,34023
"154424","US","United States","New Jersey","Monmouth","2020-03-04",9,4,39,4,3,-1,34025
"154481","US","United States","New Jersey","Morris","2020-03-04",5,7,21,2,2,0,34027
"154538","US","United States","New Jersey","Ocean","2020-03-04",9,6,32,14,2,-1,34029
"154595","US","United States","New Jersey","Passaic","2020-03-04",9,7,23,4,2,-1,34031
"154652","US","United States","New Jersey","Salem","2020-03-04",18,13,30,8,2,-1,34033
"154709","US","United States","New Jersey","Somerset","2020-03-04",6,6,39,-2,2,0,34035
"154823","US","United States","New Jersey","Union","2020-03-04",9,5,39,1,2,-1,34039
"154880","US","United States","New Jersey","Warren","2020-03-04",10,1,24,3,2,0,34041
"154994","US","United States","New Mexico","Bernalillo","2020-03-04",11,15,24,8,2,-1,35001
