"","country_region_code","country_region","state","county","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","fips"
"67280","US","United States","Alabama","Baldwin","2020-03-02",7,10,27,3,4,-1,1003
"68132","US","United States","Alabama","Colbert","2020-03-02",8,-1,-42,14,2,1,1033
"68400","US","United States","Alabama","Cullman","2020-03-02",5,3,-11,7,0,3,1043
"69254","US","United States","Alabama","Jefferson","2020-03-02",4,5,-28,-4,0,1,1073
"69709","US","United States","Alabama","Madison","2020-03-02",2,3,-26,-2,2,2,1089
"69937","US","United States","Alabama","Mobile","2020-03-02",16,7,22,11,3,-2,1097
"70051","US","United States","Alabama","Montgomery","2020-03-02",10,5,-17,-11,2,-1,1101
"70108","US","United States","Alabama","Morgan","2020-03-02",7,6,0,7,1,1,1103
"70606","US","United States","Alabama","Talladega","2020-03-02",9,-6,-24,2,0,1,1121
"70720","US","United States","Alabama","Tuscaloosa","2020-03-02",7,8,-9,6,3,1,1125
"71048","US","United States","Alaska","Anchorage","2020-03-02",6,7,9,7,0,0,2020
"71652","US","United States","Arizona","Apache","2020-03-02",24,19,22,13,10,-3,4001
"71709","US","United States","Arizona","Cochise","2020-03-02",5,5,5,5,4,0,4003
"71766","US","United States","Arizona","Coconino","2020-03-02",10,11,22,6,4,-1,4005
"72050","US","United States","Arizona","Maricopa","2020-03-02",8,3,7,5,3,0,4013
"72107","US","United States","Arizona","Mohave","2020-03-02",9,5,-17,6,1,0,4015
"72164","US","United States","Arizona","Navajo","2020-03-02",13,13,6,12,3,-1,4017
"72221","US","United States","Arizona","Pima","2020-03-02",7,11,-1,-3,3,0,4019
"72278","US","United States","Arizona","Pinal","2020-03-02",17,-2,7,4,2,0,4021
"72335","US","United States","Arizona","Santa Cruz","2020-03-02",2,-3,-2,18,2,0,4023
"72392","US","United States","Arizona","Yavapai","2020-03-02",9,9,-1,2,3,1,4025
"72449","US","United States","Arizona","Yuma","2020-03-02",3,2,6,9,3,0,4027
"72734","US","United States","Arkansas","Benton","2020-03-02",8,4,38,-2,4,0,5007
"75576","US","United States","Arkansas","Pulaski","2020-03-02",14,9,19,-4,3,-1,5119
"75830","US","United States","Arkansas","Sebastian","2020-03-02",15,13,52,2,1,-1,5131
"76227","US","United States","Arkansas","Washington","2020-03-02",10,8,55,-4,2,0,5143
"76455","US","United States","California","Alameda","2020-03-02",4,7,7,-1,3,0,6001
"76569","US","United States","California","Butte","2020-03-02",8,13,16,-4,8,-1,6007
"76740","US","United States","California","Contra Costa","2020-03-02",5,9,7,2,3,-1,6013
"76911","US","United States","California","Fresno","2020-03-02",15,9,23,5,-3,0,6019
"77025","US","United States","California","Humboldt","2020-03-02",5,9,18,-16,11,-1,6023
"77082","US","United States","California","Imperial","2020-03-02",9,2,5,31,7,-1,6025
"77196","US","United States","California","Kern","2020-03-02",16,8,21,4,4,-1,6029
"77253","US","United States","California","Kings","2020-03-02",8,6,35,2,2,-2,6031
"77310","US","United States","California","Lake","2020-03-02",10,15,25,-12,1,-1,6033
"77424","US","United States","California","Los Angeles","2020-03-02",5,5,8,1,4,-1,6037
"77481","US","United States","California","Madera","2020-03-02",14,-3,34,47,8,-2,6039
"77538","US","United States","California","Marin","2020-03-02",3,-1,9,-3,2,-1,6041
"77709","US","United States","California","Merced","2020-03-02",13,8,65,4,5,-1,6047
"77863","US","United States","California","Monterey","2020-03-02",7,7,15,9,7,-1,6053
"77977","US","United States","California","Nevada","2020-03-02",3,5,10,-52,2,-1,6057
"78034","US","United States","California","Orange","2020-03-02",5,4,7,0,4,-1,6059
"78091","US","United States","California","Placer","2020-03-02",7,16,16,5,2,0,6061
"78205","US","United States","California","Riverside","2020-03-02",8,6,-3,6,5,-1,6065
"78262","US","United States","California","Sacramento","2020-03-02",7,7,11,0,4,-1,6067
"78376","US","United States","California","San Bernardino","2020-03-02",7,3,3,-4,3,0,6071
"78433","US","United States","California","San Diego","2020-03-02",3,1,-3,-3,6,-1,6073
"78490","US","United States","California","San Francisco","2020-03-02",-2,10,13,-6,0,1,6075
"78547","US","United States","California","San Joaquin","2020-03-02",12,9,21,3,9,-1,6077
"78604","US","United States","California","San Luis Obispo","2020-03-02",6,5,6,-1,3,0,6079
"78661","US","United States","California","San Mateo","2020-03-02",2,12,19,-7,2,0,6081
"78718","US","United States","California","Santa Barbara","2020-03-02",4,4,11,-2,7,-1,6083
"78775","US","United States","California","Santa Clara","2020-03-02",2,9,16,-6,3,0,6085
"78832","US","United States","California","Santa Cruz","2020-03-02",5,8,14,3,8,0,6087
"78889","US","United States","California","Shasta","2020-03-02",13,10,36,10,3,-2,6089
"79003","US","United States","California","Solano","2020-03-02",7,5,11,7,3,-1,6095
"79060","US","United States","California","Sonoma","2020-03-02",4,6,20,3,3,-1,6097
"79117","US","United States","California","Stanislaus","2020-03-02",10,8,31,5,4,-1,6099
"79344","US","United States","California","Tulare","2020-03-02",12,9,35,10,4,-1,6107
"79458","US","United States","California","Ventura","2020-03-02",5,-7,8,0,3,-1,6111
"79515","US","United States","California","Yolo","2020-03-02",4,1,11,4,4,0,6113
"79686","US","United States","Colorado","Adams","2020-03-02",3,12,7,-4,11,-1,8001
"79800","US","United States","Colorado","Arapahoe","2020-03-02",4,2,8,5,8,-1,8005
"79917","US","United States","Colorado","Boulder","2020-03-02",0,3,-11,6,10,1,8013
"79974","US","United States","Colorado","Broomfield","2020-03-02",3,12,-14,6,11,-1,8014
"80239","US","United States","Colorado","Denver","2020-03-02",4,12,9,-1,7,0,8031
"80296","US","United States","Colorado","Douglas","2020-03-02",-1,1,-3,-3,8,-1,8035
"80353","US","United States","Colorado","Eagle","2020-03-02",2,-1,11,-1,4,-1,8037
"80410","US","United States","Colorado","El Paso","2020-03-02",-1,0,-12,-1,2,3,8041
"80848","US","United States","Colorado","Jefferson","2020-03-02",6,-6,-5,2,5,0,8059
"81077","US","United States","Colorado","Larimer","2020-03-02",5,5,-6,0,6,0,8069
"81305","US","United States","Colorado","Mesa","2020-03-02",15,12,38,26,5,-2,8077
"81824","US","United States","Colorado","Pueblo","2020-03-02",13,11,14,11,4,-1,8101
"82198","US","United States","Colorado","Weld","2020-03-02",3,5,6,0,12,-1,8123
"82368","US","United States","Connecticut","Fairfield","2020-03-02",4,5,37,0,3,-1,9001
"82425","US","United States","Connecticut","Hartford","2020-03-02",9,7,32,3,4,-1,9003
"82539","US","United States","Connecticut","Middlesex","2020-03-02",7,4,33,-14,3,0,9007
