"state","county","fips","Grocery & pharmacy","Parks","Residential","Retail & recreation","Transit stations","Workplace"
"Alabama","Autauga",1001,11.583,NA,-0.884,12.146,NA,3.589
"Alabama","Baldwin",1003,19.337,62.336,-1.724,16.546,20.34,6.404
"Alabama","Barbour",1005,-7.752,NA,NA,11.459,NA,3.065
"Alabama","Bibb",1007,5.602,NA,NA,8.758,NA,1.841
"Alabama","Blount",1009,6.306,NA,0.623,2.601,NA,1.663
"Alabama","Bullock",1011,6.523,NA,NA,NA,NA,-2.937
"Alabama","Butler",1013,-0.855,NA,NA,27.227,NA,-0.71
"Alabama","Calhoun",1015,2.429,NA,-0.915,7.672,NA,0.496
"Alabama","Chambers",1017,8.095,NA,-0.114,16.29,NA,-1.778
"Alabama","Cherokee",1019,6.898,NA,NA,14.284,NA,-1.518
"Alabama","Chilton",1021,9.388,NA,-1.201,6.76,-0.001,4.5
"Alabama","Choctaw",1023,1.448,NA,NA,NA,NA,1.539
"Alabama","Clarke",1025,13.545,NA,NA,18.73,NA,-3.078
"Alabama","Clay",1027,-5.886,NA,NA,-3.509,NA,6.449
"Alabama","Cleburne",1029,0,NA,NA,NA,NA,3.743
"Alabama","Coffee",1031,10.651,NA,-1.655,24.851,NA,2.071
"Alabama","Colbert",1033,9.149,NA,0.229,7.625,15.954,2.863
"Alabama","Conecuh",1035,16.32,NA,NA,5.081,13.635,6.061
"Alabama","Coosa",1037,NA,NA,NA,NA,NA,-5.679
"Alabama","Covington",1039,14.17,NA,-2.466,19.162,NA,3.457
"Alabama","Crenshaw",1041,7.933,NA,NA,20.663,NA,0.001
"Alabama","Cullman",1043,10.98,16.985,-0.486,5.446,12.724,2.326
"Alabama","Dale",1045,7.014,NA,-0.779,9.702,8.476,1.633
"Alabama","Dallas",1047,NA,NA,-2.363,8.005,-1.589,12.886
"Alabama","DeKalb",1049,4.961,NA,-2.211,12.205,NA,4.924
"Alabama","Elmore",1051,11.088,NA,-1.436,16.179,NA,2.458
"Alabama","Escambia",1053,13.023,NA,-1.847,14.794,NA,0.785
"Alabama","Etowah",1055,7.508,NA,-1.409,11.32,-7.225,2.526
"Alabama","Fayette",1057,NA,NA,NA,-0.933,NA,-6.173
"Alabama","Franklin",1059,19.561,NA,-1.04,14.179,NA,6.689
"Alabama","Geneva",1061,1.01,NA,-2.495,10.425,NA,2.22
"Alabama","Greene",1063,7.404,NA,NA,NA,-2.927,8.65
"Alabama","Hale",1065,-23.612,NA,NA,5.453,NA,1.03
"Alabama","Henry",1067,6.33,NA,NA,4.251,NA,3.593
"Alabama","Houston",1069,8.018,NA,-1.436,16.051,7.144,2.425
"Alabama","Jackson",1071,10,NA,-1.797,10.727,NA,2.199
"Alabama","Jefferson",1073,4.452,2.855,0.022,5.528,-2.554,-0.129
