"","country_region_code","country_region","state","county","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","fips"
"67291","US","United States","Alabama","Baldwin","2020-03-13",15,38,105,19,-3,0,1003
"68143","US","United States","Alabama","Colbert","2020-03-13",11,36,-16,17,0,1,1033
"68411","US","United States","Alabama","Cullman","2020-03-13",4,39,16,12,1,0,1043
"69265","US","United States","Alabama","Jefferson","2020-03-13",0,36,-1,-6,-2,2,1073
"69720","US","United States","Alabama","Madison","2020-03-13",2,42,13,-1,0,1,1089
"69948","US","United States","Alabama","Mobile","2020-03-13",7,26,43,6,-6,1,1097
"70062","US","United States","Alabama","Montgomery","2020-03-13",5,36,18,-5,-1,0,1101
"70119","US","United States","Alabama","Morgan","2020-03-13",7,38,12,12,0,0,1103
"70617","US","United States","Alabama","Talladega","2020-03-13",8,23,-4,7,-2,0,1121
"70731","US","United States","Alabama","Tuscaloosa","2020-03-13",8,31,5,12,-1,-1,1125
"71059","US","United States","Alaska","Anchorage","2020-03-13",4,20,6,-3,-10,4,2020
"71663","US","United States","Arizona","Apache","2020-03-13",11,29,29,19,-7,2,4001
"71720","US","United States","Arizona","Cochise","2020-03-13",4,15,14,1,-1,1,4003
"71777","US","United States","Arizona","Coconino","2020-03-13",9,32,32,12,-1,1,4005
"72061","US","United States","Arizona","Maricopa","2020-03-13",0,21,-23,-9,-14,5,4013
"72118","US","United States","Arizona","Mohave","2020-03-13",4,16,-26,9,-3,2,4015
"72175","US","United States","Arizona","Navajo","2020-03-13",12,25,10,29,-5,1,4017
"72232","US","United States","Arizona","Pima","2020-03-13",0,24,-1,-12,-9,3,4019
"72289","US","United States","Arizona","Pinal","2020-03-13",9,11,-12,1,-14,4,4021
"72346","US","United States","Arizona","Santa Cruz","2020-03-13",-3,1,15,-5,-15,3,4023
