"","country_region_code","country_region","state","county","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","fips"
"67314","US","United States","Alabama","Baldwin","2020-04-05",-55,-27,-44,-39,-35,11,1003
"68776","US","United States","Alabama","Etowah","2020-04-05",-58,-22,-23,-35,-36,11,1055
"69174","US","United States","Alabama","Houston","2020-04-05",-58,-25,2,-44,-36,11,1069
"69288","US","United States","Alabama","Jefferson","2020-04-05",-56,-17,-20,-46,-42,13,1073
"69743","US","United States","Alabama","Madison","2020-04-05",-56,-28,8,-53,-43,13,1089
"69971","US","United States","Alabama","Mobile","2020-04-05",-42,-10,-30,-37,-33,11,1097
"70085","US","United States","Alabama","Montgomery","2020-04-05",-52,-17,-16,-30,-38,13,1101
"70142","US","United States","Alabama","Morgan","2020-04-05",-49,-14,-1,-32,-34,11,1103
"70754","US","United States","Alabama","Tuscaloosa","2020-04-05",-52,-18,-13,-38,-42,13,1125
"71082","US","United States","Alaska","Anchorage","2020-04-05",-44,-13,58,-51,-40,10,2020
"71743","US","United States","Arizona","Cochise","2020-04-05",-41,-22,-18,-30,-34,9,4003
"71800","US","United States","Arizona","Coconino","2020-04-05",-59,-27,-34,-36,-41,13,4005
"72084","US","United States","Arizona","Maricopa","2020-04-05",-44,-21,-26,-50,-38,11,4013
"72141","US","United States","Arizona","Mohave","2020-04-05",-39,-11,-27,-30,-39,9,4015
"72198","US","United States","Arizona","Navajo","2020-04-05",-35,-15,5,-21,-34,11,4017
"72255","US","United States","Arizona","Pima","2020-04-05",-45,-16,-27,-48,-39,11,4019
"72312","US","United States","Arizona","Pinal","2020-04-05",-31,-22,-21,-39,-33,9,4021
"72426","US","United States","Arizona","Yavapai","2020-04-05",-45,-15,-10,-30,-42,9,4025
"72483","US","United States","Arizona","Yuma","2020-04-05",-52,-24,-41,-61,-28,11,4027
"72768","US","United States","Arkansas","Benton","2020-04-05",-48,-21,-16,-74,-35,11,5007
"75610","US","United States","Arkansas","Pulaski","2020-04-05",-38,-5,34,-45,-31,9,5119
"76261","US","United States","Arkansas","Washington","2020-04-05",-45,-18,-21,-29,-36,11,5143
"76489","US","United States","California","Alameda","2020-04-05",-65,-36,-61,-72,-49,18,6001
"76603","US","United States","California","Butte","2020-04-05",-47,-23,-63,-53,-38,12,6007
"76774","US","United States","California","Contra Costa","2020-04-05",-54,-25,-53,-60,-44,17,6013
"76945","US","United States","California","Fresno","2020-04-05",-45,-16,-66,-53,-35,13,6019
"77059","US","United States","California","Humboldt","2020-04-05",-49,-25,-29,-58,-38,12,6023
"77116","US","United States","California","Imperial","2020-04-05",-57,-29,-74,-64,-35,17,6025
"77230","US","United States","California","Kern","2020-04-05",-43,-13,-27,-40,-32,11,6029
"77287","US","United States","California","Kings","2020-04-05",-36,-12,-52,-59,-28,11,6031
"77458","US","United States","California","Los Angeles","2020-04-05",-53,-27,-59,-57,-43,17,6037
"77515","US","United States","California","Madera","2020-04-05",-47,-30,-59,-28,-34,12,6039
"77572","US","United States","California","Marin","2020-04-05",-64,-38,-70,-65,-47,18,6041
"77743","US","United States","California","Merced","2020-04-05",-44,-24,-60,-48,-31,13,6047
"77897","US","United States","California","Monterey","2020-04-05",-53,-29,-79,-50,-46,16,6053
"78068","US","United States","California","Orange","2020-04-05",-55,-26,-53,-59,-46,18,6059
"78125","US","United States","California","Placer","2020-04-05",-62,-42,-69,-70,-48,15,6061
"78239","US","United States","California","Riverside","2020-04-05",-46,-21,-60,-45,-41,15,6065
"78296","US","United States","California","Sacramento","2020-04-05",-52,-27,-58,-68,-42,15,6067
"78410","US","United States","California","San Bernardino","2020-04-05",-46,-21,-49,-46,-36,14,6071
"78467","US","United States","California","San Diego","2020-04-05",-54,-28,-70,-69,-43,16,6073
"78524","US","United States","California","San Francisco","2020-04-05",-77,-41,-65,-70,-54,22,6075
"78581","US","United States","California","San Joaquin","2020-04-05",-49,-21,-58,-45,-36,14,6077
"78638","US","United States","California","San Luis Obispo","2020-04-05",-65,-39,-77,-73,-48,16,6079
"78695","US","United States","California","San Mateo","2020-04-05",-65,-32,-63,-86,-50,20,6081
"78752","US","United States","California","Santa Barbara","2020-04-05",-55,-26,-67,-63,-45,16,6083
"78809","US","United States","California","Santa Clara","2020-04-05",-68,-45,-70,-78,-52,19,6085
"78866","US","United States","California","Santa Cruz","2020-04-05",-65,-37,-75,-68,-45,18,6087
"78923","US","United States","California","Shasta","2020-04-05",-42,-11,-41,-34,-35,10,6089
"79037","US","United States","California","Solano","2020-04-05",-52,-23,-52,-48,-36,14,6095
"79094","US","United States","California","Sonoma","2020-04-05",-54,-24,-61,-55,-43,15,6097
"79151","US","United States","California","Stanislaus","2020-04-05",-53,-25,-62,-41,-35,13,6099
"79378","US","United States","California","Tulare","2020-04-05",-41,-12,-50,-33,-29,11,6107
"79492","US","United States","California","Ventura","2020-04-05",-50,-29,-56,-50,-39,15,6111
"79549","US","United States","California","Yolo","2020-04-05",-51,-28,-48,-47,-43,16,6113
"79720","US","United States","Colorado","Adams","2020-04-05",-43,-15,10,-24,-36,12,8001
"79834","US","United States","Colorado","Arapahoe","2020-04-05",-48,-25,41,-31,-42,13,8005
"79951","US","United States","Colorado","Boulder","2020-04-05",-55,-30,23,-42,-47,15,8013
"80273","US","United States","Colorado","Denver","2020-04-05",-59,-20,6,-76,-45,14,8031
"80444","US","United States","Colorado","El Paso","2020-04-05",-42,-17,20,-51,-40,11,8041
"80882","US","United States","Colorado","Jefferson","2020-04-05",-48,-34,24,-30,-44,13,8059
"81111","US","United States","Colorado","Larimer","2020-04-05",-49,-20,15,-33,-40,12,8069
"81339","US","United States","Colorado","Mesa","2020-04-05",-34,-15,46,-24,-33,7,8077
