"state","county","fips","Grocery & pharmacy","Parks","Residential","Retail & recreation","Transit stations","Workplace"
"Alabama","Autauga",1001,11.811,NA,0.594,7.436,NA,2.797
"Alabama","Baldwin",1003,10.679,25.074,-0.442,6.741,3.827,3.378
"Alabama","Barbour",1005,-16.312,NA,NA,13.694,NA,1.232
"Alabama","Bibb",1007,3.055,NA,NA,14.382,NA,1.864
"Alabama","Blount",1009,6.697,NA,1.755,7.712,NA,1.266
"Alabama","Bullock",1011,6.124,NA,NA,NA,NA,-1.488
"Alabama","Butler",1013,14.546,NA,NA,18.298,NA,-0.001
"Alabama","Calhoun",1015,2.083,NA,1.78,6.261,NA,0.403
"Alabama","Chambers",1017,8.095,NA,2.112,16.036,NA,1.826
"Alabama","Cherokee",1019,4.028,NA,NA,9.744,NA,-1.574
"Alabama","Chilton",1021,5.691,NA,1.579,9.843,6.4,2.525
"Alabama","Choctaw",1023,6.45,NA,NA,NA,NA,8.065
"Alabama","Clarke",1025,11.541,NA,NA,21.205,NA,1.573
"Alabama","Clay",1027,10.199,NA,NA,-4.688,NA,3.156
"Alabama","Cleburne",1029,1.667,NA,NA,NA,-1.998,2.782
"Alabama","Coffee",1031,3.321,NA,1.48,18.518,NA,1.88
"Alabama","Colbert",1033,5.238,-23.256,-1.696,8.859,2.967,2.246
"Alabama","Conecuh",1035,11.993,NA,NA,6.973,8.822,10.294
"Alabama","Coosa",1037,NA,NA,NA,NA,NA,2.441
"Alabama","Covington",1039,13.6,NA,1.667,16.91,NA,1.565
"Alabama","Crenshaw",1041,-2.988,NA,NA,-8.953,NA,0.971
"Alabama","Cullman",1043,6.179,-11.472,1.864,5.463,9.087,1.181
"Alabama","Dale",1045,5.421,NA,1.468,6.916,10.527,-1.025
"Alabama","Dallas",1047,NA,NA,-0.613,5.505,3.304,22.264
"Alabama","DeKalb",1049,3.478,NA,0.331,8.103,NA,2.2
"Alabama","Elmore",1051,3.087,4.259,1.613,8.187,NA,-0.392
"Alabama","Escambia",1053,8.726,NA,-0.367,12.267,NA,2.389
"Alabama","Etowah",1055,2.649,NA,1.061,7.702,-1.187,1.512
"Alabama","Fayette",1057,NA,NA,NA,10.621,NA,-3.797
"Alabama","Franklin",1059,12.854,NA,-1.58,15.05,NA,4.168
"Alabama","Geneva",1061,6.344,NA,1.396,14.44,NA,-1.82
"Alabama","Greene",1063,10.522,NA,NA,NA,0.958,4.301
"Alabama","Hale",1065,-9.092,NA,NA,3.702,NA,-1.053
"Alabama","Henry",1067,-2.437,NA,NA,0.977,NA,0.725
"Alabama","Houston",1069,4.462,-25.583,2.227,10.058,-3.999,0.308
