"","country_region_code","country_region","state","county","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","fips"
"67293","US","United States","Alabama","Baldwin","2020-03-15",16,49,84,35,6,0,1003
"68413","US","United States","Alabama","Cullman","2020-03-15",-11,21,-8,11,-4,3,1043
"68755","US","United States","Alabama","Etowah","2020-03-15",-17,9,-21,-2,-5,3,1055
"69267","US","United States","Alabama","Jefferson","2020-03-15",-16,14,-22,-11,-7,4,1073
"69722","US","United States","Alabama","Madison","2020-03-15",-18,8,-30,-23,-10,5,1089
"69950","US","United States","Alabama","Mobile","2020-03-15",0,29,32,9,0,1,1097
"70064","US","United States","Alabama","Montgomery","2020-03-15",-7,17,17,-6,-8,1,1101
"70121","US","United States","Alabama","Morgan","2020-03-15",-11,24,-11,8,-2,3,1103
"70619","US","United States","Alabama","Talladega","2020-03-15",-5,16,7,7,-4,2,1121
"70733","US","United States","Alabama","Tuscaloosa","2020-03-15",-14,7,-7,3,-9,3,1125
"71061","US","United States","Alaska","Anchorage","2020-03-15",1,16,62,7,-3,1,2020
"71722","US","United States","Arizona","Cochise","2020-03-15",7,20,21,19,-2,0,4003
"71779","US","United States","Arizona","Coconino","2020-03-15",3,24,44,17,-2,0,4005
"72063","US","United States","Arizona","Maricopa","2020-03-15",-5,14,9,-7,-4,1,4013
"72120","US","United States","Arizona","Mohave","2020-03-15",11,26,4,10,-2,0,4015
"72177","US","United States","Arizona","Navajo","2020-03-15",13,29,39,22,-4,-1,4017
"72234","US","United States","Arizona","Pima","2020-03-15",-4,20,13,-14,-6,1,4019
"72291","US","United States","Arizona","Pinal","2020-03-15",24,6,22,2,-7,0,4021
"72405","US","United States","Arizona","Yavapai","2020-03-15",3,27,25,17,-3,1,4025
"72462","US","United States","Arizona","Yuma","2020-03-15",3,21,14,5,2,0,4027
"72747","US","United States","Arkansas","Benton","2020-03-15",-9,12,-27,-28,-7,4,5007
"75589","US","United States","Arkansas","Pulaski","2020-03-15",-14,4,-21,-21,-10,4,5119
"75703","US","United States","Arkansas","Saline","2020-03-15",-8,-3,-15,6,-12,4,5125
"76240","US","United States","Arkansas","Washington","2020-03-15",-11,5,-34,-20,-6,3,5143
"76468","US","United States","California","Alameda","2020-03-15",-25,6,-41,-36,-11,8,6001
"76582","US","United States","California","Butte","2020-03-15",-10,5,-27,-30,-7,4,6007
"76753","US","United States","California","Contra Costa","2020-03-15",-17,10,-33,-28,-10,7,6013
"76924","US","United States","California","Fresno","2020-03-15",-7,20,-23,-18,-5,3,6019
"77038","US","United States","California","Humboldt","2020-03-15",-6,11,0,-28,-9,3,6023
"77095","US","United States","California","Imperial","2020-03-15",-3,8,-10,-13,-5,2,6025
"77209","US","United States","California","Kern","2020-03-15",-3,18,27,1,0,1,6029
"77266","US","United States","California","Kings","2020-03-15",-5,13,-3,-18,-6,3,6031
"77437","US","United States","California","Los Angeles","2020-03-15",-16,12,-22,-21,-9,6,6037
"77494","US","United States","California","Madera","2020-03-15",-14,3,-38,21,-6,4,6039
"77551","US","United States","California","Marin","2020-03-15",-24,5,-28,-32,-12,8,6041
"77722","US","United States","California","Merced","2020-03-15",-5,13,-30,-7,-4,4,6047
"77876","US","United States","California","Monterey","2020-03-15",-12,10,-34,-11,-10,6,6053
"77990","US","United States","California","Nevada","2020-03-15",-29,-10,-58,-64,-23,7,6057
"78047","US","United States","California","Orange","2020-03-15",-18,15,-7,-26,-10,6,6059
"78104","US","United States","California","Placer","2020-03-15",-23,-3,-50,-48,-13,6,6061
"78218","US","United States","California","Riverside","2020-03-15",-10,16,-31,-12,-7,5,6065
"78275","US","United States","California","Sacramento","2020-03-15",-15,10,-36,-29,-10,5,6067
"78389","US","United States","California","San Bernardino","2020-03-15",-10,14,-22,-13,-5,4,6071
"78446","US","United States","California","San Diego","2020-03-15",-15,7,-16,-24,-7,6,6073
"78503","US","United States","California","San Francisco","2020-03-15",-42,-1,-35,-41,-15,10,6075
"78560","US","United States","California","San Joaquin","2020-03-15",-11,15,-23,-16,-5,4,6077
"78617","US","United States","California","San Luis Obispo","2020-03-15",-17,8,-47,-27,-10,6,6079
"78674","US","United States","California","San Mateo","2020-03-15",-24,11,-32,-42,-14,9,6081
"78731","US","United States","California","Santa Barbara","2020-03-15",-16,12,-36,-26,-8,6,6083
"78788","US","United States","California","Santa Clara","2020-03-15",-31,1,-36,-42,-15,9,6085
"78845","US","United States","California","Santa Cruz","2020-03-15",-26,7,-30,-28,-10,8,6087
"78902","US","United States","California","Shasta","2020-03-15",0,11,-23,11,-7,3,6089
"79016","US","United States","California","Solano","2020-03-15",-15,11,-27,-17,-8,5,6095
"79073","US","United States","California","Sonoma","2020-03-15",-16,10,-16,-21,-6,5,6097
"79130","US","United States","California","Stanislaus","2020-03-15",-11,18,-36,-7,-7,4,6099
"79357","US","United States","California","Tulare","2020-03-15",-7,22,12,0,-4,2,6107
"79471","US","United States","California","Ventura","2020-03-15",-13,15,-16,-15,-7,6,6111
"79528","US","United States","California","Yolo","2020-03-15",-12,11,-31,-12,-7,6,6113
"79699","US","United States","Colorado","Adams","2020-03-15",-12,13,18,-3,-8,4,8001
"79813","US","United States","Colorado","Arapahoe","2020-03-15",-13,3,41,-2,-9,4,8005
"79930","US","United States","Colorado","Boulder","2020-03-15",-22,4,32,-19,-16,7,8013
"80252","US","United States","Colorado","Denver","2020-03-15",-25,17,27,-29,-9,5,8031
"80423","US","United States","Colorado","El Paso","2020-03-15",-11,14,-18,-17,-9,4,8041
"80861","US","United States","Colorado","Jefferson","2020-03-15",-14,-1,39,-6,-10,5,8059
"81090","US","United States","Colorado","Larimer","2020-03-15",-14,10,25,-4,-10,4,8069
"81318","US","United States","Colorado","Mesa","2020-03-15",2,21,52,7,-9,0,8077
"81837","US","United States","Colorado","Pueblo","2020-03-15",-8,18,-48,2,-5,3,8101
"82211","US","United States","Colorado","Weld","2020-03-15",-11,14,29,-5,-8,3,8123
"82381","US","United States","Connecticut","Fairfield","2020-03-15",-19,2,70,-25,-10,6,9001
"82438","US","United States","Connecticut","Hartford","2020-03-15",-13,4,61,-18,-6,4,9003
"82552","US","United States","Connecticut","Middlesex","2020-03-15",-8,7,79,-30,-7,4,9007
"82609","US","United States","Connecticut","New Haven","2020-03-15",-12,6,47,-16,-7,4,9009
"82666","US","United States","Connecticut","New London","2020-03-15",-12,14,43,-24,-10,4,9011
"82723","US","United States","Connecticut","Tolland","2020-03-15",-8,1,78,-2,-10,4,9013
"82780","US","United States","Connecticut","Windham","2020-03-15",-4,9,24,-29,-4,3,9015
"82951","US","United States","Delaware","New Castle","2020-03-15",-8,2,67,-17,-9,4,10003
"83008","US","United States","Delaware","Sussex","2020-03-15",2,14,21,-6,-6,3,10005
"83179","US","United States","Florida","Alachua","2020-03-15",-12,7,14,-8,-7,3,12001
"83293","US","United States","Florida","Bay","2020-03-15",19,29,84,3,10,-2,12005
"83407","US","United States","Florida","Brevard","2020-03-15",1,11,44,10,-5,2,12009
"83464","US","United States","Florida","Broward","2020-03-15",-13,10,5,-22,-6,5,12011
"83577","US","United States","Florida","Charlotte","2020-03-15",-7,15,29,8,-8,2,12015
"83748","US","United States","Florida","Collier","2020-03-15",-10,10,-3,-9,-6,3,12021
"83976","US","United States","Florida","Duval","2020-03-15",-5,8,24,-3,-5,1,12031
"84033","US","United States","Florida","Escambia","2020-03-15",3,14,104,-2,-3,0,12033
