"","country_region_code","country_region","state","county","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","fips"
"67306","US","United States","Alabama","Baldwin","2020-03-28",-43,-14,-32,-27,-23,9,1003
"69166","US","United States","Alabama","Houston","2020-03-28",-43,-6,23,-28,-19,8,1069
"69280","US","United States","Alabama","Jefferson","2020-03-28",-46,-7,35,-32,-29,11,1073
"69735","US","United States","Alabama","Madison","2020-03-28",-42,-5,58,-22,-27,10,1089
"69963","US","United States","Alabama","Mobile","2020-03-28",-35,0,-33,-24,-21,10,1097
"70077","US","United States","Alabama","Montgomery","2020-03-28",-38,-2,-7,-1,-22,10,1101
"70134","US","United States","Alabama","Morgan","2020-03-28",-33,8,51,-28,-17,8,1103
"70632","US","United States","Alabama","Talladega","2020-03-28",-25,5,36,-8,-23,7,1121
"70746","US","United States","Alabama","Tuscaloosa","2020-03-28",-38,-1,4,-24,-29,11,1125
"71074","US","United States","Alaska","Anchorage","2020-03-28",-50,-17,22,-49,-38,13,2020
"71735","US","United States","Arizona","Cochise","2020-03-28",-36,-16,-17,-23,-20,9,4003
"71792","US","United States","Arizona","Coconino","2020-03-28",-55,-25,-37,-30,-36,14,4005
"72076","US","United States","Arizona","Maricopa","2020-03-28",-41,-15,-22,-40,-29,12,4013
"72133","US","United States","Arizona","Mohave","2020-03-28",-37,-11,-26,-19,-32,9,4015
"72190","US","United States","Arizona","Navajo","2020-03-28",-31,-6,2,-7,-21,10,4017
"72247","US","United States","Arizona","Pima","2020-03-28",-43,-13,-27,-40,-32,12,4019
"72304","US","United States","Arizona","Pinal","2020-03-28",-32,-21,-21,-31,-28,10,4021
"72418","US","United States","Arizona","Yavapai","2020-03-28",-42,-10,-15,-29,-32,10,4025
"72475","US","United States","Arizona","Yuma","2020-03-28",-42,-18,-36,-48,-25,13,4027
"72760","US","United States","Arkansas","Benton","2020-03-28",-43,-16,47,-55,-26,11,5007
"75602","US","United States","Arkansas","Pulaski","2020-03-28",-46,-17,-30,-42,-27,12,5119
"75716","US","United States","Arkansas","Saline","2020-03-28",-38,-24,-52,-5,-24,12,5125
"76253","US","United States","Arkansas","Washington","2020-03-28",-45,-17,35,-34,-31,12,5143
"76310","US","United States","Arkansas","White","2020-03-28",-37,-21,-19,-14,-15,9,5145
"76481","US","United States","California","Alameda","2020-03-28",-61,-26,-49,-68,-44,20,6001
"76595","US","United States","California","Butte","2020-03-28",-46,-16,-51,-47,-34,13,6007
"76766","US","United States","California","Contra Costa","2020-03-28",-50,-18,-45,-58,-42,19,6013
"76880","US","United States","California","El Dorado","2020-03-28",-63,-38,-65,-50,-46,16,6017
"76937","US","United States","California","Fresno","2020-03-28",-40,-14,-35,-40,-27,13,6019
"77051","US","United States","California","Humboldt","2020-03-28",-52,-26,-29,-63,-35,14,6023
"77108","US","United States","California","Imperial","2020-03-28",-50,-27,-62,-61,-26,18,6025
"77222","US","United States","California","Kern","2020-03-28",-41,-14,-23,-34,-25,12,6029
"77279","US","United States","California","Kings","2020-03-28",-36,-10,-38,-48,-24,11,6031
"77450","US","United States","California","Los Angeles","2020-03-28",-50,-21,-52,-52,-39,20,6037
"77507","US","United States","California","Madera","2020-03-28",-34,-25,-22,-23,-27,12,6039
"77564","US","United States","California","Marin","2020-03-28",-62,-27,-69,-63,-47,20,6041
"77735","US","United States","California","Merced","2020-03-28",-37,-18,-20,-38,-25,13,6047
"77889","US","United States","California","Monterey","2020-03-28",-51,-22,-56,-43,-35,15,6053
"77946","US","United States","California","Napa","2020-03-28",-56,-35,-46,-45,-50,18,6055
"78003","US","United States","California","Nevada","2020-03-28",-61,-35,-65,-77,-40,15,6057
"78060","US","United States","California","Orange","2020-03-28",-52,-18,-37,-50,-39,19,6059
"78117","US","United States","California","Placer","2020-03-28",-56,-25,-46,-57,-41,16,6061
"78231","US","United States","California","Riverside","2020-03-28",-42,-17,-46,-41,-35,16,6065
"78288","US","United States","California","Sacramento","2020-03-28",-49,-18,-49,-58,-37,16,6067
"78402","US","United States","California","San Bernardino","2020-03-28",-43,-16,-34,-42,-30,16,6071
"78459","US","United States","California","San Diego","2020-03-28",-50,-22,-55,-62,-39,18,6073
"78516","US","United States","California","San Francisco","2020-03-28",-76,-32,-64,-69,-54,23,6075
"78573","US","United States","California","San Joaquin","2020-03-28",-44,-17,-45,-34,-30,15,6077
"78630","US","United States","California","San Luis Obispo","2020-03-28",-56,-27,-41,-59,-39,15,6079
"78687","US","United States","California","San Mateo","2020-03-28",-61,-24,-50,-80,-46,22,6081
"78744","US","United States","California","Santa Barbara","2020-03-28",-50,-18,-34,-51,-34,15,6083
