"","country_region_code","country_region","state","county","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","fips"
"67271","US","United States","Alabama","Baldwin","2020-02-22",15,17,56,4,4,-2,1003
"68391","US","United States","Alabama","Cullman","2020-02-22",5,4,62,6,3,-1,1043
"69245","US","United States","Alabama","Jefferson","2020-02-22",3,2,72,4,6,-1,1073
"69700","US","United States","Alabama","Madison","2020-02-22",7,2,94,11,7,-2,1089
"69928","US","United States","Alabama","Mobile","2020-02-22",14,11,90,43,4,-2,1097
"70042","US","United States","Alabama","Montgomery","2020-02-22",1,0,56,13,15,-2,1101
"70099","US","United States","Alabama","Morgan","2020-02-22",12,6,76,6,9,-2,1103
"70597","US","United States","Alabama","Talladega","2020-02-22",3,-1,12,6,7,-1,1121
"70711","US","United States","Alabama","Tuscaloosa","2020-02-22",8,5,20,7,2,-1,1125
"71039","US","United States","Alaska","Anchorage","2020-02-22",6,3,12,3,3,-1,2020
"71700","US","United States","Arizona","Cochise","2020-02-22",-2,-3,-19,-5,-4,2,4003
"71757","US","United States","Arizona","Coconino","2020-02-22",-8,-6,-39,-3,1,3,4005
"72041","US","United States","Arizona","Maricopa","2020-02-22",0,-5,-45,-6,-4,3,4013
"72098","US","United States","Arizona","Mohave","2020-02-22",-7,-6,-29,-7,-5,3,4015
"72155","US","United States","Arizona","Navajo","2020-02-22",-7,-5,-25,5,-1,3,4017
"72212","US","United States","Arizona","Pima","2020-02-22",-5,-2,-37,-8,-4,2,4019
"72269","US","United States","Arizona","Pinal","2020-02-22",2,-11,-40,-5,-5,3,4021
"72326","US","United States","Arizona","Santa Cruz","2020-02-22",-8,-12,-27,0,-1,3,4023
"72383","US","United States","Arizona","Yavapai","2020-02-22",-7,0,-52,-15,-5,4,4025
"72440","US","United States","Arizona","Yuma","2020-02-22",1,0,15,-1,-5,2,4027
"72725","US","United States","Arkansas","Benton","2020-02-22",6,5,50,-4,3,-1,5007
"75567","US","United States","Arkansas","Pulaski","2020-02-22",0,1,8,-3,5,0,5119
"75681","US","United States","Arkansas","Saline","2020-02-22",6,-9,20,-2,4,-1,5125
"76218","US","United States","Arkansas","Washington","2020-02-22",5,3,57,6,1,-1,5143
"76275","US","United States","Arkansas","White","2020-02-22",5,-2,-4,0,-1,-1,5145
"76446","US","United States","California","Alameda","2020-02-22",1,3,18,-2,4,-1,6001
"76560","US","United States","California","Butte","2020-02-22",7,5,40,7,2,-1,6007
"76731","US","United States","California","Contra Costa","2020-02-22",1,5,29,4,2,-1,6013
"76902","US","United States","California","Fresno","2020-02-22",6,1,7,1,1,0,6019
