"state","county","Grocery & pharmacy","Parks","Residential","Retail & recreation","Transit stations","Workplace"
"Alabama","Autauga",-0.386,NA,0.121,-1.663,NA,1.796
"Alabama","Baldwin",8.881,41.336,-1.01,12.402,8.476,2.805
"Alabama","Barbour",-8.14,NA,NA,1.041,NA,-0.003
"Alabama","Bibb",-3.199,NA,NA,-0.732,NA,0.001
"Alabama","Blount",2.703,NA,0.22,2.023,NA,1.04
"Alabama","Bullock",0.002,NA,NA,NA,NA,-1.467
"Alabama","Butler",-12.82,NA,NA,2.475,NA,-0.71
"Alabama","Calhoun",1.754,NA,0.105,0.277,NA,1.983
"Alabama","Chambers",-0.476,NA,0.022,2.488,NA,3.266
"Alabama","Cherokee",0.691,NA,NA,-1.787,NA,0.513
"Alabama","Chilton",-6.531,NA,0.021,-1.166,4.838,3.999
"Alabama","Choctaw",-8.697,NA,NA,NA,NA,1.539
"Alabama","Clarke",-8.331,NA,NA,-0.704,NA,2.306
"Alabama","Clay",-0.004,NA,NA,-7.018,NA,-0.003
"Alabama","Cleburne",-4.839,NA,NA,NA,NA,5.612
"Alabama","Coffee",0.342,NA,-0.575,5.326,NA,3.91
"Alabama","Colbert",2.659,NA,-0.038,1.231,1.061,-0.221
"Alabama","Conecuh",-2.047,NA,NA,-11.868,10.604,10.606
"Alabama","Coosa",NA,NA,NA,NA,NA,3.411
"Alabama","Covington",2.024,NA,0.737,4.727,NA,1.534
"Alabama","Crenshaw",-3.178,NA,NA,10.746,NA,0.001
"Alabama","Cullman",6.589,-1.883,1.018,9.526,4.541,-4.134
"Alabama","Dale",7.014,NA,0.103,-0.869,3.391,1.633
"Alabama","Dallas",NA,NA,0.397,-7.495,1.983,-10.059
"Alabama","DeKalb",-1.375,NA,-0.659,-0.146,NA,1.823
"Alabama","Elmore",0.003,NA,1.327,2.277,NA,0.647
"Alabama","Escambia",-4.136,NA,0.216,2.503,NA,3.542
"Alabama","Etowah",1.498,NA,0.427,7.474,3.618,1.723
"Alabama","Fayette",NA,NA,NA,0.936,NA,-4.938
"Alabama","Franklin",-3.624,NA,0.485,3.733,NA,2.066
"Alabama","Geneva",-2.544,NA,-1.504,5.518,NA,3.554
"Alabama","Greene",9.255,NA,NA,NA,9.698,-0.048
"Alabama","Hale",-5.557,NA,NA,-20.001,NA,-4.125
"Alabama","Henry",0.002,NA,NA,10.633,NA,3.593
"Alabama","Houston",-1.073,NA,-0.345,5.219,1.43,2.526
"Alabama","Jackson",-0.799,NA,-0.574,1.501,NA,1.71
"Alabama","Jefferson",1.446,-12.383,0.158,1.375,-0.71,0.863
"Alabama","Lamar",0.002,NA,NA,NA,NA,6.696
"Alabama","Lauderdale",2.302,NA,-0.758,5.017,NA,1.368
"Alabama","Lawrence",4.478,NA,-0.577,5.058,NA,2.383
"Alabama","Lee",0.249,NA,0.741,-0.532,NA,1.194
"Alabama","Limestone",2.722,20.682,-0.106,8.536,NA,3.751
"Alabama","Lowndes",NA,NA,NA,NA,5.264,1.373
"Alabama","Macon",17.093,NA,NA,-6.186,-12.308,-2.692
"Alabama","Madison",4.09,6.62,-0.44,3.334,2.708,-0.132
"Alabama","Marengo",NA,NA,NA,-2.828,3.132,2.892
"Alabama","Marion",-12.969,NA,NA,3.838,NA,2.534
"Alabama","Marshall",-1.503,10.567,-0.337,2.898,NA,1.12
"Alabama","Mobile",4.085,7.511,-4.402,5.031,1.774,-0.816
"Alabama","Monroe",NA,NA,NA,-8.497,-1.005,19.24
"Alabama","Montgomery",-0.206,2.444,0.791,2.95,-10.37,-0.597
"Alabama","Morgan",5.44,7.333,-0.377,3.843,9.742,2.34
"Alabama","Perry",NA,NA,NA,NA,NA,-1.624
"Alabama","Pickens",-13.099,NA,NA,-12.892,NA,-1.907
"Alabama","Pike",-2.935,NA,-0.53,5.443,NA,-1.605
"Alabama","Randolph",-2.043,NA,NA,1.593,NA,-0.024
"Alabama","Russell",0.642,NA,0.461,3.085,NA,-0.362
"Alabama","Shelby",0.633,-6.192,0.254,-0.695,NA,1.13
"Alabama","St. Clair",-6.048,NA,0.085,4.359,6.874,1.723
"Alabama","Sumter",2.23,NA,NA,NA,NA,4.651
"Alabama","Talladega",-5.147,NA,0.582,2.188,8.298,0.534
"Alabama","Tallapoosa",-5.327,NA,2.394,3.993,NA,0.981
"Alabama","Tuscaloosa",2.918,-9.521,0.368,2.326,5.962,1.078
"Alabama","Walker",-0.308,NA,0.555,1.163,-1.564,1.836
"Alabama","Washington",-1.439,NA,NA,NA,NA,3.911
"Alabama","Wilcox",NA,NA,NA,NA,NA,-1.951
"Alabama","Winston",7.828,NA,NA,3.809,NA,-0.017
