"state","county","fips","Grocery & pharmacy","Parks","Residential","Retail & recreation","Transit stations","Workplace"
"Alabama","Autauga",1001,11.024,NA,-1.587,13.809,NA,1.799
"Alabama","Baldwin",1003,11.156,38.619,-0.152,12.524,7.105,0.92
"Alabama","Barbour",1005,-5.674,NA,NA,19.427,NA,6.787
"Alabama","Bibb",1007,5.345,NA,NA,21.916,NA,6.212
"Alabama","Blount",1009,10.268,NA,-0.591,15.16,NA,1.688
"Alabama","Bullock",1011,NA,NA,NA,NA,NA,0.004
"Alabama","Butler",1013,7.272,NA,NA,27.659,NA,-0.001
"Alabama","Calhoun",1015,-0.13,NA,-0.775,16.163,NA,1.408
"Alabama","Chambers",1017,13.809,NA,-1.306,31.18,NA,2.738
"Alabama","Cherokee",1019,13.424,NA,NA,13.134,NA,0.531
"Alabama","Chilton",1021,10.163,NA,-1.293,17.45,18.4,4.797
"Alabama","Choctaw",1023,11.289,NA,NA,NA,NA,9.678
"Alabama","Clarke",1025,-5.767,NA,NA,17.091,NA,0.786
"Alabama","Clay",1027,6.118,NA,NA,7.812,NA,2.103
"Alabama","Cleburne",1029,16.666,NA,NA,NA,-1.998,5.56
"Alabama","Coffee",1031,9.965,NA,-1.031,26.984,NA,2.819
"Alabama","Colbert",1033,3.035,-30.233,-2.245,9.981,2.967,2.471
"Alabama","Conecuh",1035,9.994,NA,NA,17.825,24.263,8.824
"Alabama","Coosa",1037,NA,NA,NA,NA,NA,6.1
"Alabama","Covington",1039,10.4,NA,-0.049,22.466,NA,1.172
"Alabama","Crenshaw",1041,-0.003,NA,NA,19.405,NA,0.971
"Alabama","Cullman",1043,10.218,1.643,-0.112,11.731,14.541,2.625
"Alabama","Dale",1045,9.489,NA,-2.061,10.06,17.545,3.279
"Alabama","Dallas",1047,NA,NA,-2.957,6.505,2.891,35.716
"Alabama","DeKalb",1049,2.943,NA,-0.158,15.142,NA,2.383
"Alabama","Elmore",1051,0.664,NA,-0.611,14.548,NA,1.697
"Alabama","Escambia",1053,9.307,NA,-1.685,20.191,NA,-0.4
"Alabama","Etowah",1055,4.474,NA,-1.07,15.475,3.575,3.373
"Alabama","Fayette",1057,NA,NA,NA,15.045,NA,2.532
"Alabama","Franklin",1059,1.427,NA,-0.802,16.388,NA,4.588
"Alabama","Geneva",1061,9.518,NA,-2.116,14.996,NA,2.271
"Alabama","Greene",1063,8.768,NA,NA,NA,-0.984,2.127
"Alabama","Hale",1065,12.878,NA,NA,35.184,NA,1.051
"Alabama","Henry",1067,3.659,NA,NA,8.818,NA,1.455
"Alabama","Houston",1069,7.473,NA,-1.258,17.9,20.001,2.048
"Alabama","Jackson",1071,9.958,NA,0.214,10.85,NA,3.73
"Alabama","Jefferson",1073,6.623,5.126,-1.074,10.589,4.031,2.422
"Alabama","Lamar",1075,14.753,NA,NA,NA,NA,2.535
"Alabama","Lauderdale",1077,1.97,NA,-0.99,11.078,NA,2.374
"Alabama","Lawrence",1079,5.674,NA,-0.32,9.732,NA,0.763
"Alabama","Lee",1081,8.393,NA,-1.274,11.477,NA,3.307
"Alabama","Limestone",1083,2.258,9.995,-1.108,13.888,NA,4.052
"Alabama","Lowndes",1085,NA,NA,NA,NA,13.292,4.169
"Alabama","Macon",1087,3.532,NA,NA,29.352,-6.123,-4.071
"Alabama","Madison",1089,4.242,14.184,30.649,6.31,1.985,-0.039
"Alabama","Marengo",1091,NA,NA,NA,12.672,2.345,-0.797
"Alabama","Marion",1093,13.214,NA,NA,17.333,NA,-2.519
"Alabama","Marshall",1095,2.627,0.038,-0.158,13.801,NA,-0.684
"Alabama","Mobile",1097,6.258,10.259,11.369,13.57,-7.759,1.014
"Alabama","Monroe",1099,NA,NA,NA,-11.072,-0.995,3.246
"Alabama","Montgomery",1101,9.208,16.307,-1.618,15.426,19.862,2.35
"Alabama","Morgan",1103,4.121,33.789,-0.36,10.979,12.82,2.634
"Alabama","Perry",1105,NA,NA,NA,NA,NA,-1.649
"Alabama","Pickens",1107,-10.061,NA,NA,17.206,NA,-1.925
"Alabama","Pike",1109,-4.01,NA,-0.822,17.554,NA,2.191
"Alabama","Randolph",1111,7.237,NA,NA,15.372,NA,-0.024
"Alabama","Russell",1113,13.907,NA,-1.638,19.03,NA,0.995
"Alabama","Shelby",1117,0.007,21.657,-1.292,7.696,NA,2.491
"Alabama","St. Clair",1115,-0.506,NA,-0.99,17.233,4.602,3.666
"Alabama","Sumter",1119,2.184,NA,NA,NA,NA,1.551
"Alabama","Talladega",1121,-2.728,NA,-1.308,21.307,10.007,1.549
"Alabama","Tallapoosa",1123,8.94,NA,0.24,18.014,NA,1.648
"Alabama","Tuscaloosa",1125,7.702,13.963,-1.545,16.093,10.956,2.714
"Alabama","Walker",1127,3.463,NA,-1.738,14.045,14.969,6.354
"Alabama","Washington",1129,16.235,NA,NA,NA,NA,3.861
"Alabama","Wilcox",1131,NA,NA,NA,NA,NA,-1.951
"Alabama","Winston",1133,-2.522,NA,NA,17.685,NA,1.759
"Alaska","Anchorage",2020,7.712,15.653,-1.023,10.181,10.421,3.033
"Alaska","Bethel",2050,NA,NA,NA,NA,NA,2.779
"Alaska","Fairbanks North Star",2090,4.748,NA,-0.708,11.123,12.632,3.245
"Alaska","Juneau",2110,3.595,NA,0.009,2.452,0.002,0.881
"Alaska","Kenai Peninsula Borough",2122,0.001,NA,-1.25,7.214,NA,3.175
"Alaska","Ketchikan Gateway",2130,NA,NA,NA,2.777,NA,3.53
"Alaska","Kodiak Island",2150,NA,NA,NA,8.064,NA,4.478
"Alaska","Matanuska-Susitna",2170,4.931,NA,-1.474,13.037,NA,2.862
"Alaska","North Slope",2185,NA,NA,NA,NA,NA,-7.578
"Alaska","Sitka",2220,NA,NA,NA,NA,NA,-4.542
"Alaska","Southeast Fairbanks",2240,NA,NA,NA,NA,NA,NA
"Alaska","Valdez-Cordova",2261,NA,NA,NA,NA,NA,15.094
"Arizona","Apache",4001,15.653,20,-2.044,17.884,6.67,2.996
"Arizona","Cochise",4003,1.847,11.794,-0.969,8.857,1.895,2.844
"Arizona","Coconino",4005,15.076,39.557,-2.13,14.124,10.363,3.106
"Arizona","Gila",4007,26.014,32.581,-1.435,18.114,NA,0.959
"Arizona","Graham",4009,12.935,NA,-0.396,16.057,NA,-2.419
"Arizona","Greenlee",4011,12.122,NA,NA,NA,NA,2.818
"Arizona","La Paz",4012,-12.663,-8.331,NA,-9.746,-3.709,-1.078
"Arizona","Maricopa",4013,2.222,17.893,-0.818,7.3,7.076,2.069
"Arizona","Mohave",4015,7.831,-2.096,-0.574,11.85,9.508,1.307
"Arizona","Navajo",4017,14.435,30.39,-1.699,16.78,5.535,-0.701
"Arizona","Pima",4019,11.303,15.124,-0.846,8.425,5.477,0.814
"Arizona","Pinal",4021,-2.023,10.282,-1.078,20.619,7.536,1.253
"Arizona","Santa Cruz",4023,3.297,21.315,-1.643,7.608,28.571,0.634
"Arizona","Yavapai",4025,11.945,23.728,-1.031,11.511,10.058,2.611
"Arizona","Yuma",4027,4.048,14.045,-1.09,8.813,5.669,1.429
"Arkansas","Arkansas",5001,18.239,NA,NA,11.22,NA,2.307
"Arkansas","Ashley",5003,9.473,NA,NA,12.048,NA,9.176
"Arkansas","Baxter",5005,5.357,NA,-1.011,18.487,NA,4.748
"Arkansas","Benton",5007,4.654,46.237,-1.162,12.716,4.258,2.697
"Arkansas","Boone",5009,5.473,NA,-0.638,15.925,NA,1.168
"Arkansas","Bradley",5011,4.255,NA,NA,31.149,NA,-1.612
"Arkansas","Carroll",5015,-3.597,NA,0.713,18.272,NA,6.107
"Arkansas","Chicot",5017,4.348,NA,NA,NA,NA,7.411
"Arkansas","Clark",5019,-1.449,NA,NA,21.07,10.569,0.667
"Arkansas","Clay",5021,NA,NA,NA,10.784,NA,-2.939
"Arkansas","Cleburne",5023,27.957,NA,NA,5.929,NA,1.725
"Arkansas","Cleveland",5025,NA,NA,NA,NA,NA,NA
"Arkansas","Columbia",5027,-25.133,NA,NA,28.75,NA,2.72
"Arkansas","Conway",5029,-0.005,NA,NA,19.831,3.948,4.137
"Arkansas","Craighead",5031,9.618,NA,-1.445,21.782,19.12,0.358
"Arkansas","Crawford",5033,9.184,NA,-1.753,16.791,6.558,3.172
"Arkansas","Crittenden",5035,15.235,NA,-3.479,27.538,6.932,1.407
"Arkansas","Cross",5037,-3.175,NA,NA,16.92,NA,2.541
"Arkansas","Dallas",5039,NA,NA,NA,46.576,NA,NA
"Arkansas","Desha",5041,28.067,NA,NA,22.015,NA,-3.077
"Arkansas","Drew",5043,10.891,NA,NA,20.933,NA,0.001
"Arkansas","Faulkner",5045,1.718,NA,-1.524,16.808,NA,3.764
"Arkansas","Franklin",5047,2.858,NA,NA,9.596,0.003,2.365
"Arkansas","Fulton",5049,NA,NA,NA,NA,NA,5.405
"Arkansas","Garland",5051,7.237,41.433,-1.929,17.053,NA,2.692
"Arkansas","Grant",5053,NA,NA,NA,1.33,NA,3.791
"Arkansas","Greene",5055,8.152,NA,-1.753,25.796,NA,1.084
"Arkansas","Hempstead",5057,5.605,NA,NA,15.502,NA,1.231
"Arkansas","Hot Spring",5059,10.406,NA,-1.462,15.971,-61.362,4.533
"Arkansas","Howard",5061,1.889,NA,NA,20.123,NA,4.807
"Arkansas","Independence",5063,10.12,NA,0.122,13.38,NA,-0.655
"Arkansas","Izard",5065,14.282,NA,NA,NA,NA,4.004
"Arkansas","Jackson",5067,10.417,NA,NA,17.24,NA,3.16
"Arkansas","Jefferson",5069,8.267,NA,-2.776,23.736,7.165,2.234
"Arkansas","Johnson",5071,7.526,NA,-2.406,11.633,NA,1.879
"Arkansas","Lawrence",5075,7.062,NA,NA,17.032,NA,-0.92
"Arkansas","Lincoln",5079,NA,NA,NA,NA,NA,10.346
"Arkansas","Little River",5081,21.875,NA,NA,23.805,NA,-1.277
"Arkansas","Logan",5083,12.354,NA,NA,17.493,NA,2.995
"Arkansas","Lonoke",5085,9.847,NA,-2.326,15.492,NA,2.068
"Arkansas","Madison",5087,22.537,NA,NA,22.412,NA,2.363
"Arkansas","Marion",5089,-1.47,NA,NA,15.312,NA,-1.783
"Arkansas","Miller",5091,16.014,NA,-1.5,28.572,12.99,-0.879
"Arkansas","Mississippi",5093,7.185,NA,-1.987,21.349,7.354,-0.372
"Arkansas","Monroe",5095,3.756,NA,NA,25.859,NA,-8.482
"Arkansas","Montgomery",5097,NA,NA,NA,NA,NA,1.966
"Arkansas","Nevada",5099,NA,NA,NA,NA,1.463,-0.025
"Arkansas","Newton",5101,NA,NA,NA,NA,NA,NA
"Arkansas","Ouachita",5103,-5.63,NA,NA,18.192,NA,1.173
"Arkansas","Perry",5105,NA,NA,NA,NA,NA,7.379
"Arkansas","Phillips",5107,7.712,NA,NA,19.32,NA,-3.742
"Arkansas","Pike",5109,13.289,NA,NA,32.04,NA,4.674
"Arkansas","Poinsett",5111,8.965,NA,NA,12.63,NA,0
"Arkansas","Polk",5113,8.22,NA,NA,17.292,NA,2.747
"Arkansas","Pope",5115,3.336,NA,-1.249,17.443,7.742,1.222
"Arkansas","Prairie",5117,NA,NA,NA,NA,NA,5.531
"Arkansas","Pulaski",5119,8.635,-0.816,2.431,16.184,1.898,-2.242
"Arkansas","Randolph",5121,NA,NA,NA,9.009,-2.342,41.6
"Arkansas","Saline",5125,3.564,NA,-1.612,16.23,-10.961,2.136
"Arkansas","Scott",5127,NA,NA,NA,13.882,NA,7.027
"Arkansas","Searcy",5129,NA,NA,NA,NA,NA,2.249
"Arkansas","Sebastian",5131,10.058,51.645,-1.595,16.697,12.253,1.744
"Arkansas","Sevier",5133,17.246,NA,NA,20.65,NA,-2.353
"Arkansas","Sharp",5135,19.456,NA,NA,17.1,NA,-0.819
"Arkansas","St. Francis",5123,17.894,NA,NA,23.654,2.303,9.839
"Arkansas","Stone",5137,NA,NA,NA,11.116,NA,-1.512
"Arkansas","Union",5139,8.476,NA,-0.993,15.859,NA,2.217
"Arkansas","Van Buren",5141,NA,NA,NA,16.85,NA,4.907
"Arkansas","Washington",5143,6.019,7.808,19.529,12.212,2.437,-1.367
"Arkansas","White",5145,51.788,NA,-1.918,4.298,4.876,4.046
"Arkansas","Yell",5149,4.349,NA,NA,13.789,NA,1.291
"California","Alameda",6001,4.249,23.082,-0.801,3.683,3.934,1.562
