"","country_region_code","country_region","state","county","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","fips"
"67274","US","United States","Alabama","Baldwin","2020-02-25",11,10,34,2,-23,3,1003
"68126","US","United States","Alabama","Colbert","2020-02-25",5,3,-29,11,2,-1,1033
"69248","US","United States","Alabama","Jefferson","2020-02-25",5,3,20,6,3,-1,1073
"69703","US","United States","Alabama","Madison","2020-02-25",6,5,37,8,4,-2,1089
"69931","US","United States","Alabama","Mobile","2020-02-25",9,4,139,28,-37,6,1097
"70045","US","United States","Alabama","Montgomery","2020-02-25",7,0,13,-6,4,0,1101
"70102","US","United States","Alabama","Morgan","2020-02-25",8,7,24,3,2,-1,1103
"70714","US","United States","Alabama","Tuscaloosa","2020-02-25",7,3,16,7,4,-1,1125
"71042","US","United States","Alaska","Anchorage","2020-02-25",7,2,3,2,4,0,2020
"71646","US","United States","Arizona","Apache","2020-02-25",-5,5,0,13,3,0,4001
"71703","US","United States","Arizona","Cochise","2020-02-25",4,0,16,-6,3,0,4003
"71760","US","United States","Arizona","Coconino","2020-02-25",8,10,28,9,5,0,4005
"72044","US","United States","Arizona","Maricopa","2020-02-25",6,0,11,9,2,0,4013
"72101","US","United States","Arizona","Mohave","2020-02-25",6,1,12,6,1,0,4015
"72158","US","United States","Arizona","Navajo","2020-02-25",5,10,16,12,2,0,4017
"72215","US","United States","Arizona","Pima","2020-02-25",3,6,6,4,3,0,4019
"72272","US","United States","Arizona","Pinal","2020-02-25",16,-6,4,11,2,0,4021
"72329","US","United States","Arizona","Santa Cruz","2020-02-25",3,-7,12,29,1,0,4023
"72386","US","United States","Arizona","Yavapai","2020-02-25",7,6,14,7,3,0,4025
"72443","US","United States","Arizona","Yuma","2020-02-25",4,1,15,-5,1,0,4027
"72728","US","United States","Arkansas","Benton","2020-02-25",5,-1,5,9,2,0,5007
"75570","US","United States","Arkansas","Pulaski","2020-02-25",9,4,20,6,3,-1,5119
"75824","US","United States","Arkansas","Sebastian","2020-02-25",7,1,27,-8,3,0,5131
"76221","US","United States","Arkansas","Washington","2020-02-25",5,-2,9,-4,1,1,5143
"76449","US","United States","California","Alameda","2020-02-25",1,2,26,5,3,-1,6001
"76563","US","United States","California","Butte","2020-02-25",4,1,30,5,4,-1,6007
"76734","US","United States","California","Contra Costa","2020-02-25",1,3,24,5,4,-1,6013
"76905","US","United States","California","Fresno","2020-02-25",7,3,25,0,2,0,6019
"77019","US","United States","California","Humboldt","2020-02-25",1,0,31,-16,2,-1,6023
"77076","US","United States","California","Imperial","2020-02-25",3,-5,-1,16,4,0,6025
"77190","US","United States","California","Kern","2020-02-25",7,3,26,3,1,0,6029
"77247","US","United States","California","Kings","2020-02-25",9,-1,34,-2,0,0,6031
"77304","US","United States","California","Lake","2020-02-25",0,6,25,-11,2,0,6033
"77418","US","United States","California","Los Angeles","2020-02-25",2,1,13,3,3,-1,6037
"77475","US","United States","California","Madera","2020-02-25",8,-9,38,25,0,0,6039
"77532","US","United States","California","Marin","2020-02-25",0,-4,16,4,3,-1,6041
"77703","US","United States","California","Merced","2020-02-25",6,2,69,3,2,-1,6047
"77857","US","United States","California","Monterey","2020-02-25",4,5,24,12,2,-1,6053
"77971","US","United States","California","Nevada","2020-02-25",3,-1,35,-36,4,-1,6057
"78028","US","United States","California","Orange","2020-02-25",4,-1,14,2,3,0,6059
"78085","US","United States","California","Placer","2020-02-25",3,12,29,-4,2,-1,6061
"78199","US","United States","California","Riverside","2020-02-25",4,0,12,7,2,-1,6065
"78256","US","United States","California","Sacramento","2020-02-25",4,2,30,3,3,-1,6067
"78370","US","United States","California","San Bernardino","2020-02-25",4,0,17,0,2,-1,6071
"78427","US","United States","California","San Diego","2020-02-25",2,-1,18,3,5,-1,6073
"78484","US","United States","California","San Francisco","2020-02-25",10,4,31,4,3,-1,6075
"78541","US","United States","California","San Joaquin","2020-02-25",7,1,22,4,3,-1,6077
"78598","US","United States","California","San Luis Obispo","2020-02-25",2,3,21,5,2,-1,6079
"78655","US","United States","California","San Mateo","2020-02-25",1,6,34,-4,2,-1,6081
"78712","US","United States","California","Santa Barbara","2020-02-25",0,0,19,3,1,0,6083
"78769","US","United States","California","Santa Clara","2020-02-25",2,2,24,0,4,0,6085
"78826","US","United States","California","Santa Cruz","2020-02-25",4,6,21,-2,2,0,6087
"78883","US","United States","California","Shasta","2020-02-25",6,7,57,3,3,-1,6089
"78997","US","United States","California","Solano","2020-02-25",3,2,24,8,4,-1,6095
"79054","US","United States","California","Sonoma","2020-02-25",1,4,42,4,4,-1,6097
"79111","US","United States","California","Stanislaus","2020-02-25",6,0,31,6,3,-1,6099
"79338","US","United States","California","Tulare","2020-02-25",6,1,28,12,2,0,6107
"79452","US","United States","California","Ventura","2020-02-25",1,0,6,7,3,0,6111
