"state","county","Grocery & pharmacy","Parks","Residential","Retail & recreation","Transit stations","Workplace"
"Alabama","Autauga",27.165,NA,11.19,-13.05,NA,-25.745
"Alabama","Baldwin",23.746,31.415,7.776,-13.993,1.641,-18.063
"Alabama","Barbour",-4.965,NA,NA,1.911,NA,-12.348
"Alabama","Bibb",16.032,NA,NA,-0.687,NA,-17.391
"Alabama","Blount",16.518,NA,10.013,-19.415,NA,-25.738
"Alabama","Bullock",2.042,NA,NA,NA,NA,-20.892
"Alabama","Butler",27.272,NA,NA,-1.276,NA,-18.572
"Alabama","Calhoun",13.671,NA,8.099,-17.084,NA,-20.099
"Alabama","Chambers",27.143,NA,9.317,-4.009,NA,-27.657
"Alabama","Cherokee",14.767,NA,NA,-13.137,NA,-19.469
"Alabama","Chilton",21.138,NA,8.175,-14.541,24.799,-18.435
"Alabama","Choctaw",25.805,NA,NA,NA,NA,-14.515
"Alabama","Clarke",6.734,NA,NA,-7.592,NA,-18.899
"Alabama","Clay",NA,NA,NA,-18.75,NA,-12.634
"Alabama","Cleburne",18.333,NA,NA,-35.712,-35.998,-13.884
"Alabama","Coffee",10.629,NA,7.69,-4.1,NA,-19.247
"Alabama","Colbert",11.299,-34.885,6.432,-19.944,2.967,-14.383
"Alabama","Conecuh",23.993,NA,NA,-19.382,0.734,-13.235
"Alabama","Coosa",NA,NA,NA,NA,NA,-7.315
"Alabama","Covington",26,NA,5.049,-4.587,NA,-14.906
"Alabama","Crenshaw",13.43,NA,NA,-8.953,NA,-22.329
"Alabama","Cullman",20.906,29.512,7.712,-16.292,11.815,-16.273
"Alabama","Dale",14.912,NA,5.864,-19.814,10.527,-16.188
"Alabama","Dallas",NA,NA,5.151,23.505,-16.944,3.812
"Alabama","DeKalb",14.173,NA,7.008,-19.121,NA,-16.333
"Alabama","Elmore",16.083,NA,10.765,-15.862,NA,-27.154
"Alabama","Escambia",18.029,NA,6.662,-13.205,NA,-17.133
"Alabama","Etowah",16.082,NA,7.507,-21.313,-16.663,-16.977
"Alabama","Fayette",NA,NA,NA,-9.733,NA,-11.392
"Alabama","Franklin",9.282,NA,5.432,-13.707,NA,-10.542
"Alabama","Geneva",32.799,NA,NA,-3.893,NA,-14.548
"Alabama","Greene",1.751,NA,NA,NA,-0.984,-23.966
"Alabama","Hale",3.03,NA,NA,-22.224,NA,-20.001
"Alabama","Henry",17.072,NA,NA,-21.568,NA,-18.258
"Alabama","Houston",13.808,NA,7.903,-17.368,-3.999,-17.297
"Alabama","Jackson",20.33,NA,7.631,-18.602,NA,-17.171
"Alabama","Jefferson",17.199,16.664,13.275,-28.052,-24.06,-32.598
"Alabama","Lamar",18.031,NA,NA,NA,NA,-9.156
"Alabama","Lauderdale",17.772,NA,7.303,-20.883,NA,-17.292
"Alabama","Lawrence",3.547,NA,7.29,-11.238,NA,-16.841
"Alabama","Lee",9.731,NA,12.533,-25.34,NA,-30.73
"Alabama","Limestone",14.473,19.993,11.281,-14.651,NA,-25.469
"Alabama","Lowndes",NA,NA,NA,NA,6.963,-26.386
"Alabama","Macon",31.182,NA,NA,-3.261,-3.573,-26.516
"Alabama","Madison",10.948,-28.336,3.244,-26.713,-34.099,14.853
"Alabama","Marengo",NA,NA,NA,23.486,-13.401,25.427
"Alabama","Marion",26.398,NA,NA,-7.211,NA,-13.521
"Alabama","Marshall",19.236,NA,7.356,-16.331,NA,-19.698
"Alabama","Mobile",20.067,-10.365,-17.615,-17.572,-23.874,9.751
"Alabama","Monroe",NA,NA,NA,24.23,-19.262,1.246
