"state","county","fips","Grocery & pharmacy","Parks","Residential","Retail & recreation","Transit stations","Workplace"
"Alabama","Autauga",1001,-0.382,NA,5.193,7.732,NA,-27.024
"Alabama","Baldwin",1003,9.179,30.912,0.894,8.813,6.781,-3.397
"Alabama","Barbour",1005,-11.278,NA,NA,11.722,NA,-13.551
"Alabama","Bibb",1007,5.884,NA,NA,6.816,NA,-12.658
"Alabama","Blount",1009,-4.742,NA,4.071,5,NA,-13.495
"Alabama","Bullock",1011,-6.665,NA,NA,-39.724,NA,-23.876
"Alabama","Butler",1013,-1.835,NA,NA,0.83,NA,-15.557
"Alabama","Calhoun",1015,-3.903,NA,5.592,2.357,NA,-21.442
"Alabama","Chambers",1017,-0.478,NA,3.823,1.961,NA,-11.888
"Alabama","Cherokee",1019,-3.845,NA,NA,-8.335,NA,-8.597
"Alabama","Chilton",1021,0.405,NA,2.486,-0.988,8.396,-13.696
"Alabama","Choctaw",1023,-14.927,NA,NA,-43.903,NA,-13.114
"Alabama","Clarke",1025,-23.006,NA,NA,-2.834,NA,-13.71
"Alabama","Clay",1027,7.996,NA,NA,-22.807,NA,-18.892
"Alabama","Cleburne",1029,-1.724,NA,NA,NA,8.513,-8.734
"Alabama","Coffee",1031,-2.042,NA,6.046,-1.49,NA,-35.489
"Alabama","Colbert",1033,-2.503,-31.112,3.729,-3.473,-0.003,-11.955
"Alabama","Conecuh",1035,3.915,NA,NA,-7.466,19.401,-4.615
"Alabama","Coosa",1037,NA,NA,NA,NA,NA,-12.046
"Alabama","Covington",1039,4.453,NA,3.789,5.058,NA,-15.194
"Alabama","Crenshaw",1041,-5.885,NA,NA,18.87,NA,-25.999
"Alabama","Cullman",1043,-2.531,11.115,3.037,4.823,13.458,-7.52
"Alabama","Dale",1045,-0.003,NA,5.415,-15.878,-6.666,-32.473
"Alabama","Dallas",1047,NA,NA,4.172,-4.429,-15.483,-1.653
"Alabama","DeKalb",1049,-6.05,NA,5.616,4.757,NA,-15.373
"Alabama","Elmore",1051,2.464,8.165,5.514,3.012,NA,-24.795
"Alabama","Escambia",1053,-5.108,NA,4.743,1.991,NA,-5.023
"Alabama","Etowah",1055,-2.729,NA,4.322,2.434,-1.33,-15.035
"Alabama","Fayette",1057,NA,NA,NA,-6.603,NA,-16.883
"Alabama","Franklin",1059,-7.895,NA,NA,-3.258,NA,-15.899
"Alabama","Geneva",1061,-1.618,NA,NA,2.717,NA,-26.246
"Alabama","Greene",1063,-14.546,NA,NA,NA,13.944,-22.78
"Alabama","Hale",1065,-35.527,NA,NA,-15.096,NA,-21.74
"Alabama","Henry",1067,-1.28,NA,NA,-5.003,NA,-12.695
"Alabama","Houston",1069,-1.491,NA,4.771,5.407,2.858,-17.64
"Alabama","Jackson",1071,-6.587,NA,4.234,5.802,NA,-16.086
"Alabama","Jefferson",1073,1.082,23.381,4.142,2.562,-3.303,-14.474
"Alabama","Lamar",1075,-8.061,NA,NA,NA,NA,-12.566
"Alabama","Lauderdale",1077,-2.415,NA,3.056,8.654,NA,-12.767
"Alabama","Lawrence",1079,2.174,NA,5.376,2.974,NA,-15.204
"Alabama","Lee",1081,-5.264,NA,4.208,0.744,NA,-17.292
"Alabama","Limestone",1083,-7.41,1.512,6.266,10.101,NA,-23.359
"Alabama","Lowndes",1085,NA,NA,NA,NA,13.104,-22.533
"Alabama","Macon",1087,-2.562,NA,NA,-9.413,10.102,-17.378
"Alabama","Madison",1089,0.781,-2.289,-3.934,5.745,-29.704,7.223
"Alabama","Marengo",1091,NA,NA,NA,-1.313,-15.093,16.463
"Alabama","Marion",1093,-26.054,NA,NA,-4.607,NA,-12.842
"Alabama","Marshall",1095,-5.68,10.386,5.294,-0.699,NA,-15.561
"Alabama","Mobile",1097,1.153,7.076,-4.544,6.004,-2.359,0.536
"Alabama","Monroe",1099,NA,NA,NA,-19.194,-13.434,40.317
"Alabama","Montgomery",1101,0.018,-2.267,6.643,1.716,-20.616,-28.535
"Alabama","Morgan",1103,-2.742,10.125,4.006,5.748,14.089,-17.381
"Alabama","Perry",1105,NA,NA,NA,NA,NA,-16.732
"Alabama","Pickens",1107,6.688,NA,NA,-1.838,NA,-22.771
"Alabama","Pike",1109,-4.161,NA,NA,0.948,NA,-14.985
"Alabama","Randolph",1111,-11.208,NA,NA,-13.828,NA,-17.413
"Alabama","Russell",1113,1.973,NA,4.916,-0.408,NA,-22.051
"Alabama","Shelby",1117,-0.7,64.711,4.264,4.15,NA,-19.91
