"state","county","fips","Grocery & pharmacy","Parks","Residential","Retail & recreation","Transit stations","Workplace"
"Alabama","Autauga",1001,21.756,NA,NA,-4.475,NA,-6.078
"Alabama","Baldwin",1003,48.607,84.138,-0.245,15.831,35.076,6.403
"Alabama","Barbour",1005,7.031,NA,NA,17.091,NA,-1.518
"Alabama","Bibb",1007,6.544,NA,NA,2.738,NA,-3.332
"Alabama","Blount",1009,17.086,NA,NA,-11.538,NA,-11.111
"Alabama","Bullock",1011,-2.081,NA,NA,NA,NA,NA
"Alabama","Butler",1013,22.826,NA,NA,24.413,NA,-0.001
"Alabama","Calhoun",1015,14.668,-21.948,3.039,-9.269,NA,-2.932
"Alabama","Chambers",1017,19.388,NA,NA,8.083,NA,2.859
"Alabama","Cherokee",1019,19.686,NA,NA,-7.478,NA,0.005
"Alabama","Chilton",1021,29.131,NA,NA,2.677,24.545,1.504
"Alabama","Choctaw",1023,3.224,NA,NA,NA,NA,NA
"Alabama","Clarke",1025,27.78,NA,NA,13.712,NA,1.96
"Alabama","Clay",1027,8.159,NA,NA,NA,NA,NA
"Alabama","Cleburne",1029,8.197,NA,NA,NA,-9.088,NA
"Alabama","Coffee",1031,15.865,NA,NA,8.571,NA,2.328
"Alabama","Colbert",1033,12.629,NA,NA,-9.83,16.213,-0.001
"Alabama","Conecuh",1035,20.401,NA,NA,15.785,24.804,NA
"Alabama","Coosa",1037,NA,NA,NA,NA,NA,NA
"Alabama","Covington",1039,24.017,NA,NA,11.784,NA,-3.85
"Alabama","Crenshaw",1041,18.331,NA,NA,16.983,NA,NA
"Alabama","Cullman",1043,20.91,-8.06,2.63,-10.62,11.107,-4.135
"Alabama","Dale",1045,15.684,NA,NA,4.494,0.001,-1.197
"Alabama","Dallas",1047,NA,NA,NA,17.051,-6.318,1.172
"Alabama","DeKalb",1049,13.097,-3.769,NA,-8.067,NA,-2.224
"Alabama","Elmore",1051,20.185,NA,2.156,-0.431,NA,-4.367
"Alabama","Escambia",1053,32.473,NA,NA,7.678,NA,2.969
"Alabama","Etowah",1055,8.572,-21.156,3.131,-16.834,-1.815,-4.518
"Alabama","Fayette",1057,NA,NA,NA,-14.129,NA,NA
"Alabama","Franklin",1059,18.243,NA,NA,-12.363,NA,1.394
"Alabama","Geneva",1061,25.538,NA,NA,5.294,NA,-2.441
